"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
834921,"800940",2628,"","1"
834921,"900000",34359,"","1"
834921,"900080",253,"","1"
834921,"950022",110,"","1"
834921,"980000",34612,"","1"
834921,"980010",1,"","1"
834921,"980020",56,"","1"
834921,"980030",1,"","1"
834921,"980040",1,"","1"
834921,"980070",34502,"","1"
834921,"980220",100,"","1"
834921,"980260",100,"","1"
834921,"980281",100,"","1"
834921,"980286",100,"","1"
834921,"980310",100,"","1"
834921,"980330",100,"","1"
834922,"800940",2597,"","1"
834922,"900000",33945,"","1"
834922,"900080",254,"","1"
834922,"950022",110,"","1"
834922,"980000",34199,"","1"
834922,"980010",1,"","1"
834922,"980020",56,"","1"
834922,"980030",1,"","1"
834922,"980040",1,"","1"
834922,"980070",34089,"","1"
834922,"980220",100,"","1"
834922,"980260",100,"","1"
834922,"980281",100,"","1"
834922,"980286",100,"","1"
834922,"980310",100,"","1"
834922,"980330",100,"","1"
834931,"800940",2163,"","1"
834931,"900000",28272,"","1"
834931,"980000",28272,"","1"
834931,"980010",3,"","1"
834931,"980020",19,"","1"
834931,"980030",1,"","1"
834931,"980050",1,"","1"
834931,"980070",28272,"","1"
834931,"980220",100,"","1"
834931,"980260",100,"","1"
834931,"980281",100,"","1"
834931,"980285",100,"","1"
834931,"980300",100,"","1"
834932,"800940",2207,"","1"
834932,"900000",28855,"","1"
834932,"980000",28855,"","1"
834932,"980010",3,"","1"
834932,"980020",19,"","1"
834932,"980030",1,"","1"
834932,"980050",1,"","1"
834932,"980070",28855,"","1"
834932,"980090",100,"","1"
834932,"980220",100,"","1"
834932,"980250",100,"","1"
834932,"980281",100,"","1"
834932,"980285",100,"","1"
834932,"980300",100,"","1"
834941,"800940",10328,"","1"
834941,"900000",135000,"","1"
834941,"900060",-4000,"","1"
834941,"900080",1100,"","1"
834941,"950001",-3600,"","1"
834941,"950011",-800,"","1"
834941,"980000",132100,"","1"
834941,"980010",3,"","1"
834941,"980020",40,"","1"
834941,"980030",2,"","1"
834941,"980050",1,"","1"
834941,"980070",136500,"","1"
834941,"980090",100,"","1"
834941,"980210",100,"","1"
834941,"980230",100,"","1"
834941,"980281",100,"","1"
834941,"980286",100,"","1"
834941,"980310",100,"","1"
834942,"800940",10328,"","1"
834942,"900000",135000,"","1"
834942,"900060",-4000,"","1"
834942,"900080",1100,"","1"
834942,"950001",-3600,"","1"
834942,"950011",-800,"","1"
834942,"980000",132100,"","1"
834942,"980010",3,"","1"
834942,"980020",40,"","1"
834942,"980030",2,"","1"
834942,"980050",1,"","1"
834942,"980070",136500,"","1"
834942,"980090",100,"","1"
834942,"980210",100,"","1"
834942,"980230",100,"","1"
834942,"980281",100,"","1"
834942,"980286",100,"","1"
834942,"980310",100,"","1"
834952,"800940",2793,"","1"
834952,"900000",36500,"","1"
834952,"900080",10,"","1"
834952,"950001",-1700,"","1"
834952,"950002",9125,"","1"
834952,"950011",-800,"","1"
834952,"950012",75,"","1"
834952,"950022",700,"","1"
834952,"980000",36510,"","1"
834952,"980010",6,"","1"
834952,"980020",40,"","1"
834952,"980030",2,"","1"
834952,"980040",2,"","1"
834952,"980050",4,"","1"
834952,"980070",29110,"","1"
834952,"980090",100,"","1"
834952,"980210",100,"","1"
834952,"980230",100,"","1"
834952,"980281",100,"","1"
834952,"980286",100,"","1"
834952,"980310",100,"","1"
834952,"980330",100,"","1"
834961,"800931",2833,"","1"
834961,"800940",4131,"","1"
834961,"900000",54000,"","1"
834961,"900050",10000,"","1"
834961,"950011",-100,"","1"
834961,"980000",64000,"","1"
834961,"980010",3,"","1"
834961,"980020",30,"","1"
834961,"980030",2,"","1"
834961,"980040",2,"","1"
834961,"980050",1,"","1"
834961,"980070",64100,"","1"
834961,"980210",100,"","1"
834961,"980260",100,"","1"
834961,"980281",100,"","1"
834961,"980286",100,"","1"
834961,"980310",100,"","1"
834961,"980330",100,"","1"
834971,"800940",2313,"","1"
834971,"900000",30237,"","1"
834971,"900030",2062,"","1"
834971,"900080",200,"","1"
834971,"950001",-1425,"","1"
834971,"950011",-83,"","1"
834971,"950022",130,"","1"
834971,"980000",32499,"","1"
834971,"980010",2,"","1"
834971,"980020",62,"","1"
834971,"980030",2,"","1"
834971,"980070",33877,"","1"
834971,"980090",100,"","1"
834971,"980210",100,"","1"
834971,"980240",100,"","1"
834971,"980281",100,"","1"
834971,"980286",100,"","1"
834971,"980300",100,"","1"
834972,"800940",2317,"","1"
834972,"900000",30289,"","1"
834972,"900030",2062,"","1"
834972,"900080",200,"","1"
834972,"950001",-1425,"","1"
834972,"950011",-83,"","1"
834972,"950022",130,"","1"
834972,"980000",32551,"","1"
834972,"980010",2,"","1"
834972,"980020",62,"","1"
834972,"980030",2,"","1"
834972,"980070",33929,"","1"
834972,"980090",100,"","1"
834972,"980210",100,"","1"
834972,"980240",100,"","1"
834972,"980281",100,"","1"
834972,"980286",100,"","1"
834972,"980300",100,"","1"
834981,"800940",2477,"","1"
834981,"900000",32380,"","1"
834981,"900080",131,"","1"
834981,"950022",230,"","1"
834981,"980000",32511,"","1"
834981,"980010",1,"","1"
834981,"980020",57,"","1"
834981,"980030",1,"","1"
834981,"980040",1,"","1"
834981,"980070",32281,"","1"
834981,"980090",100,"","1"
834981,"980220",100,"","1"
834981,"980230",100,"","1"
834981,"980281",100,"","1"
834981,"980286",100,"","1"
834981,"980310",100,"","1"
834981,"980330",100,"","1"
834982,"800940",3210,"","1"
834982,"900000",41961,"","1"
834982,"900080",82,"","1"
834982,"950022",230,"","1"
834982,"980000",42043,"","1"
834982,"980010",1,"","1"
834982,"980020",57,"","1"
834982,"980030",1,"","1"
834982,"980040",1,"","1"
834982,"980070",41813,"","1"
834982,"980090",100,"","1"
834982,"980220",100,"","1"
834982,"980230",100,"","1"
834982,"980281",100,"","1"
834982,"980286",100,"","1"
834982,"980310",100,"","1"
834982,"980330",100,"","1"
834991,"800940",17450,"","1"
834991,"900000",115000,"","1"
834991,"900010",253223,"T","1"
834991,"980000",368223,"T","1"
834991,"980010",5,"","1"
834991,"980020",40,"","1"
834991,"980030",2,"","1"
834991,"980040",2,"","1"
834991,"980050",3,"","1"
834991,"980070",368223,"T","1"
834991,"980090",100,"","1"
834991,"980210",100,"","1"
834991,"980230",100,"","1"
834991,"980281",100,"","1"
834991,"980286",100,"","1"
834991,"980310",100,"","1"
834991,"980330",100,"","1"
834992,"800940",19264,"","1"
834992,"900000",115000,"","1"
834992,"900010",253223,"T","1"
834992,"980000",368223,"T","1"
834992,"980010",5,"","1"
834992,"980020",40,"","1"
834992,"980030",2,"","1"
834992,"980040",2,"","1"
834992,"980050",3,"","1"
834992,"980070",368223,"T","1"
834992,"980090",100,"","1"
834992,"980210",100,"","1"
834992,"980230",100,"","1"
834992,"980281",100,"","1"
834992,"980286",100,"","1"
834992,"980310",100,"","1"
834992,"980330",100,"","1"
835001,"800931",1161,"","1"
835001,"800940",3362,"","1"
835001,"900000",43934,"","1"
835001,"900131",2400,"","1"
835001,"950001",-4800,"","1"
835001,"950002",46,"","1"
835001,"950011",-2000,"","1"
835001,"950012",1207,"","1"
835001,"980000",46334,"","1"
835001,"980010",5,"","1"
835001,"980020",49,"","1"
835001,"980030",3,"","1"
835001,"980040",1,"","1"
835001,"980050",2,"","1"
835001,"980070",51881,"","1"
835001,"980220",100,"","1"
835001,"980260",100,"","1"
835001,"980281",100,"","1"
835001,"980285",100,"","1"
835001,"980310",100,"","1"
835001,"980330",100,"","1"
835002,"800931",1161,"","1"
835002,"800940",3295,"","1"
835002,"900000",43058,"","1"
835002,"900131",2400,"","1"
835002,"950001",-4800,"","1"
835002,"950002",46,"","1"
835002,"950011",-2000,"","1"
835002,"950012",1207,"","1"
835002,"980000",45458,"","1"
835002,"980010",5,"","1"
835002,"980020",49,"","1"
835002,"980030",3,"","1"
835002,"980040",1,"","1"
835002,"980050",2,"","1"
835002,"980070",51005,"","1"
835002,"980220",100,"","1"
835002,"980260",100,"","1"
835002,"980281",100,"","1"
835002,"980285",100,"","1"
835002,"980310",100,"","1"
835002,"980330",100,"","1"
835011,"800931",941,"","1"
835011,"800940",7268,"","1"
835011,"900000",95000,"","1"
835011,"900080",1,"","1"
835011,"950001",-2500,"","1"
835011,"950002",7647,"","1"
835011,"950011",-500,"","1"
835011,"980000",95001,"","1"
835011,"980010",4,"","1"
835011,"980020",32,"","1"
835011,"980030",2,"","1"
835011,"980040",2,"","1"
835011,"980050",2,"","1"
835011,"980070",90354,"","1"
835011,"980220",100,"","1"
835011,"980260",100,"","1"
835011,"980270",100,"","1"
835011,"980286",100,"","1"
835011,"980310",100,"","1"
835011,"980330",100,"","1"
835012,"800931",941,"","1"
835012,"800940",7268,"","1"
835012,"900000",95000,"","1"
835012,"900080",1,"","1"
835012,"950001",-2500,"","1"
835012,"950002",7647,"","1"
835012,"950011",-500,"","1"
835012,"980000",95001,"","1"
835012,"980010",4,"","1"
835012,"980020",32,"","1"
835012,"980030",2,"","1"
835012,"980040",2,"","1"
835012,"980050",2,"","1"
835012,"980070",90354,"","1"
835012,"980220",100,"","1"
835012,"980260",100,"","1"
835012,"980270",100,"","1"
835012,"980286",100,"","1"
835012,"980310",100,"","1"
835012,"980330",100,"","1"
835022,"800940",3614,"","1"
835022,"900000",48144,"","1"
835022,"980000",48144,"","1"
835022,"980010",1,"","1"
835022,"980020",41,"","1"
835022,"980030",1,"","1"
835022,"980040",2,"","1"
835022,"980070",48144,"","1"
835022,"980090",100,"","1"
835022,"980220",100,"","1"
835022,"980230",100,"","1"
835022,"980281",100,"","1"
835022,"980286",100,"","1"
835022,"980310",100,"","1"
835022,"980330",100,"","1"
835031,"800940",5490,"","1"
835031,"900000",71764,"","1"
835031,"980000",71764,"","1"
835031,"980010",4,"","1"
835031,"980020",27,"","1"
835031,"980030",2,"","1"
835031,"980040",1,"","1"
835031,"980050",2,"","1"
835031,"980070",71764,"","1"
835031,"980220",100,"","1"
835031,"980260",100,"","1"
835031,"980281",100,"","1"
835031,"980286",100,"","1"
835031,"980310",100,"","1"
835031,"980330",100,"","1"
835032,"800940",5097,"","1"
835032,"900000",66624,"","1"
835032,"980000",66624,"","1"
835032,"980010",4,"","1"
835032,"980020",27,"","1"
835032,"980030",2,"","1"
835032,"980040",1,"","1"
835032,"980050",2,"","1"
835032,"980070",66624,"","1"
835032,"980220",100,"","1"
835032,"980260",100,"","1"
835032,"980281",100,"","1"
835032,"980286",100,"","1"
835032,"980310",100,"","1"
835032,"980330",100,"","1"
835041,"800940",3060,"","1"
835041,"900000",40000,"","1"
835041,"950022",2066,"T","1"
835041,"980000",40000,"","1"
835041,"980010",4,"","1"
835041,"980020",61,"","1"
835041,"980030",2,"","1"
835041,"980040",1,"","1"
835041,"980070",37934,"T","1"
835041,"980220",100,"","1"
835041,"980260",100,"","1"
835041,"980281",100,"","1"
835041,"980286",100,"","1"
835041,"980310",100,"","1"
835041,"980330",100,"","1"
835042,"800940",3060,"","1"
835042,"900000",40000,"","1"
835042,"950022",2066,"T","1"
835042,"980000",40000,"","1"
835042,"980010",4,"","1"
835042,"980020",45,"","1"
835042,"980030",2,"","1"
835042,"980040",1,"","1"
835042,"980070",37934,"T","1"
835042,"980220",100,"","1"
835042,"980260",100,"","1"
835042,"980281",100,"","1"
835042,"980286",100,"","1"
835042,"980310",100,"","1"
835042,"980330",100,"","1"
835051,"800940",15276,"","1"
835051,"900010",109865,"","1"
835051,"900020",-10,"","1"
835051,"980000",109855,"","1"
835051,"980010",3,"","1"
835051,"980020",50,"","1"
835051,"980030",1,"","1"
835051,"980040",5,"","1"
835051,"980060",1,"","1"
835051,"980070",109855,"","1"
835051,"980090",100,"","1"
835051,"980220",100,"","1"
835051,"980240",100,"","1"
835051,"980281",100,"","1"
835051,"980286",100,"","1"
835051,"980310",100,"","1"
835051,"980330",100,"","1"
835052,"800940",15034,"","1"
835052,"900010",102320,"","1"
835052,"900020",-10,"","1"
835052,"980000",102310,"","1"
835052,"980010",3,"","1"
835052,"980020",50,"","1"
835052,"980030",1,"","1"
835052,"980040",5,"","1"
835052,"980060",1,"","1"
835052,"980070",102310,"","1"
835052,"980090",100,"","1"
835052,"980220",100,"","1"
835052,"980240",100,"","1"
835052,"980281",100,"","1"
835052,"980286",100,"","1"
835052,"980310",100,"","1"
835052,"980330",100,"","1"
835061,"900030",25524,"","1"
835061,"980000",25524,"","1"
835061,"980010",2,"","1"
835061,"980020",75,"","1"
835061,"980040",1,"","1"
835061,"980060",2,"","1"
835061,"980070",25524,"","1"
835061,"980090",100,"","1"
835061,"980210",100,"","1"
835061,"980240",100,"","1"
835061,"980281",100,"","1"
835061,"980286",100,"","1"
835061,"980310",100,"","1"
835061,"980330",100,"","1"
835062,"900030",25524,"","1"
835062,"980000",25524,"","1"
835062,"980010",2,"","1"
835062,"980020",75,"","1"
835062,"980040",1,"","1"
835062,"980060",2,"","1"
835062,"980070",25524,"","1"
835062,"980090",100,"","1"
835062,"980210",100,"","1"
835062,"980240",100,"","1"
835062,"980281",100,"","1"
835062,"980286",100,"","1"
835062,"980310",100,"","1"
835062,"980330",100,"","1"
835071,"800940",5371,"","1"
835071,"900000",12222,"","1"
835071,"900010",27678,"","1"
835071,"950003",1400,"","1"
835071,"980000",39900,"","1"
835071,"980010",2,"","1"
835071,"980020",42,"","1"
835071,"980030",1,"","1"
835071,"980040",1,"","1"
835071,"980050",1,"","1"
835071,"980070",38500,"","1"
835071,"980090",100,"","1"
835071,"980210",100,"","1"
835071,"980240",100,"","1"
835071,"980281",100,"","1"
835071,"980285",100,"","1"
835071,"980300",100,"","1"
835071,"980330",100,"","1"
835072,"800940",3761,"","1"
835072,"900000",12744,"","1"
835072,"900010",18213,"","1"
835072,"950003",1400,"","1"
835072,"980000",30957,"","1"
835072,"980010",2,"","1"
835072,"980020",42,"","1"
835072,"980030",1,"","1"
835072,"980040",1,"","1"
835072,"980050",1,"","1"
835072,"980070",29557,"","1"
835072,"980090",100,"","1"
835072,"980210",100,"","1"
835072,"980240",100,"","1"
835072,"980281",100,"","1"
835072,"980285",100,"","1"
835072,"980300",100,"","1"
835072,"980330",100,"","1"
835081,"900030",11736,"","1"
835081,"900040",6558,"","1"
835081,"900150",4646,"","1"
835081,"980000",22941,"","1"
835081,"980010",2,"","1"
835081,"980020",54,"","1"
