"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
684082,"800940","1",6120,,"1"
684082,"800940","1",6120,,"2"
684082,"800940","1",6120,,"3"
684082,"800940","1",6120,,"4"
684082,"800940","1",6120,,"5"
684082,"900000","1",80000,,"1"
684082,"900000","1",80000,,"2"
684082,"900000","1",80000,,"3"
684082,"900000","1",80000,,"4"
684082,"900000","1",80000,,"5"
684082,"900050","1",300,,"1"
684082,"900050","1",300,,"2"
684082,"900050","1",300,,"3"
684082,"900050","1",300,,"4"
684082,"900050","1",300,,"5"
684082,"900080","1",600,,"1"
684082,"900080","1",600,,"2"
684082,"900080","1",600,,"3"
684082,"900080","1",600,,"4"
684082,"900080","1",600,,"5"
684082,"950000","1",17910,,"1"
684082,"950000","1",17910,,"2"
684082,"950000","1",17910,,"3"
684082,"950000","1",17910,,"4"
684082,"950000","1",17910,,"5"
684082,"950010","1",2985,,"1"
684082,"950010","1",2985,,"2"
684082,"950010","1",2985,,"3"
684082,"950010","1",2985,,"4"
684082,"950010","1",2985,,"5"
684082,"980000","1",80900,,"1"
684082,"980000","1",80900,,"2"
684082,"980000","1",80900,,"3"
684082,"980000","1",80900,,"4"
684082,"980000","1",80900,,"5"
684082,"980070","1",61285,,"1"
684082,"980070","1",61285,,"2"
684082,"980070","1",61285,,"3"
684082,"980070","1",61285,,"4"
684082,"980070","1",61285,,"5"
686441,"800940","1",7007,,"1"
686441,"800940","1",7007,,"2"
686441,"800940","1",7007,,"3"
686441,"800940","1",7007,,"4"
686441,"800940","1",7007,,"5"
686441,"900000","1",91600,,"1"
686441,"900000","1",91600,,"2"
686441,"900000","1",91600,,"3"
686441,"900000","1",91600,,"4"
686441,"900000","1",91600,,"5"
686441,"980000","1",91600,,"1"
686441,"980000","1",91600,,"2"
686441,"980000","1",91600,,"3"
686441,"980000","1",91600,,"4"
686441,"980000","1",91600,,"5"
686441,"980070","1",92560,,"1"
686441,"980070","1",92560,,"2"
686441,"980070","1",92560,,"3"
686441,"980070","1",92560,,"4"
686441,"980070","1",92560,,"5"
686442,"800940","1",7007,,"1"
686442,"800940","1",7007,,"2"
686442,"800940","1",7007,,"3"
686442,"800940","1",7007,,"4"
686442,"800940","1",7007,,"5"
686442,"900000","1",91600,,"1"
686442,"900000","1",91600,,"2"
686442,"900000","1",91600,,"3"
686442,"900000","1",91600,,"4"
686442,"900000","1",91600,,"5"
686442,"980000","1",91600,,"1"
686442,"980000","1",91600,,"2"
686442,"980000","1",91600,,"3"
686442,"980000","1",91600,,"4"
686442,"980000","1",91600,,"5"
686442,"980070","1",92560,,"1"
686442,"980070","1",92560,,"2"
686442,"980070","1",92560,,"3"
686442,"980070","1",92560,,"4"
686442,"980070","1",92560,,"5"
696451,"800940","1",6546,,"1"
696451,"800940","1",4567,,"2"
696451,"800940","1",6579,,"3"
696451,"800940","1",4025,,"4"
696451,"800940","1",5815,,"5"
696451,"900000","1",85575,,"1"
696451,"900000","1",59691,,"2"
696451,"900000","1",86001,,"3"
696451,"900000","1",52612,,"4"
696451,"900000","1",76018,,"5"
696451,"980000","1",85575,,"1"
696451,"980000","1",59691,,"2"
696451,"980000","1",86001,,"3"
696451,"980000","1",52612,,"4"
696451,"980000","1",76018,,"5"
696451,"980070","1",85575,,"1"
696451,"980070","1",59691,,"2"
696451,"980070","1",86001,,"3"
696451,"980070","1",52612,,"4"
696451,"980070","1",76018,,"5"
696452,"800940","1",2255,,"1"
696452,"800940","1",3974,,"2"
696452,"800940","1",5229,,"3"
696452,"800940","1",8620,,"4"
696452,"800940","1",3417,,"5"
696452,"900000","1",29476,,"1"
696452,"900000","1",51952,,"2"
696452,"900000","1",68355,,"3"
696452,"900000","1",125272,,"4"
696452,"900000","1",44668,,"5"
696452,"980000","1",29476,,"1"
696452,"980000","1",51952,,"2"
696452,"980000","1",68355,,"3"
696452,"980000","1",125272,,"4"
696452,"980000","1",44668,,"5"
696452,"980070","1",29476,,"1"
696452,"980070","1",51952,,"2"
696452,"980070","1",68355,,"3"
696452,"980070","1",125272,,"4"
696452,"980070","1",44668,,"5"
698841,"900131","1",400,,"1"
698841,"900131","1",400,,"2"
698841,"900131","1",400,,"3"
698841,"900131","1",400,,"4"
698841,"900131","1",400,,"5"
698841,"900150","1",3000,,"1"
698841,"900150","1",3000,,"2"
698841,"900150","1",3000,,"3"
698841,"900150","1",3000,,"4"
698841,"900150","1",3000,,"5"
698841,"980000","1",3400,,"1"
698841,"980000","1",3400,,"2"
698841,"980000","1",3400,,"3"
698841,"980000","1",3400,,"4"
698841,"980000","1",3400,,"5"
698841,"980070","1",3400,,"1"
698841,"980070","1",3400,,"2"
