"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
680561,"800940",6128,,"1"
680561,"900000",87595,,"1"
680561,"900010",-5000,,"1"
680561,"900040",42000,,"1"
680561,"900080",33,,"1"
680561,"980000",124628,,"1"
680561,"980010",1,,"1"
680561,"980020",42,,"1"
680561,"980030",1,,"1"
680561,"980040",1,,"1"
680561,"980070",124628,,"1"
680561,"980090",100,,"1"
680561,"980210",100,,"1"
680561,"980230",100,,"1"
680561,"980281",100,,"1"
680561,"980286",100,,"1"
680561,"980310",100,,"1"
680561,"980330",100,,"1"
680562,"800940",4704,,"1"
680562,"900000",66533,,"1"
680562,"900010",-5000,,"1"
680562,"900040",42000,,"1"
680562,"900080",33,,"1"
680562,"980000",103566,,"1"
680562,"980010",1,,"1"
680562,"980020",42,,"1"
680562,"980030",1,,"1"
680562,"980040",1,,"1"
680562,"980070",103566,,"1"
680562,"980090",100,,"1"
680562,"980210",100,,"1"
680562,"980230",100,,"1"
680562,"980281",100,,"1"
680562,"980286",100,,"1"
680562,"980310",100,,"1"
680562,"980330",100,,"1"
680571,"800940",2882,,"1"
680571,"900000",37769,,"1"
680571,"980000",37769,,"1"
680571,"980010",1,,"1"
680571,"980020",86,"T","1"
680571,"980030",1,,"1"
680571,"980060",1,,"1"
680571,"980070",37769,,"1"
680571,"980090",100,,"1"
680571,"980220",100,,"1"
680571,"980250",100,,"1"
680571,"980281",100,,"1"
680571,"980286",100,,"1"
680571,"980300",100,,"1"
680581,"800940",1831,,"1"
680581,"900000",23927,,"1"
680581,"950022",80,,"1"
680581,"980000",23927,,"1"
680581,"980010",4,,"1"
680581,"980020",31,,"1"
680581,"980030",1,,"1"
680581,"980040",2,,"1"
680581,"980050",2,,"1"
680581,"980070",23847,,"1"
680581,"980090",100,,"1"
680581,"980220",100,,"1"
680581,"980230",100,,"1"
680581,"980281",100,,"1"
680581,"980285",100,,"1"
680581,"980300",100,,"1"
680581,"980330",100,,"1"
680582,"800940",1896,,"1"
680582,"900000",24783,,"1"
680582,"950022",80,,"1"
680582,"980000",24783,,"1"
680582,"980010",4,,"1"
680582,"980020",31,,"1"
680582,"980030",1,,"1"
680582,"980040",2,,"1"
680582,"980050",2,,"1"
680582,"980070",24703,,"1"
680582,"980090",100,,"1"
680582,"980220",100,,"1"
680582,"980230",100,,"1"
680582,"980281",100,,"1"
680582,"980285",100,,"1"
680582,"980300",100,,"1"
680582,"980330",100,,"1"
680591,"800940",1913,,"1"
680591,"900000",25000,,"1"
680591,"950000",4167,,"1"
680591,"950001",-900,,"1"
680591,"950010",2083,,"1"
680591,"950011",-500,,"1"
680591,"980000",25000,,"1"
680591,"980010",1,,"1"
680591,"980020",27,,"1"
680591,"980030",1,,"1"
680591,"980040",2,,"1"
680591,"980070",20150,,"1"
680591,"980210",100,,"1"
680591,"980260",100,,"1"
680591,"980281",100,,"1"
680591,"980286",100,,"1"
680591,"980310",100,,"1"
