"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
721151,"900060",-1400,,"1"
721151,"900070",9600,,"1"
721151,"910000",98,,"1"
721151,"980000",8200,,"1"
721151,"980010",1,,"1"
721151,"980020",60,,"1"
721151,"980040",1,,"1"
721151,"980070",8200,,"1"
721151,"980090",100,,"1"
721151,"980220",100,,"1"
721151,"980230",100,,"1"
721151,"980281",100,,"1"
721151,"980286",100,,"1"
721151,"980290",100,,"1"
721151,"980330",100,,"1"
721152,"900060",-1400,,"1"
721152,"900070",9600,,"1"
721152,"910000",98,,"1"
721152,"980000",8200,,"1"
721152,"980010",1,,"1"
721152,"980020",60,,"1"
721152,"980040",1,,"1"
721152,"980070",8200,,"1"
721152,"980090",100,,"1"
721152,"980220",100,,"1"
721152,"980230",100,,"1"
721152,"980281",100,,"1"
721152,"980286",100,,"1"
721152,"980290",100,,"1"
721152,"980330",100,,"1"
721161,"800940",2722,,"1"
721161,"900000",35574,,"1"
721161,"980000",35574,,"1"
721161,"980010",4,,"1"
721161,"980020",33,,"1"
721161,"980030",1,,"1"
721161,"980040",2,,"1"
721161,"980050",2,,"1"
721161,"980070",35574,,"1"
721161,"980090",100,,"1"
721161,"980210",100,,"1"
721161,"980230",100,,"1"
721161,"980281",100,,"1"
721161,"980286",100,,"1"
721161,"980300",100,,"1"
721161,"980330",100,,"1"
721162,"800940",2705,,"1"
721162,"900000",38333,,"1"
721162,"980000",38333,,"1"
721162,"980010",4,,"1"
721162,"980020",33,,"1"
721162,"980030",1,,"1"
721162,"980040",2,,"1"
721162,"980050",2,,"1"
721162,"980070",38333,,"1"
721162,"980090",100,,"1"
721162,"980210",100,,"1"
721162,"980230",100,,"1"
721162,"980281",100,,"1"
721162,"980286",100,,"1"
721162,"980300",100,,"1"
721162,"980330",100,,"1"
721171,"800940",2393,,"1"
721171,"900000",34282,,"1"
721171,"900030",7586,,"1"
721171,"900090",225,,"1"
721171,"900150",924,,"1"
721171,"950021",132,,"1"
721171,"950022",75,,"1"
721171,"980000",43017,,"1"
721171,"980010",2,,"1"
721171,"980020",63,,"1"
721171,"980030",1,,"1"
721171,"980040",1,,"1"
721171,"980070",42810,,"1"
721171,"980090",100,,"1"
721171,"980210",100,,"1"
721171,"980240",100,,"1"
721171,"980270",100,,"1"
721171,"980286",100,,"1"
721171,"980290",100,,"1"
721171,"980330",100,,"1"
721172,"800940",2414,,"1"
721172,"900000",31559,,"1"
721172,"900030",7586,,"1"
721172,"900090",225,,"1"
721172,"900150",924,,"1"
721172,"950021",132,,"1"
721172,"950022",75,,"1"
721172,"980000",40294,,"1"
721172,"980010",2,,"1"
721172,"980020",63,,"1"
721172,"980030",1,,"1"
721172,"980040",1,,"1"
721172,"980070",40087,,"1"
721172,"980090",100,,"1"
721172,"980210",100,,"1"
721172,"980240",100,,"1"
721172,"980270",100,,"1"
721172,"980286",100,,"1"
721172,"980290",100,,"1"
721172,"980330",100,,"1"
721181,"800940",2984,,"1"
721181,"900000",39007,,"1"
721181,"900030",10826,,"1"
721181,"900040",10923,,"1"
721181,"900080",96,,"1"
721181,"980000",60852,,"1"
721181,"980010",3,,"1"
721181,"980020",71,,"1"
721181,"980030",2,,"1"
721181,"980040",2,,"1"
