"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
709261,"800940","1",16586,"T","1"
709261,"800940","1",16586,"T","2"
709261,"800940","1",16586,"T","3"
709261,"800940","1",16586,"T","4"
709261,"800940","1",16586,"T","5"
709261,"900000","1",335029,"T","1"
709261,"900000","1",222311,"T","2"
709261,"900000","1",253259,"T","3"
709261,"900000","1",235454,"T","4"
709261,"900000","1",270384,"T","5"
709261,"900010","1",92000,,"1"
709261,"900010","1",92000,,"2"
709261,"900010","1",92000,,"3"
709261,"900010","1",92000,,"4"
709261,"900010","1",92000,,"5"
709261,"900050","1",400,,"1"
709261,"900050","1",400,,"2"
709261,"900050","1",400,,"3"
709261,"900050","1",400,,"4"
709261,"900050","1",400,,"5"
709261,"900080","1",300,,"1"
709261,"900080","1",300,,"2"
709261,"900080","1",300,,"3"
709261,"900080","1",300,,"4"
709261,"900080","1",300,,"5"
709261,"950000","1",408,,"1"
709261,"950000","1",408,,"2"
709261,"950000","1",408,,"3"
709261,"950000","1",408,,"4"
709261,"950000","1",408,,"5"
709261,"950010","1",98,,"1"
709261,"950010","1",98,,"2"
709261,"950010","1",98,,"3"
709261,"950010","1",98,,"4"
709261,"950010","1",98,,"5"
709261,"980000","1",427729,"T","1"
709261,"980000","1",315011,"T","2"
709261,"980000","1",345959,"T","3"
709261,"980000","1",328154,"T","4"
709261,"980000","1",363084,"T","5"
709261,"980070","1",427223,"T","1"
709261,"980070","1",314505,"T","2"
709261,"980070","1",345453,"T","3"
709261,"980070","1",327648,"T","4"
709261,"980070","1",362578,"T","5"
709262,"800940","1",16008,"T","1"
709262,"800940","1",13121,"T","2"
709262,"800940","1",15911,"T","3"
709262,"800940","1",16041,"T","4"
709262,"800940","1",16097,"T","5"
709262,"900000","1",119786,,"1"
709262,"900000","1",60528,,"2"
709262,"900000","1",177168,,"3"
709262,"900000","1",158448,,"4"
709262,"900000","1",130831,,"5"
709262,"900010","1",92000,,"1"
709262,"900010","1",92000,,"2"
709262,"900010","1",92000,,"3"
709262,"900010","1",92000,,"4"
709262,"900010","1",92000,,"5"
709262,"900050","1",400,,"1"
709262,"900050","1",400,,"2"
709262,"900050","1",400,,"3"
709262,"900050","1",400,,"4"
709262,"900050","1",400,,"5"
709262,"900080","1",300,,"1"
709262,"900080","1",300,,"2"
709262,"900080","1",300,,"3"
709262,"900080","1",300,,"4"
709262,"900080","1",300,,"5"
709262,"950000","1",408,,"1"
709262,"950000","1",408,,"2"
709262,"950000","1",408,,"3"
709262,"950000","1",408,,"4"
709262,"950000","1",408,,"5"
709262,"950010","1",98,,"1"
709262,"950010","1",98,,"2"
709262,"950010","1",98,,"3"
709262,"950010","1",98,,"4"
709262,"950010","1",98,,"5"
709262,"980000","1",212486,,"1"
709262,"980000","1",153228,,"2"
709262,"980000","1",269868,,"3"
709262,"980000","1",251148,,"4"
709262,"980000","1",223531,,"5"
709262,"980070","1",211980,,"1"
709262,"980070","1",152722,,"2"
709262,"980070","1",269362,,"3"
709262,"980070","1",250642,,"4"
709262,"980070","1",223025,,"5"
719651,"800940","1",4257,,"1"
719651,"800940","1",4653,,"2"
719651,"800940","1",4662,,"3"
719651,"800940","1",4633,,"4"
719651,"800940","1",4696,,"5"
719651,"900000","1",55641,,"1"
719651,"900000","1",60816,,"2"
719651,"900000","1",60941,,"3"
719651,"900000","1",60559,,"4"
719651,"900000","1",61382,,"5"
719651,"900040","1",24000,,"1"
719651,"900040","1",24000,,"2"
719651,"900040","1",24000,,"3"
719651,"900040","1",24000,,"4"
719651,"900040","1",24000,,"5"
719651,"900050","1",53,,"1"
719651,"900050","1",206,,"2"
719651,"900050","1",98,,"3"
719651,"900050","1",530,,"4"
719651,"900050","1",194,,"5"
719651,"900080","1",161,,"1"
719651,"900080","1",120,,"2"
719651,"900080","1",957,,"3"
719651,"900080","1",179,,"4"
719651,"900080","1",27,,"5"
719651,"980000","1",79855,,"1"
719651,"980000","1",85142,,"2"
719651,"980000","1",85996,,"3"
719651,"980000","1",85268,,"4"
719651,"980000","1",85603,,"5"
719651,"980070","1",80955,,"1"
719651,"980070","1",86242,,"2"
719651,"980070","1",87096,,"3"
719651,"980070","1",86368,,"4"
719651,"980070","1",86703,,"5"
719652,"800940","1",4429,,"1"
719652,"800940","1",4152,,"2"
719652,"800940","1",4208,,"3"
719652,"800940","1",4716,,"4"
719652,"800940","1",4063,,"5"
719652,"900000","1",57888,,"1"
