"HH_CU_Q","hhid","hhid_","newid"
1,.,"A",582881
1,.,"A",582882
1,.,"A",582891
1,.,"A",582892
1,.,"A",582901
1,.,"A",582902
1,.,"A",582911
1,.,"A",582912
1,.,"A",582922
1,.,"A",582931
1,.,"A",582932
1,.,"A",582941
1,.,"A",582942
1,.,"A",582951
1,.,"A",582952
1,.,"A",582961
1,.,"A",582962
1,.,"A",582972
1,.,"A",582981
1,.,"A",582982
1,.,"A",582991
1,.,"A",582992
1,.,"A",583001
1,.,"A",583002
1,.,"A",583011
1,.,"A",583012
1,.,"A",583021
1,.,"A",583022
1,.,"A",583031
1,.,"A",583032
2,15,"D",583041
2,49,"D",583042
1,.,"A",583051
1,.,"A",583052
1,.,"A",583061
1,.,"A",583071
1,.,"A",583072
1,.,"A",583081
1,.,"A",583082
1,.,"A",583091
1,.,"A",583092
1,.,"A",583101
1,.,"A",583102
1,.,"A",583111
1,.,"A",583112
1,.,"A",583121
1,.,"A",583122
1,.,"A",583131
1,.,"A",583132
1,.,"A",583141
1,.,"A",583151
1,.,"A",583152
1,.,"A",583161
1,.,"A",583162
1,.,"A",583171
1,.,"A",583172
1,.,"A",583181
1,.,"A",583182
1,.,"A",583191
1,.,"A",583192
1,.,"A",583201
1,.,"A",583211
1,.,"A",583212
1,.,"A",583221
1,.,"A",583222
1,.,"A",583231
1,.,"A",583232
1,.,"A",583241
1,.,"A",583242
1,.,"A",583251
1,.,"A",583252
1,.,"A",583261
1,.,"A",583262
1,.,"A",583271
1,.,"A",583272
1,.,"A",583281
1,.,"A",583282
1,.,"A",583291
1,.,"A",583292
1,.,"A",583301
1,.,"A",583302
1,.,"A",583311
1,.,"A",583312
1,.,"A",583321
1,.,"A",583322
1,.,"A",583331
1,.,"A",583332
1,.,"A",583341
1,.,"A",583342
1,.,"A",583351
1,.,"A",583352
1,.,"A",583361
1,.,"A",583362
1,.,"A",583371
1,.,"A",583372
1,.,"A",583381
1,.,"A",583382
1,.,"A",583391
1,.,"A",583401
1,.,"A",583402
1,.,"A",583411
1,.,"A",583412
1,.,"A",583421
1,.,"A",583422
1,.,"A",583431
1,.,"A",583432
1,.,"A",583441
1,.,"A",583442
1,.,"A",583451
1,.,"A",583452
1,.,"A",583461
1,.,"A",583462
1,.,"A",583471
1,.,"A",583472
1,.,"A",583482
1,.,"A",583491
1,.,"A",583492
1,.,"A",583501
1,.,"A",583502
1,.,"A",583511
1,.,"A",583512
1,.,"A",583522
1,.,"A",583531
1,.,"A",583532
1,.,"A",583541
1,.,"A",583542
1,.,"A",583551
1,.,"A",583552
1,.,"A",583561
1,.,"A",583562
1,.,"A",583571
1,.,"A",583572
1,.,"A",583581
1,.,"A",583582
1,.,"A",583591
1,.,"A",583592
1,.,"A",583601
1,.,"A",583602
1,.,"A",583611
1,.,"A",583612
1,.,"A",583621
1,.,"A",583631
1,.,"A",583632
1,.,"A",583641
1,.,"A",583642
1,.,"A",583651
1,.,"A",583652
1,.,"A",583661
1,.,"A",583662
1,.,"A",583671
1,.,"A",583672
1,.,"A",583682
1,.,"A",583691
1,.,"A",583692
1,.,"A",583701
1,.,"A",583702
1,.,"A",583711
1,.,"A",583712
1,.,"A",583721
1,.,"A",583722
1,.,"A",583731
1,.,"A",583732
1,.,"A",583741
1,.,"A",583742
1,.,"A",583751
1,.,"A",583752
1,.,"A",583761
1,.,"A",583762
1,.,"A",583771
1,.,"A",583772
1,.,"A",583781
1,.,"A",583782
1,.,"A",583791
1,.,"A",583801
1,.,"A",583802
1,.,"A",583811
1,.,"A",583812
1,.,"A",583821
1,.,"A",583822
1,.,"A",583831
1,.,"A",583832
2,31,"D",583841
2,67,"D",583842
1,.,"A",583851
1,.,"A",583852
1,.,"A",583862
1,.,"A",583871
1,.,"A",583872
1,.,"A",583881
1,.,"A",583882
1,.,"A",583891
1,.,"A",583892
1,.,"A",583901
1,.,"A",583902
1,.,"A",583911
1,.,"A",583912
1,.,"A",583921
1,.,"A",583922
1,.,"A",583931
1,.,"A",583941
1,.,"A",583942
1,.,"A",583951
1,.,"A",583952
1,.,"A",583961
1,.,"A",583962
1,.,"A",583971
1,.,"A",583972
1,.,"A",583981
1,.,"A",583982
1,.,"A",583991
1,.,"A",583992
1,.,"A",584001
1,.,"A",584002
1,.,"A",584011
1,.,"A",584012
1,.,"A",584021
1,.,"A",584022
1,.,"A",584031
1,.,"A",584032
1,.,"A",584041
1,.,"A",584042
2,7,"D",584051
2,41,"D",584052
1,.,"A",584061
1,.,"A",584062
1,.,"A",584071
1,.,"A",584072
1,.,"A",584081
1,.,"A",584082
1,.,"A",584091
1,.,"A",584092
1,.,"A",584101
1,.,"A",584102
1,.,"A",584111
1,.,"A",584112
1,.,"A",584121
1,.,"A",584122
1,.,"A",584131
1,.,"A",584132
1,.,"A",584141
1,.,"A",584142
1,.,"A",584151
1,.,"A",584152
1,.,"A",584161
1,.,"A",584162
1,.,"A",584172
1,.,"A",584181
1,.,"A",584182
1,.,"A",584191
1,.,"A",584192
1,.,"A",584201
1,.,"A",584202
1,.,"A",584211
1,.,"A",584212
1,.,"A",584221
1,.,"A",584222
1,.,"A",584231
1,.,"A",584232
1,.,"A",584241
1,.,"A",584242
1,.,"A",584251
1,.,"A",584252
1,.,"A",584261
1,.,"A",584262
1,.,"A",584271
1,.,"A",584272
1,.,"A",584281
1,.,"A",584282
1,.,"A",584291
1,.,"A",584292
1,.,"A",584301
1,.,"A",584302
1,.,"A",584311
1,.,"A",584312
1,.,"A",584321
1,.,"A",584322
1,.,"A",584331
1,.,"A",584332
1,.,"A",584341
1,.,"A",584351
1,.,"A",584352
1,.,"A",584361
1,.,"A",584362
1,.,"A",584371
1,.,"A",584372
1,.,"A",584381
1,.,"A",584382
1,.,"A",584391
1,.,"A",584392
1,.,"A",584401
1,.,"A",584402
1,.,"A",584411
1,.,"A",584412
1,.,"A",584421
1,.,"A",584422
1,.,"A",584431
1,.,"A",584432
1,.,"A",584442
1,.,"A",584451
1,.,"A",584452
1,.,"A",584461
1,.,"A",584462
1,.,"A",584471
1,.,"A",584481
1,.,"A",584482
1,.,"A",584491
1,.,"A",584492
1,.,"A",584501
1,.,"A",584502
1,.,"A",584511
1,.,"A",584512
1,.,"A",584521
1,.,"A",584522
1,.,"A",584531
1,.,"A",584532
1,.,"A",584541
1,.,"A",584542
1,.,"A",584551
1,.,"A",584552
1,.,"A",584561
1,.,"A",584562
1,.,"A",584571
1,.,"A",584572
1,.,"A",584581
1,.,"A",584582
1,.,"A",584591
1,.,"A",584592
1,.,"A",584601
1,.,"A",584602
1,.,"A",584611
1,.,"A",584612
3,2,"D",584621
3,35,"D",584622
1,.,"A",584631
1,.,"A",584632
1,.,"A",584641
1,.,"A",584642
1,.,"A",584651
1,.,"A",584652
1,.,"A",584661
1,.,"A",584662
1,.,"A",584671
1,.,"A",584672
1,.,"A",584681
1,.,"A",584682
1,.,"A",584691
1,.,"A",584692
1,.,"A",584701
1,.,"A",584702
1,.,"A",584711
1,.,"A",584712
1,.,"A",584721
1,.,"A",584722
1,.,"A",584731
1,.,"A",584732
1,.,"A",584741
1,.,"A",584742
1,.,"A",584751
1,.,"A",584752
1,.,"A",584761
1,.,"A",584762
1,.,"A",584771
1,.,"A",584772
1,.,"A",584781
1,.,"A",584782
3,2,"D",584791
3,35,"D",584792
1,.,"A",584801
1,.,"A",584802
1,.,"A",584811
1,.,"A",584812
1,.,"A",584821
1,.,"A",584822
1,.,"A",584831
1,.,"A",584832
1,.,"A",584841
1,.,"A",584842
1,.,"A",584851
1,.,"A",584852
1,.,"A",584861
1,.,"A",584862
1,.,"A",584871
1,.,"A",584872
1,.,"A",584881
1,.,"A",584882
1,.,"A",584891
1,.,"A",584892
1,.,"A",584901
1,.,"A",584902
1,.,"A",584911
1,.,"A",584912
1,.,"A",584921
1,.,"A",584922
1,.,"A",584931
1,.,"A",584932
1,.,"A",584941
1,.,"A",584942
1,.,"A",584951
1,.,"A",584952
1,.,"A",584961
1,.,"A",584962
1,.,"A",584971
1,.,"A",584981
1,.,"A",584982
1,.,"A",584991
1,.,"A",585001
1,.,"A",585002
1,.,"A",585011
1,.,"A",585012
1,.,"A",585021
1,.,"A",585022
1,.,"A",585031
1,.,"A",585032
1,.,"A",585042
1,.,"A",585051
1,.,"A",585052
1,.,"A",585061
1,.,"A",585062
1,.,"A",585071
1,.,"A",585081
1,.,"A",585082
1,.,"A",585091
1,.,"A",585101
1,.,"A",585102
1,.,"A",585112
1,.,"A",585121
1,.,"A",585122
1,.,"A",585131
1,.,"A",585132
1,.,"A",585141
1,.,"A",585142
2,23,"D",585151
2,59,"D",585152
1,.,"A",585161
1,.,"A",585162
2,25,"D",585171
1,.,"A",585181
1,.,"A",585182
1,.,"A",585191
1,.,"A",585192
2,9,"D",585201
2,43,"D",585202
1,.,"A",585211
1,.,"A",585212
1,.,"A",585221
1,.,"A",585222
1,.,"A",585231
1,.,"A",585232
1,.,"A",585241
1,.,"A",585242
2,56,"D",585252
1,.,"A",585261
1,.,"A",585262
1,.,"A",585271
1,.,"A",585272
1,.,"A",585281
1,.,"A",585282
1,.,"A",585291
1,.,"A",585292
1,.,"A",585301
1,.,"A",585302
1,.,"A",585311
1,.,"A",585321
1,.,"A",585322
1,.,"A",585331
1,.,"A",585332
1,.,"A",585341
1,.,"A",585342
1,.,"A",585351
1,.,"A",585352
1,.,"A",585361
1,.,"A",585362
1,.,"A",585371
1,.,"A",585372
1,.,"A",585381
1,.,"A",585382
1,.,"A",585391
1,.,"A",585392
1,.,"A",585401
1,.,"A",585402
1,.,"A",585411
1,.,"A",585412
1,.,"A",585421
1,.,"A",585422
1,.,"A",585432
1,.,"A",585441
1,.,"A",585442
1,.,"A",585451
1,.,"A",585452
1,.,"A",585461
1,.,"A",585462
1,.,"A",585471
1,.,"A",585472
1,.,"A",585482
1,.,"A",585491
1,.,"A",585492
1,.,"A",585501
1,.,"A",585502
1,.,"A",585511
1,.,"A",585512
1,.,"A",585521
1,.,"A",585522
1,.,"A",585531
1,.,"A",585532
1,.,"A",585542
1,.,"A",585551
1,.,"A",585552
1,.,"A",585561
1,.,"A",585562
1,.,"A",585571
1,.,"A",585572
1,.,"A",585582
1,.,"A",585592
1,.,"A",585601
1,.,"A",585602
1,.,"A",585611
1,.,"A",585612
1,.,"A",585621
1,.,"A",585622
1,.,"A",585631
1,.,"A",585632
1,.,"A",585642
1,.,"A",585651
1,.,"A",585652
1,.,"A",585661
1,.,"A",585662
1,.,"A",585672
1,.,"A",585681
1,.,"A",585682
1,.,"A",585691
1,.,"A",585692
1,.,"A",585701
1,.,"A",585702
1,.,"A",585711
1,.,"A",585712
1,.,"A",585721
1,.,"A",585722
1,.,"A",585731
1,.,"A",585732
1,.,"A",585741
1,.,"A",585742
1,.,"A",585752
1,.,"A",585761
1,.,"A",585762
1,.,"A",585771
1,.,"A",585772
1,.,"A",585781
1,.,"A",585782
4,1,"D",585791
4,34,"D",585792
1,.,"A",585801
1,.,"A",585802
1,.,"A",585811
1,.,"A",585812
2,16,"D",585821
2,50,"D",585822
1,.,"A",585831
1,.,"A",585832
1,.,"A",585841
1,.,"A",585842
1,.,"A",585851
1,.,"A",585852
1,.,"A",585861
1,.,"A",585862
1,.,"A",585871
1,.,"A",585872
1,.,"A",585881
1,.,"A",585882
1,.,"A",585891
1,.,"A",585892
1,.,"A",585901
1,.,"A",585902
1,.,"A",585911
1,.,"A",585912
1,.,"A",585921
1,.,"A",585922
1,.,"A",585931
1,.,"A",585932
1,.,"A",585941
1,.,"A",585942
1,.,"A",585951
1,.,"A",585952
1,.,"A",585961
1,.,"A",585962
1,.,"A",585971
1,.,"A",585972
1,.,"A",585981
1,.,"A",585982
1,.,"A",585991
1,.,"A",585992
1,.,"A",586001
1,.,"A",586002
1,.,"A",586011
1,.,"A",586012
1,.,"A",586021
1,.,"A",586022
1,.,"A",586032
1,.,"A",586041
1,.,"A",586042
1,.,"A",586051
1,.,"A",586052
1,.,"A",586061
1,.,"A",586062
2,14,"D",586071
2,48,"D",586072
1,.,"A",586081
1,.,"A",586082
1,.,"A",586091
1,.,"A",586092
1,.,"A",586101
1,.,"A",586102
1,.,"A",586111
1,.,"A",586112
1,.,"A",586121
1,.,"A",586122
1,.,"A",586131
1,.,"A",586141
1,.,"A",586142
1,.,"A",586151
1,.,"A",586152
1,.,"A",586161
1,.,"A",586162
1,.,"A",586171
1,.,"A",586172
1,.,"A",586181
1,.,"A",586182
1,.,"A",586191
1,.,"A",586192
1,.,"A",586201
1,.,"A",586202
1,.,"A",586211
1,.,"A",586212
1,.,"A",586221
1,.,"A",586222
1,.,"A",586232
1,.,"A",586241
1,.,"A",586242
1,.,"A",586251
1,.,"A",586252
1,.,"A",586261
1,.,"A",586262
1,.,"A",586272
1,.,"A",586281
1,.,"A",586282
1,.,"A",586291
1,.,"A",586292
1,.,"A",586301
1,.,"A",586302
2,5,"D",586311
2,39,"D",586312
1,.,"A",586321
1,.,"A",586322
1,.,"A",586332
1,.,"A",586341
1,.,"A",586342
1,.,"A",586351
1,.,"A",586352
1,.,"A",586361
1,.,"A",586362
1,.,"A",586371
1,.,"A",586372
1,.,"A",586381
1,.,"A",586382
1,.,"A",586391
1,.,"A",586401
1,.,"A",586402
1,.,"A",586411
1,.,"A",586412
1,.,"A",586421
1,.,"A",586422
1,.,"A",586431
1,.,"A",586432
1,.,"A",586442
1,.,"A",586451
1,.,"A",586452
1,.,"A",586461
1,.,"A",586462
1,.,"A",586471
1,.,"A",586472
1,.,"A",586481
1,.,"A",586482
1,.,"A",586491
1,.,"A",586492
1,.,"A",586501
1,.,"A",586502
1,.,"A",586512
1,.,"A",586521
1,.,"A",586522
1,.,"A",586531
1,.,"A",586532
1,.,"A",586541
1,.,"A",586542
1,.,"A",586551
1,.,"A",586552
1,.,"A",586561
1,.,"A",586562
1,.,"A",586571
1,.,"A",586572
1,.,"A",586581
1,.,"A",586582
1,.,"A",586591
1,.,"A",586592
1,.,"A",586602
1,.,"A",586611
1,.,"A",586612
1,.,"A",586621
1,.,"A",586622
1,.,"A",586632
1,.,"A",586641
1,.,"A",586642
1,.,"A",586651
1,.,"A",586652
1,.,"A",586661
1,.,"A",586662
1,.,"A",586671
1,.,"A",586672
1,.,"A",586681
1,.,"A",586682
4,1,"D",586691
4,34,"D",586692
1,.,"A",586701
1,.,"A",586702
1,.,"A",586711
1,.,"A",586712
1,.,"A",586721
1,.,"A",586722
1,.,"A",586731
1,.,"A",586732
1,.,"A",586741
1,.,"A",586742
1,.,"A",586751
1,.,"A",586752
1,.,"A",586761
1,.,"A",586762
1,.,"A",586771
1,.,"A",586772
1,.,"A",586781
1,.,"A",586782
1,.,"A",586791
1,.,"A",586792
1,.,"A",586801
1,.,"A",586802
1,.,"A",586811
1,.,"A",586812
1,.,"A",586822
1,.,"A",586831
1,.,"A",586832
1,.,"A",586841
1,.,"A",586842
1,.,"A",586851
1,.,"A",586852
1,.,"A",586861
1,.,"A",586862
1,.,"A",586871
1,.,"A",586872
1,.,"A",586881
1,.,"A",586882
1,.,"A",586892
1,.,"A",586901
1,.,"A",586902
1,.,"A",586911
1,.,"A",586912
1,.,"A",586921
1,.,"A",586922
1,.,"A",586931
1,.,"A",586941
1,.,"A",586942
1,.,"A",586951
1,.,"A",586952
1,.,"A",586961
1,.,"A",586962
1,.,"A",586971
1,.,"A",586972
1,.,"A",586981
1,.,"A",586982
1,.,"A",586991
1,.,"A",586992
1,.,"A",587001
1,.,"A",587002
1,.,"A",587011
1,.,"A",587012
1,.,"A",587021
1,.,"A",587022
1,.,"A",587031
1,.,"A",587032
1,.,"A",587041
1,.,"A",587042
1,.,"A",587051
1,.,"A",587052
1,.,"A",587062
1,.,"A",587071
1,.,"A",587072
1,.,"A",587081
1,.,"A",587082
1,.,"A",587091
1,.,"A",587092
1,.,"A",587101
1,.,"A",587102
1,.,"A",587111
1,.,"A",587112
1,.,"A",587121
1,.,"A",587122
1,.,"A",587131
1,.,"A",587132
2,16,"D",587141
2,50,"D",587142
1,.,"A",587151
1,.,"A",587152
1,.,"A",587161
1,.,"A",587162
1,.,"A",587171
1,.,"A",587172
1,.,"A",587181
1,.,"A",587182
1,.,"A",587191
1,.,"A",587192
1,.,"A",587202
1,.,"A",587211
1,.,"A",587212
1,.,"A",587221
1,.,"A",587222
1,.,"A",587231
1,.,"A",587232
1,.,"A",587241
1,.,"A",587242
1,.,"A",587251
1,.,"A",587252
1,.,"A",587261
1,.,"A",587262
1,.,"A",587272
1,.,"A",587281
1,.,"A",587282
1,.,"A",587291
1,.,"A",587292
1,.,"A",587301
1,.,"A",587302
1,.,"A",587311
1,.,"A",587312
1,.,"A",587321
1,.,"A",587322
1,.,"A",587331
1,.,"A",587332
1,.,"A",587341
1,.,"A",587342
1,.,"A",587351
1,.,"A",587352
1,.,"A",587361
1,.,"A",587362
1,.,"A",587371
1,.,"A",587372
1,.,"A",587381
1,.,"A",587382
1,.,"A",587391
1,.,"A",587392
1,.,"A",587401
1,.,"A",587402
1,.,"A",587411
1,.,"A",587412
1,.,"A",587422
1,.,"A",587431
1,.,"A",587432
1,.,"A",587441
1,.,"A",587442
1,.,"A",587451
1,.,"A",587452
1,.,"A",587461
1,.,"A",587462
1,.,"A",587472
1,.,"A",587482
1,.,"A",587491
1,.,"A",587492
1,.,"A",587501
1,.,"A",587502
1,.,"A",587511
1,.,"A",587512
1,.,"A",587521
1,.,"A",587522
1,.,"A",587531
1,.,"A",587532
1,.,"A",587541
1,.,"A",587542
1,.,"A",587551
1,.,"A",587552
1,.,"A",587561
1,.,"A",587562
1,.,"A",587572
1,.,"A",587581
1,.,"A",587582
3,33,"D",587591
3,69,"D",587592
1,.,"A",587601
1,.,"A",587602
2,10,"D",587611
2,44,"D",587612
2,29,"D",587621
2,65,"D",587622
1,.,"A",587631
1,.,"A",587632
1,.,"A",587641
1,.,"A",587642
1,.,"A",587651
1,.,"A",587652
1,.,"A",587661
1,.,"A",587662
1,.,"A",587672
1,.,"A",587681
1,.,"A",587682
1,.,"A",587691
1,.,"A",587692
1,.,"A",587701
1,.,"A",587702
1,.,"A",587711
1,.,"A",587712
1,.,"A",587721
1,.,"A",587722
1,.,"A",587731
1,.,"A",587732
1,.,"A",587741
1,.,"A",587742
1,.,"A",587751
1,.,"A",587752
1,.,"A",587761
1,.,"A",587762
1,.,"A",587771
1,.,"A",587772
1,.,"A",587782
1,.,"A",587791
1,.,"A",587792
2,38,"D",587802
1,.,"A",587811
1,.,"A",587812
1,.,"A",587821
1,.,"A",587822
2,17,"D",587831
2,51,"D",587832
1,.,"A",587841
1,.,"A",587842
1,.,"A",587851
1,.,"A",587852
1,.,"A",587861
1,.,"A",587862
1,.,"A",587871
1,.,"A",587872
1,.,"A",587881
1,.,"A",587882
1,.,"A",587891
1,.,"A",587901
1,.,"A",587902
1,.,"A",587911
1,.,"A",587912
1,.,"A",587921
1,.,"A",587922
1,.,"A",587931
1,.,"A",587932
1,.,"A",587941
1,.,"A",587942
1,.,"A",587951
1,.,"A",587952
1,.,"A",587961
1,.,"A",587962
