"UCC","AMOUNT","NEWID","PUB_FLAG","AMOUNT_"
"800910",1260,360401,"1",
"800940",2984,360401,"1",
"900000",39000,360401,"1",
"950000",2412,360401,"1",
"950001",-4000,360401,"1",
"950010",1272,360401,"1",
"950011",-1400,360401,"1",
"980000",39000,360401,"1",
"980010",4,360401,"1",
"980020",34,360401,"1",
"980030",2,360401,"1",
"980040",2,360401,"1",
"980050",2,360401,"1",
"980070",40716,360401,"1",
"980220",100,360401,"1",
"980260",100,360401,"1",
"980270",100,360401,"1",
"980300",100,360401,"1",
"980330",100,360401,"1",
"800910",1260,360402,"1",
"800940",2984,360402,"1",
"900000",39000,360402,"1",
"950000",2412,360402,"1",
"950001",-4000,360402,"1",
"950010",1272,360402,"1",
"950011",-1400,360402,"1",
"980000",39000,360402,"1",
"980010",4,360402,"1",
"980020",34,360402,"1",
"980030",2,360402,"1",
"980040",2,360402,"1",
"980050",2,360402,"1",
"980070",40716,360402,"1",
"980220",100,360402,"1",
"980260",100,360402,"1",
"980270",100,360402,"1",
"980300",100,360402,"1",
"980330",100,360402,"1",
"800931",4250,360411,"1",
"800940",2601,360411,"1",
"900000",34000,360411,"1",
"950001",-263,360411,"1",
"950011",-254,360411,"1",
"980000",34000,360411,"1",
"980010",1,360411,"1",
"980020",37,360411,"1",
"980030",1,360411,"1",
"980040",2,360411,"1",
"980070",34517,360411,"1",
"980210",100,360411,"1",
"980260",100,360411,"1",
"980280",100,360411,"1",
"980310",100,360411,"1",
"980330",100,360411,"1",
"800931",4250,360412,"1",
"800940",2601,360412,"1",
"900000",34000,360412,"1",
"950001",-263,360412,"1",
"950011",-254,360412,"1",
"980000",34000,360412,"1",
"980010",1,360412,"1",
"980020",37,360412,"1",
"980030",1,360412,"1",
"980040",2,360412,"1",
"980070",34517,360412,"1",
"980210",100,360412,"1",
"980260",100,360412,"1",
"980280",100,360412,"1",
"980310",100,360412,"1",
"980330",100,360412,"1",
"900030",10068,360421,"1",
"980000",10068,360421,"1",
"980010",1,360421,"1",
"980020",86,360421,"1","T"
"980060",1,360421,"1",
"980070",10068,360421,"1",
"980210",100,360421,"1",
"980260",100,360421,"1",
"980280",100,360421,"1",
"980310",100,360421,"1",
"900030",10068,360422,"1",
"980000",10068,360422,"1",
"980010",1,360422,"1",
"980020",86,360422,"1","T"
"980060",1,360422,"1",
"980070",10068,360422,"1",
"980210",100,360422,"1",
"980260",100,360422,"1",
"980280",100,360422,"1",
"980310",100,360422,"1",
"900030",600,360431,"1",
"980000",600,360431,"1",
"980010",1,360431,"1",
"980020",70,360431,"1",
"980040",1,360431,"1",
"980060",1,360431,"1",
"980070",600,360431,"1",
"980090",100,360431,"1",
"980220",100,360431,"1",
"980240",100,360431,"1",
"980280",100,360431,"1",
"980310",100,360431,"1",
"980330",100,360431,"1",
"900030",600,360432,"1",
"980000",600,360432,"1",
"980010",1,360432,"1",
"980020",70,360432,"1",
"980040",1,360432,"1",
"980060",1,360432,"1",
"980070",600,360432,"1",
"980090",100,360432,"1",
"980220",100,360432,"1",
"980240",100,360432,"1",
"980280",100,360432,"1",
"980310",100,360432,"1",
"980330",100,360432,"1",
"900030",1200,360441,"1",
"980000",1200,360441,"1",
"980010",2,360441,"1",
"980020",76,360441,"1",
"980030",1,360441,"1",
"980040",2,360441,"1",
"980060",2,360441,"1",
"980070",1200,360441,"1",
"980090",100,360441,"1",
"980210",100,360441,"1",
"980240",100,360441,"1",
"980280",100,360441,"1",
"980310",100,360441,"1",
"980330",100,360441,"1",
"900030",1200,360442,"1",
"980000",1200,360442,"1",
"980010",2,360442,"1",
"980020",76,360442,"1",
"980030",1,360442,"1",
"980040",2,360442,"1",
"980060",2,360442,"1",
"980070",1200,360442,"1",
"980090",100,360442,"1",
"980210",100,360442,"1",
"980240",100,360442,"1",
"980280",100,360442,"1",
"980310",100,360442,"1",
"980330",100,360442,"1",
"800940",2295,360451,"1",
"900000",30000,360451,"1",
"900080",300,360451,"1",
"910040",220,360451,"1",
"950001",-1100,360451,"1",
"950011",-100,360451,"1",
"980000",30300,360451,"1",
"980010",1,360451,"1",
"980020",26,360451,"1",
"980030",1,360451,"1",
"980040",1,360451,"1",
"980070",31500,360451,"1",
"980090",100,360451,"1",
"980220",100,360451,"1",
"980230",100,360451,"1",
"980280",100,360451,"1",
"980310",100,360451,"1",
"980330",100,360451,"1",
"800940",2295,360452,"1",
"900000",30000,360452,"1",
"900080",300,360452,"1",
"910040",220,360452,"1",
"950001",-1100,360452,"1",
"950011",-100,360452,"1",
"980000",30300,360452,"1",
