"BSNSX","FARMX","IRAX","JSSDEDX","WAGEX","ANFEDTXX","ANGVX","ANPVTX","ANRRX","ANSTATXX","BSNSX_","FARMX_","IRAX_","JSSDEDX_","WAGEX_","ANFE_TXX","ANGVX_","ANPVTX_","ANRRX_","ANST_TXX","FEDTXX","GVX","PVTX","RRX","STATXX","FEDTXX_","GVX_","PVTX_","RRX_","STATXX_","HRSPERWK","WKS_WRKD","HRSP_RWK","WKS__RKD","EMPLTYPE","MARITAL","ORIGIN","WHYNOWRK","OCCULIST","EMPL_YPE","MARITAL_","ORIGIN_","WHYN_WRK","OCCU_IST","RACE","SEX","RACE_","SEX_","AGE","MEDICARE","PAYPERD","ANYRAIL","ANYSSINC","STA_SUPP","US_SUPP","SS_RRQ","SLFEMPSS","SS_RRX","SUPPX","GROSPAYX","SOCRRX","MEMBNO","CU_CODE1","EDUCA","IN_COLL","ARM_FORC","SCHLNCHX","SCHLNCHQ","AGE_","MEDI_ARE","PAYPERD_","ANYRAIL_","ANYS_INC","STA__UPP","US_SUPP_","CU_C_DE1","EDUCA_","IN_COLL_","ARM__ORC","SS_RRQ_","SLFE_PSS","SS_RRX_","SUPPX_","GROS_AYX","SOCRRX_","SCHL_CHX","SCHL_CHQ","NEWID"
.,.,.,0,.,.,.,.,.,.,"C","A","A","D","C","B","A","A","A","B",.,.,.,.,.,"B","A","A","A","B",48,52,"D","D","1","5","1",,"03","D","D","D","A","D","1","2","D","D",32,,"2","2","2","2","2",.,0,.,.,.,0,1,"1","43","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","C","D","A","A",340691
.,.,.,0,.,.,.,.,.,.,"C","A","A","D","C","B","A","A","A","B",.,.,.,.,.,"B","A","A","A","B",48,52,"D","D","1","5","1",,"03","D","D","D","A","D","1","2","D","D",32,,"2","2","2","2","2",.,0,.,.,.,0,1,"1","43","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","C","D","A","A",340692
.,.,.,0,.,.,.,.,.,.,"A","A","C","D","C","B","B","B","B","B",.,.,.,.,.,"C","C","C","C","C",40,52,"D","D","4","3","4",,"15","D","D","D","A","D","1","1","D","D",30,,,"2","2","2","2",.,0,.,.,.,0,1,"1","11",,"2",.,.,"D","A","C","D","D","D","D","D","D","A","D","A","D","A","A","C","D","A","A",340701
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","1","D","D",3,,,,,,,.,.,.,.,.,.,3,"3",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",340701
.,.,.,918,12000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",30,52,"D","D","1","5","4",,"05","D","D","D","A","D","1","2","D","D",22,,"1","2","2","2","2",.,0,.,.,.,0,2,"9","39","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","C","D","A","A",340701
.,.,.,0,.,.,.,.,.,.,"A","A","C","D","C","B","B","B","B","B",.,.,.,.,.,"C","C","C","C","C",40,52,"D","D","4","3","4",,"15","D","D","D","A","D","1","1","D","D",30,,,"2","2","2","2",.,0,.,.,.,0,1,"1","11",,"2",.,.,"D","A","C","D","D","D","D","D","D","A","D","A","D","A","A","C","D","A","A",340702
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","1","D","D",3,,,,,,,.,.,.,.,.,.,3,"3",,,,.,.,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","A","A",340702
.,.,.,918,12000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",30,52,"D","D","1","5","4",,"05","D","D","D","A","D","1","2","D","D",22,,"1","2","2","2","2",.,0,.,.,.,0,2,"9","39","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","C","D","A","A",340702
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"1","3","4",,"A","D","D","D","A","2","1","D","D",54,"1",,"2","1","2","2",12,.,900,.,.,11400,1,"1","10",,"2",.,.,"D","D","A","D","D","D","D","D","D","A","D","D","A","D","A","A","D","A","A",340711
.,.,.,1148,15000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",40,52,"D","D","1","1","3",,"05","D","D","D","A","D","2","2","D","D",50,,"1","2","2","2","2",.,0,.,.,300,0,2,"2","39","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",340711
