"BSNSX","FARMX","IRAX","JSSDEDX","WAGEX","ANFEDTXX","ANGVX","ANPVTX","ANRRX","ANSTATXX","BSNSX_","FARMX_","IRAX_","JSSDEDX_","WAGEX_","ANFE_TXX","ANGVX_","ANPVTX_","ANRRX_","ANST_TXX","FEDTXX","GVX","PVTX","RRX","STATXX","FEDTXX_","GVX_","PVTX_","RRX_","STATXX_","HRSPERWK","WKS_WRKD","HRSP_RWK","WKS__RKD","EMPLTYPE","MARITAL","ORIGIN","WHYNOWRK","OCCULIST","EMPL_YPE","MARITAL_","ORIGIN_","WHYN_WRK","OCCU_IST","RACE","SEX","RACE_","SEX_","AGE","MEDICARE","PAYPERD","ANYRAIL","ANYSSINC","STA_SUPP","US_SUPP","SS_RRQ","SLFEMPSS","SS_RRX","SUPPX","GROSPAYX","SOCRRX","MEMBNO","CU_CODE1","EDUCA","IN_COLL","ARM_FORC","SCHLNCHX","SCHLNCHQ","AGE_","MEDI_ARE","PAYPERD_","ANYRAIL_","ANYS_INC","STA__UPP","US_SUPP_","CU_C_DE1","EDUCA_","IN_COLL_","ARM__ORC","SS_RRQ_","SLFE_PSS","SS_RRX_","SUPPX_","GROS_AYX","SOCRRX_","SCHL_CHX","SCHL_CHQ","NEWID"
.,.,.,1607,21000,1512,1260,.,.,672,"A","A","A","D","D","D","D","A","A","D",36,30,.,.,16,"D","D","A","A","D",60,52,"D","D","4","1","3",,"03","D","D","D","A","D","2","2","D","D",34,,"2","2","2","2","2",.,0,.,.,500,0,1,"1","39","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",360401
.,.,.,1377,18000,900,.,.,.,600,"A","A","A","D","D","D","A","A","A","D",15,.,.,.,10,"D","A","A","A","D",40,52,"D","D","1","1","3",,"01","D","D","D","A","D","2","1","D","D",33,,"1","2","2","2","2",.,0,.,.,300,0,2,"2","39","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",360401
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"5","3","3",,"A","D","D","D","A","2","2","D","D",16,,,"2","2","2","2",.,.,.,.,.,0,3,"3","10",,"2",.,.,"D","A","A","D","D","D","D","D","D","A","D","A","A","A","A","A","D","A","A",360401
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","3",,,"A","D","D","A","A","2","1","D","D",12,,,,,,,.,.,.,.,.,.,5,"3",,,,8,36,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","D","D",360401
.,.,.,1607,21000,1512,1260,.,.,672,"A","A","A","D","D","D","D","A","A","D",36,30,.,.,16,"D","D","A","A","D",60,52,"D","D","4","1","3",,"03","D","D","D","A","D","2","2","D","D",34,,"2","2","2","2","2",.,0,.,.,500,0,1,"1","39","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",360402
.,.,.,1377,18000,900,.,.,.,600,"A","A","A","D","D","D","A","A","A","D",15,.,.,.,10,"D","A","A","A","D",40,52,"D","D","1","1","3",,"01","D","D","D","A","D","2","1","D","D",33,,"1","2","2","2","2",.,0,.,.,300,0,2,"2","39","3","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",360402
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"5","3","3",,"A","D","D","D","A","2","2","D","D",16,,,"2","2","2","2",.,.,.,.,.,0,3,"3","10",,"2",.,.,"D","A","A","D","D","D","D","D","D","A","D","A","A","A","A","A","D","A","A",360402
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","3",,,"A","D","D","A","A","2","1","D","D",12,,,,,,,.,.,.,.,.,.,5,"3",,,,8,36,"D","A","A","A","A","A","A","D","A","A","A","A","A","A","A","A","A","D","D",360402
.,.,.,2601,34000,.,.,4250,.,.,"A","A","A","D","D","B","A","D","A","B",.,.,300,.,.,"C","A","D","A","C",40,52,"D","D","4","5","4",,"07","D","D","D","A","D","1","1","D","D",37,,"3","2","2","2","2",.,0,.,.,2400,0,1,"1","43","2","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",360411
.,.,.,2601,34000,.,.,4250,.,.,"A","A","A","D","D","B","A","D","A","B",.,.,300,.,.,"C","A","D","A","C",40,52,"D","D","4","5","4",,"07","D","D","D","A","D","1","1","D","D",37,,"3","2","2","2","2",.,0,.,.,2400,0,1,"1","43","2","2",.,.,"D","A","D","D","D","D","D","D","D","D","D","A","D","A","A","D","D","A","A",360412
