"UCC","AMOUNT","NEWID","PUB_FLAG","AMOUNT_"
"900090",8400,380221,"1",
"900120",3600,380221,"1",
"900140",40,380221,"1",
"980000",12040,380221,"1",
"980010",2,380221,"1",
"980020",47,380221,"1",
"980040",1,380221,"1",
"980050",1,380221,"1",
"980070",12040,380221,"1",
"980220",100,380221,"1",
"980260",100,380221,"1",
"980280",100,380221,"1",
"980300",100,380221,"1",
"980330",100,380221,"1",
"900090",8400,380222,"1",
"900120",3600,380222,"1",
"900140",40,380222,"1",
"980000",12040,380222,"1",
"980010",2,380222,"1",
"980020",47,380222,"1",
"980040",1,380222,"1",
"980050",1,380222,"1",
"980070",12040,380222,"1",
"980220",100,380222,"1",
"980260",100,380222,"1",
"980280",100,380222,"1",
"980300",100,380222,"1",
"980330",100,380222,"1",
"980010",2,380231,"1",
"980020",49,380231,"1",
"980030",1,380231,"1",
"980040",3,380231,"1",
"980090",100,380231,"1",
"980220",100,380231,"1",
"980230",100,380231,"1",
"980280",100,380231,"1",
"980310",100,380231,"1",
"980330",100,380231,"1",
"980010",2,380232,"1",
"980020",49,380232,"1",
"980030",1,380232,"1",
"980040",3,380232,"1",
"980090",100,380232,"1",
"980220",100,380232,"1",
"980230",100,380232,"1",
"980280",100,380232,"1",
"980310",100,380232,"1",
"980330",100,380232,"1",
"800940",704,380241,"1",
"900000",5200,380241,"1",
"900010",2000,380241,"1",
"950000",600,380241,"1",
"950001",-500,380241,"1",
"950010",300,380241,"1",
"950011",-200,380241,"1",
"980000",7200,380241,"1",
"980010",1,380241,"1",
"980020",19,380241,"1",
"980030",1,380241,"1",
"980070",7000,380241,"1",
"980210",100,380241,"1",
"980260",100,380241,"1",
"980280",100,380241,"1",
"980300",100,380241,"1",
"800940",704,380242,"1",
"900000",5200,380242,"1",
"900010",2000,380242,"1",
"950000",600,380242,"1",
"950001",-500,380242,"1",
"950010",300,380242,"1",
"950011",-200,380242,"1",
"980000",7200,380242,"1",
"980010",1,380242,"1",
"980020",19,380242,"1",
"980030",1,380242,"1",
"980070",7000,380242,"1",
"980210",100,380242,"1",
"980260",100,380242,"1",
"980280",100,380242,"1",
"980300",100,380242,"1",
"800940",1377,380251,"1",
"900000",18000,380251,"1",
"900100",300,380251,"1",
"950000",190,380251,"1",
"980000",18300,380251,"1",
"980010",4,380251,"1",
"980020",34,380251,"1",
"980030",1,380251,"1",
"980040",1,380251,"1",
"980050",2,380251,"1",
"980070",18110,380251,"1",
"980090",100,380251,"1",
"980210",100,380251,"1",
"980230",100,380251,"1",
"980280",100,380251,"1",
"980300",100,380251,"1",
"980330",100,380251,"1",
"800940",1377,380252,"1",
"900000",18000,380252,"1",
"900100",300,380252,"1",
"950000",190,380252,"1",
"980000",18300,380252,"1",
"980010",4,380252,"1",
"980020",34,380252,"1",
"980030",1,380252,"1",
"980040",1,380252,"1",
"980050",2,380252,"1",
"980070",18110,380252,"1",
"980090",100,380252,"1",
"980210",100,380252,"1",
"980230",100,380252,"1",
"980280",100,380252,"1",
"980300",100,380252,"1",
"980330",100,380252,"1",
"800931",4200,380261,"1",
"800940",6656,380261,"1",
"900000",87000,380261,"1",
"950001",-2000,380261,"1",
"950011",-900,380261,"1",
"980000",87000,380261,"1",
"980010",3,380261,"1",
"980020",55,380261,"1",
"980030",2,380261,"1",
"980040",2,380261,"1",
"980070",89900,380261,"1",
"980090",100,380261,"1",
"980210",100,380261,"1",
"980230",100,380261,"1",
"980280",100,380261,"1",
"980310",100,380261,"1",
"980330",100,380261,"1",
"800931",4200,380262,"1",
"800940",6656,380262,"1",
"900000",87000,380262,"1",
"950001",-2000,380262,"1",
"950011",-900,380262,"1",
"980000",87000,380262,"1",
"980010",3,380262,"1",
"980020",55,380262,"1",
"980030",2,380262,"1",
"980040",2,380262,"1",
"980070",89900,380262,"1",
"980090",100,380262,"1",
"980210",100,380262,"1",
"980230",100,380262,"1",
"980280",100,380262,"1",
"980310",100,380262,"1",
"980330",100,380262,"1",
"800940",4514,380271,"1",
"900000",59000,380271,"1",
"980000",59000,380271,"1",
"980010",2,380271,"1",
"980020",46,380271,"1",
"980030",2,380271,"1",
"980040",2,380271,"1",
"980070",59000,380271,"1",
"980090",100,380271,"1",
"980220",100,380271,"1",
"980230",100,380271,"1",
"980280",100,380271,"1",
"980300",100,380271,"1",
"980330",100,380271,"1",
"800940",4514,380272,"1",
"900000",59000,380272,"1",
"980000",59000,380272,"1",
"980010",2,380272,"1",
"980020",46,380272,"1",
"980030",2,380272,"1",
"980040",2,380272,"1",
"980070",59000,380272,"1",
"980090",100,380272,"1",
"980220",100,380272,"1",
"980230",100,380272,"1",
"980280",100,380272,"1",
"980300",100,380272,"1",
"980330",100,380272,"1",
"800940",6885,380281,"1",
"900010",45000,380281,"1",
"980000",45000,380281,"1",
"980010",1,380281,"1",
"980020",35,380281,"1",
"980030",1,380281,"1",
"980040",1,380281,"1",
"980070",45000,380281,"1",
"980210",100,380281,"1",
"980260",100,380281,"1",
"980280",100,380281,"1",
"980300",100,380281,"1",
"980330",100,380281,"1",
"800940",6885,380282,"1",
"900010",45000,380282,"1",
"980000",45000,380282,"1",
"980010",1,380282,"1",
"980020",72,380282,"1",
"980030",1,380282,"1",
"980040",1,380282,"1",
"980060",1,380282,"1",
"980070",45000,380282,"1",
"980210",100,380282,"1",
"980260",100,380282,"1",
"980280",100,380282,"1",
"980300",100,380282,"1",
"980330",100,380282,"1",
"800931",1851,380291,"1",
"800940",2372,380291,"1",
"900000",31000,380291,"1",
"950000",3496,380291,"1",
"950010",720,380291,"1",
"980000",31000,380291,"1",
"980010",1,380291,"1",
"980020",28,380291,"1",
"980030",1,380291,"1",
"980040",1,380291,"1",
"980070",26784,380291,"1",
"980210",100,380291,"1",
"980260",100,380291,"1",
"980280",100,380291,"1",
"980310",100,380291,"1",
"980330",100,380291,"1",
"800931",1851,380292,"1",
"800940",2372,380292,"1",
"900000",31000,380292,"1",
"950000",3496,380292,"1",
"950010",720,380292,"1",
"980000",31000,380292,"1",
"980010",1,380292,"1",
"980020",28,380292,"1",
"980030",1,380292,"1",
"980040",1,380292,"1",
"980070",26784,380292,"1",
"980210",100,380292,"1",
"980260",100,380292,"1",
"980280",100,380292,"1",
"980310",100,380292,"1",
"980330",100,380292,"1",
"800940",4361,380301,"1",
"900000",57000,380301,"1",
"900110",3150,380301,"1",
"980000",60150,380301,"1",
"980010",2,380301,"1",
"980020",48,380301,"1",
"980030",2,380301,"1",
"980040",2,380301,"1",
"980070",60150,380301,"1",
"980210",100,380301,"1",
"980260",100,380301,"1",
"980280",100,380301,"1",
"980300",100,380301,"1",
"980330",100,380301,"1",
"800940",4361,380302,"1",
"900000",57000,380302,"1",
"900110",3150,380302,"1",
"980000",60150,380302,"1",
"980010",2,380302,"1",
"980020",48,380302,"1",
"980030",2,380302,"1",
"980040",2,380302,"1",
"980070",60150,380302,"1",
"980210",100,380302,"1",
"980260",100,380302,"1",
"980280",100,380302,"1",
"980300",100,380302,"1",
"980330",100,380302,"1",
"980010",1,380311,"1",
"980020",19,380311,"1",
"980210",100,380311,"1",
"980260",100,380311,"1",
"980280",100,380311,"1",
"980310",100,380311,"1",
"980010",1,380312,"1",
"980020",19,380312,"1",
"980210",100,380312,"1",
"980260",100,380312,"1",
"980280",100,380312,"1",
"980310",100,380312,"1",
"980010",1,380321,"1",
"980020",38,380321,"1",
"980030",1,380321,"1",
"980040",1,380321,"1",
"980090",100,380321,"1",
"980210",100,380321,"1",
"980230",100,380321,"1",
"980280",100,380321,"1",
"980310",100,380321,"1",
"980330",100,380321,"1",
"980010",1,380322,"1",
"980020",38,380322,"1",
"980030",1,380322,"1",
"980040",1,380322,"1",
"980090",100,380322,"1",
"980210",100,380322,"1",
"980230",100,380322,"1",
"980280",100,380322,"1",
"980310",100,380322,"1",
"980330",100,380322,"1",
"800910",1920,380331,"1",
"800940",2525,380331,"1",
"900000",33000,380331,"1",
"950000",3606,380331,"1",
"950000",2000,380331,"1",
"950010",1401,380331,"1",
"980000",33000,380331,"1",
"980010",1,380331,"1",
"980020",54,380331,"1",
"980030",1,380331,"1",
"980040",1,380331,"1",
"980070",25993,380331,"1",
"980090",100,380331,"1",
"980220",100,380331,"1",
"980240",100,380331,"1",
"980280",100,380331,"1",
"980300",100,380331,"1",
"980330",100,380331,"1",
"800910",1920,380332,"1",
"800940",2525,380332,"1",
"900000",33000,380332,"1",
"950000",3606,380332,"1",
"950000",2000,380332,"1",
"950010",1401,380332,"1",
"980000",33000,380332,"1",
"980010",1,380332,"1",
"980020",54,380332,"1",
"980030",1,380332,"1",
"980040",1,380332,"1",
"980070",25993,380332,"1",
