"HH_CU_Q","hhid","hhid_","newid"
1,.,"A",700822
1,.,"A",700831
1,.,"A",700832
1,.,"A",700841
1,.,"A",700842
3,11,"D",700851
3,38,"D",700852
1,.,"A",700861
1,.,"A",700862
1,.,"A",700871
1,.,"A",700872
1,.,"A",700881
1,.,"A",700882
1,.,"A",700891
1,.,"A",700892
1,.,"A",700901
1,.,"A",700911
1,.,"A",700912
1,.,"A",700921
1,.,"A",700922
1,.,"A",700931
1,.,"A",700932
1,.,"A",700941
1,.,"A",700942
1,.,"A",700951
1,.,"A",700952
1,.,"A",700961
1,.,"A",700962
1,.,"A",700971
1,.,"A",700972
1,.,"A",700981
1,.,"A",700982
1,.,"A",700991
1,.,"A",700992
1,.,"A",701001
1,.,"A",701002
1,.,"A",701011
1,.,"A",701012
1,.,"A",701021
1,.,"A",701022
1,.,"A",701031
1,.,"A",701032
1,.,"A",701041
1,.,"A",701051
1,.,"A",701061
1,.,"A",701062
1,.,"A",701071
1,.,"A",701072
1,.,"A",701081
1,.,"A",701082
1,.,"A",701091
1,.,"A",701092
1,.,"A",701101
1,.,"A",701102
1,.,"A",701111
1,.,"A",701112
1,.,"A",701121
1,.,"A",701122
1,.,"A",701131
1,.,"A",701132
1,.,"A",701141
1,.,"A",701142
1,.,"A",701151
1,.,"A",701152
1,.,"A",701161
1,.,"A",701162
1,.,"A",701171
1,.,"A",701172
1,.,"A",701181
1,.,"A",701182
1,.,"A",701191
1,.,"A",701192
1,.,"A",701201
1,.,"A",701202
1,.,"A",701211
1,.,"A",701212
1,.,"A",701221
1,.,"A",701222
1,.,"A",701231
1,.,"A",701232
1,.,"A",701241
1,.,"A",701251
1,.,"A",701261
1,.,"A",701262
1,.,"A",701271
1,.,"A",701272
3,8,"D",701281
3,35,"D",701282
1,.,"A",701291
1,.,"A",701301
1,.,"A",701302
1,.,"A",701311
1,.,"A",701312
1,.,"A",701321
1,.,"A",701322
1,.,"A",701331
1,.,"A",701332
1,.,"A",701341
1,.,"A",701342
1,.,"A",701351
1,.,"A",701352
1,.,"A",701361
1,.,"A",701362
1,.,"A",701371
1,.,"A",701372
1,.,"A",701381
1,.,"A",701382
1,.,"A",701391
1,.,"A",701392
1,.,"A",701401
1,.,"A",701402
1,.,"A",701411
1,.,"A",701412
2,27,"D",701421
2,53,"D",701422
1,.,"A",701431
1,.,"A",701432
1,.,"A",701441
1,.,"A",701442
1,.,"A",701452
1,.,"A",701461
1,.,"A",701462
1,.,"A",701471
1,.,"A",701472
1,.,"A",701481
1,.,"A",701482
1,.,"A",701491
1,.,"A",701492
1,.,"A",701501
1,.,"A",701502
2,7,"D",701511
2,34,"D",701512
1,.,"A",701521
1,.,"A",701522
1,.,"A",701531
1,.,"A",701532
1,.,"A",701541
1,.,"A",701542
1,.,"A",701551
1,.,"A",701552
1,.,"A",701561
1,.,"A",701562
1,.,"A",701571
1,.,"A",701572
1,.,"A",701581
1,.,"A",701582
1,.,"A",701591
1,.,"A",701592
1,.,"A",701601
1,.,"A",701602
1,.,"A",701611
1,.,"A",701612
1,.,"A",701621
1,.,"A",701622
1,.,"A",701631
1,.,"A",701632
1,.,"A",701641
1,.,"A",701642
1,.,"A",701651
1,.,"A",701652
1,.,"A",701661
1,.,"A",701662
1,.,"A",701671
1,.,"A",701672
1,.,"A",701681
1,.,"A",701682
1,.,"A",701691
1,.,"A",701692
1,.,"A",701701
1,.,"A",701702
1,.,"A",701711
1,.,"A",701721
1,.,"A",701731
1,.,"A",701732
1,.,"A",701741
1,.,"A",701742
1,.,"A",701751
1,.,"A",701752
1,.,"A",701761
1,.,"A",701762
1,.,"A",701771
1,.,"A",701772
1,.,"A",701781
1,.,"A",701782
1,.,"A",701791
1,.,"A",701792
1,.,"A",701801
1,.,"A",701802
1,.,"A",701812
1,.,"A",701821
1,.,"A",701822
1,.,"A",701831
1,.,"A",701832
1,.,"A",701841
1,.,"A",701842
1,.,"A",701851
1,.,"A",701852
1,.,"A",701861
1,.,"A",701862
1,.,"A",701871
1,.,"A",701872
1,.,"A",701881
1,.,"A",701882
1,.,"A",701891
1,.,"A",701892
1,.,"A",701901
1,.,"A",701902
1,.,"A",701911
1,.,"A",701912
1,.,"A",701921
1,.,"A",701922
1,.,"A",701931
1,.,"A",701932
1,.,"A",701941
1,.,"A",701942
1,.,"A",701951
1,.,"A",701952
1,.,"A",701961
1,.,"A",701962
1,.,"A",701971
1,.,"A",701972
1,.,"A",701981
1,.,"A",701982
1,.,"A",701991
1,.,"A",701992
2,27,"D",702001
1,.,"A",702011
1,.,"A",702012
1,.,"A",702021
1,.,"A",702022
1,.,"A",702031
1,.,"A",702032
1,.,"A",702041
1,.,"A",702042
1,.,"A",702051
1,.,"A",702052
1,.,"A",702061
1,.,"A",702062
1,.,"A",702071
1,.,"A",702072
1,.,"A",702081
1,.,"A",702082
1,.,"A",702091
1,.,"A",702092
1,.,"A",702101
1,.,"A",702102
1,.,"A",702112
1,.,"A",702121
1,.,"A",702122
1,.,"A",702131
1,.,"A",702132
1,.,"A",702141
1,.,"A",702142
1,.,"A",702152
1,.,"A",702161
1,.,"A",702162
1,.,"A",702171
1,.,"A",702172
1,.,"A",702181
1,.,"A",702182
1,.,"A",702191
1,.,"A",702192
1,.,"A",702201
1,.,"A",702202
1,.,"A",702211
1,.,"A",702212
1,.,"A",702221
1,.,"A",702222
1,.,"A",702231
1,.,"A",702232
1,.,"A",702241
1,.,"A",702242
1,.,"A",702251
1,.,"A",702252
1,.,"A",702261
1,.,"A",702262
1,.,"A",702271
1,.,"A",702272
1,.,"A",702281
1,.,"A",702282
1,.,"A",702291
1,.,"A",702292
1,.,"A",702301
1,.,"A",702302
1,.,"A",702311
1,.,"A",702312
1,.,"A",702321
1,.,"A",702322
1,.,"A",702331
1,.,"A",702332
1,.,"A",702341
1,.,"A",702342
1,.,"A",702351
1,.,"A",702352
1,.,"A",702361
1,.,"A",702362
1,.,"A",702371
1,.,"A",702372
1,.,"A",702381
1,.,"A",702382
1,.,"A",702391
1,.,"A",702392
1,.,"A",702401
1,.,"A",702402
1,.,"A",702411
1,.,"A",702412
1,.,"A",702421
1,.,"A",702422
1,.,"A",702431
1,.,"A",702432
1,.,"A",702441
1,.,"A",702442
1,.,"A",702451
1,.,"A",702452
