"HH_CU_Q","hhid","hhid_","newid"
1,.,"A",680561
1,.,"A",680562
1,.,"A",680571
1,.,"A",680581
1,.,"A",680582
2,6,"D",680591
2,29,"D",680592
1,.,"A",680601
1,.,"A",680602
1,.,"A",680611
1,.,"A",680612
1,.,"A",680621
1,.,"A",680622
1,.,"A",680631
1,.,"A",680632
1,.,"A",680641
1,.,"A",680642
1,.,"A",680651
1,.,"A",680652
1,.,"A",680661
1,.,"A",680662
1,.,"A",680671
1,.,"A",680672
1,.,"A",680681
1,.,"A",680682
1,.,"A",680691
1,.,"A",680692
4,16,"D",680701
4,39,"D",680702
1,.,"A",680711
1,.,"A",680721
1,.,"A",680722
1,.,"A",680731
1,.,"A",680732
1,.,"A",680741
1,.,"A",680742
1,.,"A",680751
1,.,"A",680752
1,.,"A",680761
1,.,"A",680762
1,.,"A",680771
1,.,"A",680772
1,.,"A",680781
1,.,"A",680782
1,.,"A",680791
1,.,"A",680792
1,.,"A",680801
1,.,"A",680802
1,.,"A",680811
1,.,"A",680812
1,.,"A",680821
1,.,"A",680822
1,.,"A",680831
1,.,"A",680832
1,.,"A",680841
1,.,"A",680842
1,.,"A",680851
1,.,"A",680852
1,.,"A",680861
1,.,"A",680862
1,.,"A",680871
1,.,"A",680872
1,.,"A",680881
1,.,"A",680882
1,.,"A",680891
1,.,"A",680892
1,.,"A",680901
1,.,"A",680902
1,.,"A",680911
1,.,"A",680912
1,.,"A",680921
1,.,"A",680922
1,.,"A",680932
1,.,"A",680941
1,.,"A",680942
1,.,"A",680951
1,.,"A",680952
1,.,"A",680961
1,.,"A",680962
1,.,"A",680971
1,.,"A",680972
1,.,"A",680981
1,.,"A",680982
1,.,"A",680991
1,.,"A",680992
1,.,"A",681001
1,.,"A",681002
1,.,"A",681011
1,.,"A",681012
1,.,"A",681021
1,.,"A",681031
1,.,"A",681032
1,.,"A",681041
1,.,"A",681042
1,.,"A",681051
1,.,"A",681052
1,.,"A",681061
1,.,"A",681062
1,.,"A",681071
1,.,"A",681072
1,.,"A",681081
1,.,"A",681082
1,.,"A",681091
1,.,"A",681092
1,.,"A",681101
1,.,"A",681102
1,.,"A",681111
1,.,"A",681112
1,.,"A",681121
1,.,"A",681122
1,.,"A",681131
1,.,"A",681141
1,.,"A",681142
1,.,"A",681151
1,.,"A",681152
1,.,"A",681161
1,.,"A",681162
1,.,"A",681171
1,.,"A",681172
1,.,"A",681181
1,.,"A",681182
1,.,"A",681191
1,.,"A",681201
1,.,"A",681202
1,.,"A",681211
1,.,"A",681221
1,.,"A",681222
1,.,"A",681231
1,.,"A",681232
1,.,"A",681241
1,.,"A",681242
1,.,"A",681252
1,.,"A",681261
1,.,"A",681262
1,.,"A",681271
1,.,"A",681272
1,.,"A",681281
1,.,"A",681282
1,.,"A",681291
1,.,"A",681292
1,.,"A",681302
1,.,"A",681311
1,.,"A",681312
1,.,"A",681321
1,.,"A",681322
1,.,"A",681331
1,.,"A",681332
1,.,"A",681341
1,.,"A",681342
1,.,"A",681351
1,.,"A",681352
1,.,"A",681361
1,.,"A",681362
1,.,"A",681371
1,.,"A",681372
1,.,"A",681381
1,.,"A",681382
1,.,"A",681391
1,.,"A",681392
1,.,"A",681401
1,.,"A",681402
1,.,"A",681411
1,.,"A",681412
