Colony,SC_I,SC_F,TC_I,TC_F,Length_15,Length_16,L_C,Width_15,Width_16,W_C,Height_15,Height_16,H_C,Volume_15,Volume_16,EV_C,BD_15,BD_16,BD_C,Tip_2015,Tip_2016,T_C
256,A,2,1,2,0.6,5.2,4.6,0.6,2.2,1.6,0,2.6,2.6,0.36,27.96,27.6,0,0.5,0.5,0,1,1
179,D,1,3,1,18,0,-18,16,0,-16,11.3,3.1,-8.2,2564.87,3.1,-2561.77,1.1,1,-0.1,16,1,-15
267,A,1,1,2,1.6,4.3,2.7,1.5,3,1.5,0,0.8,0.8,2.4,8.37,5.97,0,0.8,0.8,0,1,1
284,A,1,1,2,1,3.7,2.7,1.3,2.3,1,0,1.3,1.3,1.3,9.19,7.89,0,0.5,0.5,0,1,1
221,A,1,1,2,0.7,2,1.3,0.6,2,1.4,0,1.6,1.6,0.42,5.03,4.61,0,0.4,0.4,0,1,1
210,A,2,2,2,2.8,6,3.2,1.7,4.1,2.4,1.1,2.2,1.1,4.37,44.07,39.7,0.5,0.7,0.2,1,3,2
110,A,1,1,1,3.2,1.8,-1.4,2.2,1.9,-0.3,0,0,0,7.04,3.42,-3.62,0,0,0,0,0,0
300,A,2,1,2,1.8,3.3,1.5,2.1,2.3,0.2,0,2.1,2.1,3.78,12.93,9.15,0,0.5,0.5,0,1,1
187,A,2,2,2,3.1,5.3,2.2,2,2.4,0.4,1.4,2.8,1.4,7.15,32.6,25.45,0.6,0.9,0.3,1,1,0
183,B,3,2,2,2.5,7.5,5,2,6.7,4.7,5,4.2,-0.8,19.88,166.29,146.41,0.6,0.65,0.05,1,2,1
180,B,3,2,2,1.2,4.2,3,2.6,9,6.4,4.2,8,3.8,11.91,273.7,261.79,0.2,0.53,0.33,2,4,2
186,A,3,1,2,0.9,7.8,6.9,1,2.3,1.3,0,5.5,5.5,0.9,110.16,109.26,0,0.5,0.5,0,4,4
227,B,3,2,2,3.6,8.3,4.7,2.8,5.6,2.8,3.1,6.5,3.4,24.93,246.59,221.66,0.6,0.66,0.06,1,5,4
188,C,4,2,3,10,15.1,5.1,7.5,15.2,7.7,3.2,6.5,3.3,192.42,1171.73,979.31,0.7,0.6,-0.1,3,21,18
189,A,3,2,2,3.2,7.7,4.5,2.1,3.7,1.6,1.5,4.2,2.7,8.27,101.17,92.9,0.6,0.8,0.2,1,4,3
193,B,3,2,3,6.6,11.5,4.9,2.4,6.6,4.2,3.7,5.6,1.9,58.85,360.23,301.38,0.7,0.7,0,2,13,11
190,A,2,1,2,3,5.7,2.7,1.9,2.3,0.4,0,1.8,1.8,5.7,22.62,16.92,0,0.4,0.4,0,2,2
194,B,2,2,2,4.9,6.3,1.4,2.5,3,0.5,1.9,4.7,2.8,20.43,79.82,59.39,0.5,0.6,0.1,1,2,1
192,A,1,1,1,1.8,3,1.2,1.8,2.3,0.5,0,0,0,3.24,6.9,3.66,0,0,0,0,0,0
248,A,1,1,1,1.2,3.6,2.4,1.2,1.9,0.7,0,0,0,1.44,6.84,5.4,0,0,0,0,0,0
271,A,2,1,1,2.9,4.8,1.9,1.6,2.3,0.7,0,2.5,2.5,4.64,24.74,20.1,0,0.35,0.35,0,0,0
191,C,4,3,3,13,11.8,-1.2,7.5,13.8,6.3,9,9.1,0.1,742.64,1170.98,428.34,0.67,0.66,-0.01,11,18,7
229,A,2,1,2,1.3,6.1,4.8,1.3,3.3,2,0,2.3,2.3,1.69,39.9,38.21,0,0,0,0,1,1
