"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
982561,"800940",8033,,"1"
982561,"900000",105000,,"1"
982561,"950001",-13899,"T","1"
982561,"980000",105000,,"1"
982561,"980010",4,,"1"
982561,"980020",43,,"1"
982561,"980030",2,,"1"
982561,"980040",1,,"1"
982561,"980050",2,,"1"
982561,"980070",118899,"T","1"
982561,"980090",100,,"1"
982561,"980210",100,,"1"
982561,"980230",100,,"1"
982561,"980281",100,,"1"
982561,"980286",100,,"1"
982561,"980310",100,,"1"
982561,"980330",100,,"1"
982562,"800940",8033,,"1"
982562,"900000",105000,,"1"
982562,"950001",-13899,"T","1"
982562,"980000",105000,,"1"
982562,"980010",4,,"1"
982562,"980020",43,,"1"
982562,"980030",2,,"1"
982562,"980040",1,,"1"
982562,"980050",2,,"1"
982562,"980070",118899,"T","1"
982562,"980090",100,,"1"
982562,"980210",100,,"1"
982562,"980230",100,,"1"
982562,"980281",100,,"1"
982562,"980286",100,,"1"
982562,"980310",100,,"1"
982562,"980330",100,,"1"
982571,"800940",4222,,"1"
982571,"900000",55196,,"1"
982571,"980000",55196,,"1"
982571,"980010",5,,"1"
982571,"980020",42,,"1"
982571,"980030",1,,"1"
982571,"980040",3,,"1"
982571,"980050",3,,"1"
982571,"980070",55196,,"1"
982571,"980090",100,,"1"
982571,"980210",100,,"1"
982571,"980230",100,,"1"
982571,"980281",100,,"1"
982571,"980286",100,,"1"
982571,"980310",100,,"1"
982571,"980330",100,,"1"
982581,"800940",3134,,"1"
982581,"900000",38104,,"1"
982581,"900010",1428,,"1"
982581,"900030",34918,,"1"
982581,"900040",63165,"T","1"
982581,"950003",700,,"1"
982581,"950011",-1876,,"1"
982581,"950021",5000,,"1"
982581,"980000",137615,"T","1"
982581,"980010",2,,"1"
982581,"980020",67,,"1"
982581,"980030",1,,"1"
982581,"980040",3,,"1"
982581,"980060",2,,"1"
982581,"980070",133791,"T","1"
982581,"980090",100,,"1"
982581,"980220",100,,"1"
982581,"980230",100,,"1"
982581,"980281",100,,"1"
982581,"980286",100,,"1"
982581,"980310",100,,"1"
982581,"980330",100,,"1"
982582,"800940",5038,,"1"
982582,"900000",61816,,"1"
982582,"900010",2020,,"1"
