"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
1001811,"800940",3372,,"1"
1001811,"900000",44080,,"1"
1001811,"900030",9800,,"1"
1001811,"900100",11200,,"1"
1001811,"950013",400,,"1"
1001811,"950022",150,,"1"
1001811,"980000",65080,,"1"
1001811,"980010",2,,"1"
1001811,"980020",63,,"1"
1001811,"980030",2,,"1"
1001811,"980040",2,,"1"
1001811,"980070",64530,,"1"
1001811,"980090",100,,"1"
1001811,"980210",100,,"1"
1001811,"980230",100,,"1"
1001811,"980281",100,,"1"
1001811,"980286",100,,"1"
1001811,"980300",100,,"1"
1001811,"980330",100,,"1"
1001812,"800940",3431,,"1"
1001812,"900000",44848,,"1"
1001812,"900030",9800,,"1"
1001812,"900100",11200,,"1"
1001812,"950013",400,,"1"
1001812,"950022",150,,"1"
1001812,"980000",65848,,"1"
1001812,"980010",2,,"1"
1001812,"980020",63,,"1"
1001812,"980030",2,,"1"
1001812,"980040",2,,"1"
1001812,"980070",65298,,"1"
1001812,"980090",100,,"1"
1001812,"980210",100,,"1"
1001812,"980230",100,,"1"
1001812,"980281",100,,"1"
1001812,"980286",100,,"1"
1001812,"980300",100,,"1"
1001812,"980330",100,,"1"
1001821,"800940",1340,,"1"
1001821,"900000",17516,,"1"
1001821,"950002",2707,,"1"
1001821,"980000",17516,,"1"
1001821,"980010",2,,"1"
1001821,"980020",51,,"1"
1001821,"980030",1,,"1"
1001821,"980070",14809,,"1"
1001821,"980210",100,,"1"
1001821,"980260",100,,"1"
1001821,"980270",100,,"1"
1001821,"980286",100,,"1"
1001821,"980310",100,,"1"
1001822,"800940",1287,,"1"
1001822,"900000",16823,,"1"
1001822,"950002",2600,,"1"
1001822,"980000",16823,,"1"
1001822,"980010",2,,"1"
1001822,"980020",51,,"1"
1001822,"980030",1,,"1"
1001822,"980070",14223,,"1"
1001822,"980210",100,,"1"
1001822,"980260",100,,"1"
1001822,"980270",100,,"1"
1001822,"980286",100,,"1"
1001822,"980310",100,,"1"
1001831,"800940",12490,,"1"
1001831,"900000",276001,"T","1"
1001831,"980000",276001,"T","1"
1001831,"980010",4,,"1"
1001831,"980020",34,,"1"
1001831,"980030",2,,"1"
1001831,"980040",2,,"1"
1001831,"980050",2,,"1"
1001831,"980070",276001,"T","1"
1001831,"980090",100,,"1"
1001831,"980210",100,,"1"
1001831,"980230",100,,"1"
