"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
755511,"800940","1",4667,,"1"
755511,"800940","1",4667,,"2"
755511,"800940","1",4667,,"3"
755511,"800940","1",4667,,"4"
755511,"800940","1",4667,,"5"
755511,"900000","1",61000,,"1"
755511,"900000","1",61000,,"2"
755511,"900000","1",61000,,"3"
755511,"900000","1",61000,,"4"
755511,"900000","1",61000,,"5"
755511,"950002","1",6760,,"1"
755511,"950002","1",6760,,"2"
755511,"950002","1",6760,,"3"
755511,"950002","1",6760,,"4"
755511,"950002","1",6760,,"5"
755511,"950012","1",2102,,"1"
755511,"950012","1",2102,,"2"
755511,"950012","1",2102,,"3"
755511,"950012","1",2102,,"4"
755511,"950012","1",2102,,"5"
755511,"980000","1",61000,,"1"
755511,"980000","1",61000,,"2"
755511,"980000","1",61000,,"3"
755511,"980000","1",61000,,"4"
755511,"980000","1",61000,,"5"
755511,"980070","1",53738,,"1"
755511,"980070","1",53738,,"2"
755511,"980070","1",53738,,"3"
755511,"980070","1",53738,,"4"
755511,"980070","1",53738,,"5"
755512,"800940","1",4667,,"1"
755512,"800940","1",4667,,"2"
755512,"800940","1",4667,,"3"
755512,"800940","1",4667,,"4"
755512,"800940","1",4667,,"5"
755512,"900000","1",61000,,"1"
755512,"900000","1",61000,,"2"
755512,"900000","1",61000,,"3"
755512,"900000","1",61000,,"4"
755512,"900000","1",61000,,"5"
755512,"950002","1",6760,,"1"
755512,"950002","1",6760,,"2"
755512,"950002","1",6760,,"3"
755512,"950002","1",6760,,"4"
755512,"950002","1",6760,,"5"
755512,"950012","1",2102,,"1"
755512,"950012","1",2102,,"2"
755512,"950012","1",2102,,"3"
755512,"950012","1",2102,,"4"
755512,"950012","1",2102,,"5"
755512,"980000","1",61000,,"1"
755512,"980000","1",61000,,"2"
755512,"980000","1",61000,,"3"
755512,"980000","1",61000,,"4"
755512,"980000","1",61000,,"5"
755512,"980070","1",53738,,"1"
755512,"980070","1",53738,,"2"
755512,"980070","1",53738,,"3"
755512,"980070","1",53738,,"4"
755512,"980070","1",53738,,"5"
753852,"800940","1",5738,,"1"
753852,"800940","1",5738,,"2"
753852,"800940","1",5738,,"3"
753852,"800940","1",5738,,"4"
753852,"800940","1",5738,,"5"
753852,"900000","1",75000,,"1"
753852,"900000","1",75000,,"2"
753852,"900000","1",75000,,"3"
753852,"900000","1",75000,,"4"
753852,"900000","1",75000,,"5"
753852,"900080","1",30,,"1"
753852,"900080","1",30,,"2"
753852,"900080","1",30,,"3"
753852,"900080","1",30,,"4"
753852,"900080","1",30,,"5"
753852,"900131","1",12500,,"1"
753852,"900131","1",12500,,"2"
753852,"900131","1",12500,,"3"
753852,"900131","1",12500,,"4"
753852,"900131","1",12500,,"5"
753852,"950002","1",7500,,"1"
753852,"950002","1",7500,,"2"
753852,"950002","1",7500,,"3"
753852,"950002","1",7500,,"4"
753852,"950002","1",7500,,"5"
753852,"950012","1",4500,,"1"
753852,"950012","1",4500,,"2"
753852,"950012","1",4500,,"3"
753852,"950012","1",4500,,"4"
753852,"950012","1",4500,,"5"
753852,"980000","1",87530,,"1"
753852,"980000","1",87530,,"2"
753852,"980000","1",87530,,"3"
753852,"980000","1",87530,,"4"
753852,"980000","1",87530,,"5"
753852,"980070","1",79330,,"1"
753852,"980070","1",79330,,"2"
753852,"980070","1",79330,,"3"
753852,"980070","1",79330,,"4"
753852,"980070","1",79330,,"5"
751291,"800940","1",2831,,"1"
751291,"800940","1",2831,,"2"
751291,"800940","1",2831,,"3"
751291,"800940","1",2831,,"4"
751291,"800940","1",2831,,"5"
751291,"900000","1",37000,,"1"
751291,"900000","1",37000,,"2"
751291,"900000","1",37000,,"3"
751291,"900000","1",37000,,"4"
751291,"900000","1",37000,,"5"
751291,"900110","1",56044,,"1"
751291,"900110","1",25715,,"2"
751291,"900110","1",24002,,"3"
751291,"900110","1",22311,,"4"
751291,"900110","1",4665,,"5"
751291,"980000","1",93044,,"1"
751291,"980000","1",62715,,"2"
751291,"980000","1",61002,,"3"
751291,"980000","1",59311,,"4"
751291,"980000","1",41665,,"5"
751291,"980070","1",93044,,"1"
751291,"980070","1",62715,,"2"
751291,"980070","1",61002,,"3"
751291,"980070","1",59311,,"4"
751291,"980070","1",41665,,"5"
751292,"800940","1",2831,,"1"
751292,"800940","1",2831,,"2"
751292,"800940","1",2831,,"3"
751292,"800940","1",2831,,"4"
751292,"800940","1",2831,,"5"
751292,"900000","1",37000,,"1"
751292,"900000","1",37000,,"2"
751292,"900000","1",37000,,"3"
751292,"900000","1",37000,,"4"
751292,"900000","1",37000,,"5"
751292,"900110","1",12403,,"1"
751292,"900110","1",3955,,"2"
751292,"900110","1",6405,,"3"
751292,"900110","1",23936,,"4"
751292,"900110","1",10502,,"5"
751292,"980000","1",49403,,"1"
751292,"980000","1",40955,,"2"
751292,"980000","1",43405,,"3"
751292,"980000","1",60936,,"4"
751292,"980000","1",47502,,"5"
751292,"980070","1",49403,,"1"
751292,"980070","1",40955,,"2"
751292,"980070","1",43405,,"3"
751292,"980070","1",60936,,"4"
751292,"980070","1",47502,,"5"
746221,"900030","1",32124,,"1"
746221,"900030","1",32124,,"2"
746221,"900030","1",32124,,"3"
746221,"900030","1",32124,,"4"
746221,"900030","1",32124,,"5"
746221,"900040","1",12000,,"1"
746221,"900040","1",12000,,"2"
746221,"900040","1",12000,,"3"
746221,"900040","1",12000,,"4"
746221,"900040","1",12000,,"5"
746221,"900080","1",6432,,"1"
746221,"900080","1",4425,,"2"
746221,"900080","1",934,,"3"
746221,"900080","1",5134,,"4"
746221,"900080","1",309,,"5"
746221,"980000","1",50556,,"1"
746221,"980000","1",48549,,"2"
746221,"980000","1",45058,,"3"
746221,"980000","1",49258,,"4"
746221,"980000","1",44433,,"5"
746221,"980070","1",50556,,"1"
746221,"980070","1",48549,,"2"
746221,"980070","1",45058,,"3"
746221,"980070","1",49258,,"4"
746221,"980070","1",44433,,"5"
746222,"900030","1",32124,,"1"
746222,"900030","1",32124,,"2"
746222,"900030","1",32124,,"3"
746222,"900030","1",32124,,"4"
746222,"900030","1",32124,,"5"
746222,"900040","1",12000,,"1"
746222,"900040","1",12000,,"2"
746222,"900040","1",12000,,"3"
746222,"900040","1",12000,,"4"
