"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
741421,"800910",3767,,"1"
741421,"800931",4998,,"1"
741421,"800940",7115,,"1"
741421,"900000",93000,,"1"
741421,"900060",2000,,"1"
741421,"900080",261,,"1"
741421,"900140",150,,"1"
741421,"950001",-4000,,"1"
741421,"950002",14159,,"1"
741421,"950011",-1000,,"1"
741421,"950012",3652,,"1"
741421,"980000",95411,,"1"
741421,"980010",3,,"1"
741421,"980020",48,,"1"
741421,"980030",3,,"1"
741421,"980040",4,,"1"
741421,"980070",82600,,"1"
741421,"980090",100,,"1"
741421,"980220",100,,"1"
741421,"980230",100,,"1"
741421,"980281",100,,"1"
741421,"980286",100,,"1"
741421,"980300",100,,"1"
741421,"980330",100,,"1"
741422,"800910",3767,,"1"
741422,"800931",4998,,"1"
741422,"800940",7115,,"1"
741422,"900000",93000,,"1"
741422,"900060",2000,,"1"
741422,"900080",223,,"1"
741422,"900140",150,,"1"
741422,"950001",-4000,,"1"
741422,"950002",14159,,"1"
741422,"950011",-1000,,"1"
741422,"950012",3652,,"1"
741422,"980000",95373,,"1"
741422,"980010",3,,"1"
741422,"980020",48,,"1"
741422,"980030",3,,"1"
741422,"980040",4,,"1"
741422,"980070",82562,,"1"
741422,"980090",100,,"1"
741422,"980220",100,,"1"
741422,"980230",100,,"1"
741422,"980281",100,,"1"
741422,"980286",100,,"1"
741422,"980300",100,,"1"
741422,"980330",100,,"1"
741431,"800940",586,,"1"
741431,"900000",7658,,"1"
741431,"980000",7658,,"1"
741431,"980010",1,,"1"
741431,"980020",24,,"1"
741431,"980030",1,,"1"
741431,"980070",7658,,"1"
741431,"980220",100,,"1"
741431,"980260",100,,"1"
741431,"980270",100,,"1"
741431,"980286",100,,"1"
741431,"980300",100,,"1"
741432,"800940",856,,"1"
741432,"900000",11187,,"1"
741432,"980000",11187,,"1"
741432,"980010",1,,"1"
741432,"980020",24,,"1"
741432,"980030",1,,"1"
741432,"980070",11187,,"1"
741432,"980220",100,,"1"
741432,"980260",100,,"1"
741432,"980270",100,,"1"
741432,"980286",100,,"1"
741432,"980300",100,,"1"
741441,"800940",8950,,"1"
741441,"900000",62000,,"1"
741441,"900010",27489,,"1"
741441,"900080",10,,"1"
741441,"950022",200,,"1"
741441,"980000",89499,,"1"
741441,"980010",2,,"1"
741441,"980020",30,,"1"
741441,"980030",2,,"1"
741441,"980040",3,,"1"
741441,"980070",89299,,"1"
741441,"980090",100,,"1"
741441,"980210",100,,"1"
741441,"980230",100,,"1"
741441,"980281",100,,"1"
741441,"980286",100,,"1"
741441,"980310",100,,"1"
741441,"980330",100,,"1"
741442,"800940",8643,,"1"
741442,"900000",62000,,"1"
741442,"900010",142690,"T","1"
741442,"900080",10,,"1"
741442,"950022",200,,"1"
741442,"980000",204700,"T","1"
741442,"980010",2,,"1"
741442,"980020",30,,"1"
741442,"980030",2,,"1"
741442,"980040",3,,"1"
741442,"980070",204500,"T","1"
741442,"980090",100,,"1"
741442,"980210",100,,"1"
741442,"980230",100,,"1"
741442,"980281",100,,"1"
741442,"980286",100,,"1"
741442,"980310",100,,"1"
741442,"980330",100,,"1"
741451,"900030",17261,,"1"
741451,"900040",10979,,"1"
741451,"900080",3706,,"1"
741451,"900090",1100,,"1"
741451,"950021",700,,"1"
741451,"980000",33046,,"1"
741451,"980010",2,,"1"
741451,"980020",75,,"1"
741451,"980040",3,,"1"
741451,"980060",2,,"1"
741451,"980070",32346,,"1"
741451,"980090",100,,"1"
741451,"980210",100,,"1"
741451,"980240",100,,"1"
741451,"980281",100,,"1"
741451,"980286",100,,"1"
741451,"980300",100,,"1"
741451,"980330",100,,"1"
741452,"900030",14870,,"1"
741452,"900040",9454,,"1"
741452,"900080",7606,,"1"
741452,"900090",1100,,"1"
741452,"950021",700,,"1"
741452,"980000",33031,,"1"
741452,"980010",2,,"1"
741452,"980020",75,,"1"
741452,"980040",3,,"1"
741452,"980060",2,,"1"
741452,"980070",32331,,"1"
741452,"980090",100,,"1"
741452,"980210",100,,"1"
741452,"980240",100,,"1"
741452,"980281",100,,"1"
741452,"980286",100,,"1"
741452,"980300",100,,"1"
741452,"980330",100,,"1"
741461,"800931",600,,"1"
741461,"800940",7321,,"1"
741461,"900000",36000,,"1"
741461,"900010",21350,,"1"
741461,"900020",8500,,"1"
741461,"900080",50,,"1"
741461,"950002",840,,"1"
741461,"980000",65900,,"1"
741461,"980010",2,,"1"
741461,"980020",57,,"1"
741461,"980030",2,,"1"
741461,"980040",5,,"1"
741461,"980070",65060,,"1"
741461,"980090",100,,"1"
741461,"980210",100,,"1"
741461,"980240",100,,"1"
741461,"980281",100,,"1"
741461,"980286",100,,"1"
741461,"980300",100,,"1"
741461,"980330",100,,"1"
741462,"800931",600,,"1"
741462,"800940",7321,,"1"
741462,"900000",36000,,"1"
741462,"900010",21350,,"1"
741462,"900020",8500,,"1"
741462,"900080",50,,"1"
741462,"950002",840,,"1"
741462,"980000",65900,,"1"
741462,"980010",2,,"1"
741462,"980020",57,,"1"
741462,"980030",2,,"1"
741462,"980040",5,,"1"
741462,"980070",65060,,"1"
741462,"980090",100,,"1"
741462,"980210",100,,"1"
741462,"980240",100,,"1"
741462,"980281",100,,"1"
741462,"980286",100,,"1"
741462,"980300",100,,"1"
741462,"980330",100,,"1"
741471,"800940",1338,,"1"
741471,"900000",17486,,"1"
741471,"900030",13200,,"1"
741471,"900040",5561,,"1"
741471,"900080",343,,"1"
741471,"980000",36590,,"1"
741471,"980010",1,,"1"
741471,"980020",77,,"1"
741471,"980030",1,,"1"
741471,"980040",1,,"1"
741471,"980060",1,,"1"
