"HH_CU_Q","hhid","hhid_","newid"
1,.,"A",362031
1,.,"A",362032
1,.,"A",362041
1,.,"A",362042
1,.,"A",362051
1,.,"A",362052
1,.,"A",362061
1,.,"A",362062
1,.,"A",362071
1,.,"A",362072
1,.,"A",362081
1,.,"A",362082
1,.,"A",362091
1,.,"A",362092
1,.,"A",362101
1,.,"A",362102
1,.,"A",362111
1,.,"A",362112
1,.,"A",362121
1,.,"A",362122
2,28,"D",362131
2,58,"D",362132
4,24,"D",362141
4,54,"D",362142
1,.,"A",362151
1,.,"A",362152
1,.,"A",362161
1,.,"A",362162
1,.,"A",362171
1,.,"A",362172
1,.,"A",362181
1,.,"A",362182
1,.,"A",362191
1,.,"A",362192
1,.,"A",362201
1,.,"A",362202
4,3,"D",362211
4,33,"D",362212
1,.,"A",362222
1,.,"A",362231
1,.,"A",362232
1,.,"A",362241
1,.,"A",362242
1,.,"A",362251
1,.,"A",362252
1,.,"A",362261
1,.,"A",362262
1,.,"A",362271
1,.,"A",362272
1,.,"A",362281
1,.,"A",362282
1,.,"A",362291
1,.,"A",362292
1,.,"A",362301
1,.,"A",362302
1,.,"A",362311
1,.,"A",362312
1,.,"A",362321
1,.,"A",362322
1,.,"A",362331
1,.,"A",362332
1,.,"A",362341
1,.,"A",362351
1,.,"A",362352
1,.,"A",362361
1,.,"A",362362
1,.,"A",362371
1,.,"A",362372
1,.,"A",362381
1,.,"A",362382
1,.,"A",362391
1,.,"A",362401
1,.,"A",362402
1,.,"A",362411
1,.,"A",362412
1,.,"A",362421
1,.,"A",362422
1,.,"A",362431
1,.,"A",362432
1,.,"A",362441
1,.,"A",362442
1,.,"A",362451
1,.,"A",362452
1,.,"A",362461
1,.,"A",362462
1,.,"A",362471
1,.,"A",362472
1,.,"A",362481
1,.,"A",362482
1,.,"A",362491
1,.,"A",362492
1,.,"A",362501
1,.,"A",362502
1,.,"A",362511
1,.,"A",362512
1,.,"A",362521
1,.,"A",362522
1,.,"A",362531
1,.,"A",362532
1,.,"A",362541
1,.,"A",362542
3,37,"D",362552
1,.,"A",362561
1,.,"A",362562
1,.,"A",362571
1,.,"A",362572
2,18,"D",362581
2,48,"D",362582
1,.,"A",362591
1,.,"A",362592
1,.,"A",362601
1,.,"A",362602
1,.,"A",362611
1,.,"A",362612
1,.,"A",362621
1,.,"A",362622
1,.,"A",362631
