"HH_CU_Q","hhid","hhid_","newid"
1,.,"A",340691
1,.,"A",340692
1,.,"A",340701
1,.,"A",340702
1,.,"A",340711
1,.,"A",340712
1,.,"A",340721
1,.,"A",340722
1,.,"A",340731
1,.,"A",340732
1,.,"A",340741
1,.,"A",340742
1,.,"A",340751
1,.,"A",340752
1,.,"A",340761
1,.,"A",340762
1,.,"A",340771
1,.,"A",340772
1,.,"A",340781
1,.,"A",340782
1,.,"A",340791
1,.,"A",340792
1,.,"A",340801
1,.,"A",340802
1,.,"A",340811
1,.,"A",340812
1,.,"A",340821
1,.,"A",340831
1,.,"A",340832
1,.,"A",340841
1,.,"A",340842
1,.,"A",340851
1,.,"A",340852
1,.,"A",340861
1,.,"A",340871
1,.,"A",340872
1,.,"A",340881
1,.,"A",340882
1,.,"A",340891
1,.,"A",340892
1,.,"A",340901
1,.,"A",340902
1,.,"A",340911
1,.,"A",340912
1,.,"A",340921
1,.,"A",340922
1,.,"A",340931
1,.,"A",340932
1,.,"A",340941
1,.,"A",340942
1,.,"A",340951
1,.,"A",340952
1,.,"A",340961
1,.,"A",340962
1,.,"A",340971
1,.,"A",340972
1,.,"A",340981
1,.,"A",340982
1,.,"A",340991
1,.,"A",340992
1,.,"A",341001
1,.,"A",341002
1,.,"A",341011
1,.,"A",341012
1,.,"A",341021
1,.,"A",341022
1,.,"A",341031
1,.,"A",341032
1,.,"A",341041
1,.,"A",341042
1,.,"A",341051
1,.,"A",341052
1,.,"A",341061
1,.,"A",341062
1,.,"A",341071
1,.,"A",341072
1,.,"A",341081
1,.,"A",341082
1,.,"A",341091
1,.,"A",341092
1,.,"A",341101
1,.,"A",341102
1,.,"A",341111
1,.,"A",341112
1,.,"A",341121
1,.,"A",341122
1,.,"A",341131
1,.,"A",341132
1,.,"A",341141
1,.,"A",341142
1,.,"A",341151
1,.,"A",341152
1,.,"A",341161
1,.,"A",341162
1,.,"A",341171
1,.,"A",341172
1,.,"A",341181
1,.,"A",341182
1,.,"A",341191
1,.,"A",341192
1,.,"A",341201
1,.,"A",341202
1,.,"A",341211
1,.,"A",341212
1,.,"A",341221
1,.,"A",341222
1,.,"A",341231
1,.,"A",341232
1,.,"A",341241
1,.,"A",341242
1,.,"A",341251
1,.,"A",341252
1,.,"A",341261
1,.,"A",341262
1,.,"A",341271
1,.,"A",341272
1,.,"A",341281
1,.,"A",341282
1,.,"A",341291
1,.,"A",341292
1,.,"A",341301
1,.,"A",341302
2,22,"D",341311
2,50,"D",341312
1,.,"A",341321
1,.,"A",341322
1,.,"A",341331
1,.,"A",341341
1,.,"A",341342
1,.,"A",341351
1,.,"A",341352
1,.,"A",341361
1,.,"A",341362
1,.,"A",341371
1,.,"A",341372
1,.,"A",341381
1,.,"A",341382
1,.,"A",341391
1,.,"A",341392
1,.,"A",341401
1,.,"A",341402
2,17,"D",341411
1,.,"A",341421
1,.,"A",341422
1,.,"A",341431
1,.,"A",341432
1,.,"A",341441
1,.,"A",341442
1,.,"A",341451
1,.,"A",341452
1,.,"A",341461
1,.,"A",341462
1,.,"A",341471
1,.,"A",341472
1,.,"A",341482
1,.,"A",341491
1,.,"A",341492
1,.,"A",341501
1,.,"A",341502
1,.,"A",341511
1,.,"A",341512
1,.,"A",341521
1,.,"A",341522
1,.,"A",341531
1,.,"A",341532
1,.,"A",341541
1,.,"A",341542
1,.,"A",341551
1,.,"A",341552
1,.,"A",341561
1,.,"A",341562
1,.,"A",341571
1,.,"A",341572
1,.,"A",341581
1,.,"A",341582
1,.,"A",341591
1,.,"A",341592
1,.,"A",341601
1,.,"A",341602
1,.,"A",341611
1,.,"A",341612
1,.,"A",341621
1,.,"A",341622
1,.,"A",341631
1,.,"A",341632
1,.,"A",341641
1,.,"A",341642
1,.,"A",341651
1,.,"A",341652
1,.,"A",341661
1,.,"A",341662
1,.,"A",341671
1,.,"A",341672
1,.,"A",341681
1,.,"A",341682
1,.,"A",341691
1,.,"A",341692
1,.,"A",341701
1,.,"A",341702
1,.,"A",341711
1,.,"A",341712
1,.,"A",341721
1,.,"A",341722
1,.,"A",341731
1,.,"A",341732
1,.,"A",341741
1,.,"A",341751
1,.,"A",341752
1,.,"A",341761
1,.,"A",341762
1,.,"A",341772
1,.,"A",341781
1,.,"A",341782
1,.,"A",341791
1,.,"A",341792
1,.,"A",341801
1,.,"A",341802
1,.,"A",341811
1,.,"A",341812
1,.,"A",341821
1,.,"A",341822
3,23,"D",341831
3,51,"D",341832
1,.,"A",341841
1,.,"A",341842
1,.,"A",341851
1,.,"A",341852
1,.,"A",341861
1,.,"A",341862
1,.,"A",341871
1,.,"A",341872
1,.,"A",341881
1,.,"A",341882
1,.,"A",341891
1,.,"A",341892
1,.,"A",341901
1,.,"A",341902
1,.,"A",341911
1,.,"A",341912
1,.,"A",341921
1,.,"A",341922
1,.,"A",341931
1,.,"A",341932
1,.,"A",341941
1,.,"A",341942
1,.,"A",341951
1,.,"A",341952
1,.,"A",341961
1,.,"A",341962
1,.,"A",341971
1,.,"A",341972
2,1,"D",341981
2,29,"D",341982
1,.,"A",341991
1,.,"A",341992
1,.,"A",342001
1,.,"A",342002
1,.,"A",342011
1,.,"A",342012
1,.,"A",342021
1,.,"A",342022
1,.,"A",342031
1,.,"A",342032
1,.,"A",342041
1,.,"A",342042
1,.,"A",342051
1,.,"A",342052
1,.,"A",342061
1,.,"A",342062
1,.,"A",342071
1,.,"A",342072
1,.,"A",342081
1,.,"A",342082
1,.,"A",342091
1,.,"A",342092
1,.,"A",342101
1,.,"A",342102
1,.,"A",342111
1,.,"A",342112
1,.,"A",342121
1,.,"A",342122
1,.,"A",342131
1,.,"A",342132
1,.,"A",342141
1,.,"A",342142
1,.,"A",342151
1,.,"A",342152
1,.,"A",342161
