"HH_CU_Q","hhid","hhid_","newid"
1,.,"A",778511
1,.,"A",778521
1,.,"A",778522
1,.,"A",778531
1,.,"A",778532
1,.,"A",778541
1,.,"A",778542
1,.,"A",778551
1,.,"A",778552
1,.,"A",778561
1,.,"A",778562
1,.,"A",778571
1,.,"A",778572
1,.,"A",778581
1,.,"A",778582
1,.,"A",778591
1,.,"A",778592
1,.,"A",778601
1,.,"A",778602
1,.,"A",778611
1,.,"A",778612
1,.,"A",778621
1,.,"A",778622
1,.,"A",778631
1,.,"A",778632
1,.,"A",778641
1,.,"A",778642
1,.,"A",778651
1,.,"A",778652
1,.,"A",778661
1,.,"A",778662
1,.,"A",778671
1,.,"A",778672
1,.,"A",778681
1,.,"A",778682
1,.,"A",778691
1,.,"A",778692
1,.,"A",778701
1,.,"A",778702
1,.,"A",778711
1,.,"A",778712
1,.,"A",778721
1,.,"A",778722
1,.,"A",778731
1,.,"A",778732
1,.,"A",778742
1,.,"A",778751
1,.,"A",778752
1,.,"A",778761
1,.,"A",778762
1,.,"A",778772
1,.,"A",778781
1,.,"A",778782
1,.,"A",778791
1,.,"A",778792
1,.,"A",778801
1,.,"A",778802
1,.,"A",778811
1,.,"A",778812
1,.,"A",778821
1,.,"A",778822
1,.,"A",778831
1,.,"A",778832
1,.,"A",778841
1,.,"A",778842
1,.,"A",778851
1,.,"A",778852
1,.,"A",778861
1,.,"A",778862
1,.,"A",778871
1,.,"A",778872
1,.,"A",778881
1,.,"A",778882
1,.,"A",778891
1,.,"A",778892
1,.,"A",778901
1,.,"A",778902
8,3,"D",778911
8,25,"D",778912
1,.,"A",778921
1,.,"A",778922
1,.,"A",778931
1,.,"A",778932
1,.,"A",778941
1,.,"A",778942
1,.,"A",778951
1,.,"A",778952
1,.,"A",778961
1,.,"A",778962
1,.,"A",778971
1,.,"A",778972
1,.,"A",778981
1,.,"A",778982
1,.,"A",778991
1,.,"A",778992
1,.,"A",779001
1,.,"A",779002
1,.,"A",779011
1,.,"A",779012
1,.,"A",779021
1,.,"A",779022
1,.,"A",779031
1,.,"A",779032
1,.,"A",779042
1,.,"A",779051
1,.,"A",779052
1,.,"A",779061
1,.,"A",779062
1,.,"A",779071
1,.,"A",779072
1,.,"A",779081
8,3,"D",779091
8,25,"D",779092
1,.,"A",779101
1,.,"A",779102
1,.,"A",779111
1,.,"A",779112
1,.,"A",779121
1,.,"A",779122
1,.,"A",779131
1,.,"A",779132
1,.,"A",779141
1,.,"A",779142
1,.,"A",779151
1,.,"A",779152
1,.,"A",779161
1,.,"A",779162
1,.,"A",779171
1,.,"A",779172
1,.,"A",779181
1,.,"A",779182
1,.,"A",779191
1,.,"A",779192
1,.,"A",779201
1,.,"A",779202
1,.,"A",779211
1,.,"A",779212
1,.,"A",779221
1,.,"A",779222
1,.,"A",779231
1,.,"A",779232
1,.,"A",779241
1,.,"A",779242
1,.,"A",779251
1,.,"A",779252
1,.,"A",779261
1,.,"A",779262
1,.,"A",779271
1,.,"A",779272
1,.,"A",779281
1,.,"A",779282
1,.,"A",779291
1,.,"A",779292
1,.,"A",779301
1,.,"A",779302
1,.,"A",779311
1,.,"A",779312
1,.,"A",779321
1,.,"A",779322
1,.,"A",779331
1,.,"A",779332
1,.,"A",779341
1,.,"A",779342
1,.,"A",779351
1,.,"A",779352
1,.,"A",779361
1,.,"A",779362
1,.,"A",779371
1,.,"A",779372
1,.,"A",779381
1,.,"A",779391
1,.,"A",779392
1,.,"A",779401
1,.,"A",779402
1,.,"A",779411
1,.,"A",779412
1,.,"A",779421
1,.,"A",779422
1,.,"A",779431
1,.,"A",779432
1,.,"A",779441
1,.,"A",779442
1,.,"A",779451
1,.,"A",779452
1,.,"A",779461
1,.,"A",779462
1,.,"A",779471
1,.,"A",779472
1,.,"A",779481
1,.,"A",779482
1,.,"A",779491
1,.,"A",779492
1,.,"A",779501
1,.,"A",779502
1,.,"A",779511
1,.,"A",779512
1,.,"A",779521
1,.,"A",779522
1,.,"A",779531
1,.,"A",779532
1,.,"A",779541
1,.,"A",779542
1,.,"A",779551
1,.,"A",779552
1,.,"A",779561
1,.,"A",779562
1,.,"A",779571
1,.,"A",779572
1,.,"A",779581
1,.,"A",779582
1,.,"A",779591
1,.,"A",779592
1,.,"A",779601
1,.,"A",779602
1,.,"A",779611
1,.,"A",779612
1,.,"A",779621
1,.,"A",779622
1,.,"A",779631
1,.,"A",779632
1,.,"A",779641
1,.,"A",779642
1,.,"A",779652
1,.,"A",779661
1,.,"A",779662
1,.,"A",779671
1,.,"A",779672
1,.,"A",779682
1,.,"A",779691
1,.,"A",779692
1,.,"A",779701
1,.,"A",779702
1,.,"A",779711
1,.,"A",779712
1,.,"A",779721
1,.,"A",779722
1,.,"A",779731
1,.,"A",779732
1,.,"A",779741
1,.,"A",779742
1,.,"A",779751
1,.,"A",779752
1,.,"A",779761
1,.,"A",779771
1,.,"A",779772
1,.,"A",779781
1,.,"A",779782
1,.,"A",779791
1,.,"A",779792
1,.,"A",779802
1,.,"A",779811
1,.,"A",779812
1,.,"A",779821
1,.,"A",779822
1,.,"A",779831
1,.,"A",779832
1,.,"A",779841
1,.,"A",779842
1,.,"A",779851
1,.,"A",779852
1,.,"A",779861
1,.,"A",779862
1,.,"A",779871
1,.,"A",779872
1,.,"A",779881
1,.,"A",779882
1,.,"A",779892
1,.,"A",779902
1,.,"A",779911
1,.,"A",779912
1,.,"A",779921
1,.,"A",779922
1,.,"A",779931
1,.,"A",779932
1,.,"A",779941
1,.,"A",779942
1,.,"A",779951
1,.,"A",779952
1,.,"A",779961
1,.,"A",779962
1,.,"A",779971
1,.,"A",779972
1,.,"A",779981
1,.,"A",779982
1,.,"A",779991
1,.,"A",779992
1,.,"A",780001
1,.,"A",780002
1,.,"A",780011
1,.,"A",780012
1,.,"A",780021
1,.,"A",780031
1,.,"A",780032
1,.,"A",780041
1,.,"A",780042
1,.,"A",780051
1,.,"A",780052
1,.,"A",780061
1,.,"A",780062
1,.,"A",780071
1,.,"A",780072
1,.,"A",780081
1,.,"A",780082
1,.,"A",780091
1,.,"A",780092
1,.,"A",780101
1,.,"A",780102
1,.,"A",780111
1,.,"A",780112
1,.,"A",780121
1,.,"A",780122
2,16,"D",780131
2,38,"D",780132
1,.,"A",780141
1,.,"A",780142
1,.,"A",780151
1,.,"A",780152
1,.,"A",780161
1,.,"A",780162
1,.,"A",780172
1,.,"A",780181
1,.,"A",780182
1,.,"A",780191
1,.,"A",780192
1,.,"A",780201
1,.,"A",780202
1,.,"A",780212
1,.,"A",780221
1,.,"A",780222
1,.,"A",780231
1,.,"A",780232
2,17,"D",780241
2,39,"D",780242
1,.,"A",780251
1,.,"A",780252
1,.,"A",780261
1,.,"A",780262
1,.,"A",780271
1,.,"A",780272
1,.,"A",780281
1,.,"A",780282
1,.,"A",780291
1,.,"A",780292
1,.,"A",780301
1,.,"A",780302
1,.,"A",780311
1,.,"A",780312
1,.,"A",780321
1,.,"A",780322
1,.,"A",780331
1,.,"A",780332
1,.,"A",780341
1,.,"A",780342
1,.,"A",780351
1,.,"A",780352
1,.,"A",780361
1,.,"A",780362
1,.,"A",780371
1,.,"A",780372
1,.,"A",780381
1,.,"A",780382
1,.,"A",780391
1,.,"A",780392
1,.,"A",780401
1,.,"A",780402
1,.,"A",780411
1,.,"A",780412
1,.,"A",780421
1,.,"A",780422
1,.,"A",780431
1,.,"A",780432
1,.,"A",780441
1,.,"A",780442
1,.,"A",780451
1,.,"A",780452
1,.,"A",780461
1,.,"A",780462
1,.,"A",780471
1,.,"A",780472
1,.,"A",780481
1,.,"A",780482
1,.,"A",780491
1,.,"A",780501
1,.,"A",780502
1,.,"A",780511
1,.,"A",780512
1,.,"A",780521
1,.,"A",780522
1,.,"A",780531
1,.,"A",780532
1,.,"A",780541
1,.,"A",780542
1,.,"A",780551
1,.,"A",780552
1,.,"A",780561
1,.,"A",780571
1,.,"A",780572
1,.,"A",780581
1,.,"A",780582
1,.,"A",780591
1,.,"A",780592
1,.,"A",780601
1,.,"A",780602
1,.,"A",780611
1,.,"A",780612
1,.,"A",780621
1,.,"A",780622
1,.,"A",780631
1,.,"A",780632
1,.,"A",780641
1,.,"A",780642
1,.,"A",780651
1,.,"A",780652
1,.,"A",780661
1,.,"A",780662
1,.,"A",780671
1,.,"A",780672
1,.,"A",780681
1,.,"A",780682
1,.,"A",780691
1,.,"A",780692
1,.,"A",780701
1,.,"A",780702
1,.,"A",780711
1,.,"A",780712
1,.,"A",780721
1,.,"A",780722
1,.,"A",780731
1,.,"A",780732
1,.,"A",780742
1,.,"A",780751
1,.,"A",780752
1,.,"A",780761
1,.,"A",780762
1,.,"A",780771
1,.,"A",780772
1,.,"A",780781
1,.,"A",780782
1,.,"A",780791
1,.,"A",780792
1,.,"A",780801
1,.,"A",780802
1,.,"A",780811
1,.,"A",780812
1,.,"A",780821
1,.,"A",780822
1,.,"A",780831
1,.,"A",780832
1,.,"A",780841
1,.,"A",780842
1,.,"A",780851
1,.,"A",780852
1,.,"A",780861
1,.,"A",780862
1,.,"A",780871
1,.,"A",780872
1,.,"A",780881
1,.,"A",780882
1,.,"A",780891
1,.,"A",780892
1,.,"A",780901
1,.,"A",780902
1,.,"A",780911
1,.,"A",780912
1,.,"A",780921
1,.,"A",780922
1,.,"A",780931
1,.,"A",780932
1,.,"A",780941
1,.,"A",780942
