"BSNSX","FARMX","IRAX","JSSDEDX","WAGEX","ANFEDTXX","ANGVX","ANPVTX","ANRRX","ANSTATXX","BSNSX_","FARMX_","IRAX_","JSSDEDX_","WAGEX_","ANFE_TXX","ANGVX_","ANPVTX_","ANRRX_","ANST_TXX","FEDTXX","GVX","PVTX","RRX","STATXX","FEDTXX_","GVX_","PVTX_","RRX_","STATXX_","HRSPERWK","WKS_WRKD","HRSP_RWK","WKS__RKD","EMPLTYPE","MARITAL","ORIGIN","WHYNOWRK","OCCULIST","EMPL_YPE","MARITAL_","ORIGIN_","WHYN_WRK","OCCU_IST","RACE","SEX","RACE_","SEX_","AGE","MEMBNO","CU_CODE1","EDUCA","IN_COLL","ARM_FORC","SCHLNCHX","SCHLNCHQ","ANYSSINC","ANYRAIL","SS_RRX","MEDICARE","SS_RRQ","US_SUPP","STA_SUPP","SUPPX","GROSPAYX","PAYPERD","SLFEMPSS","SOCRRX","AGE_","CU_C_DE1","EDUCA_","IN_COLL_","ARM__ORC","ANYS_INC","ANYRAIL_","MEDI_ARE","US_SUPP_","STA__UPP","PAYPERD_","SCHL_CHX","SCHL_CHQ","SS_RRX_","SS_RRQ_","SUPPX_","GROS_AYX","SLFE_PSS","SOCRRX_","NEWID"
.,.,.,260,3400,.,.,.,.,47,"A","A","A","D","D","A","A","A","A","D",.,.,.,.,4,"A","A","A","A","D",38,12,"D","D","3","5","2",,"13","D","D","D","A","D","1","1","D","D",15,3,"3","10",,,.,.,"2","2",.,,.,"2","2",.,287,,0,0,"D","D","D","A","A","D","D","A","D","D","A","A","A","A","A","A","D","D","D",330611
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","2",,,"A","D","D","A","A","1","2","D","D",11,4,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",330611
.,.,.,1301,17000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",40,32,"D","D","1","1","2",,"13","D","D","D","A","D","1","1","D","D",51,1,"1","39","3","2",.,.,"2","2",.,,.,"2","2",.,813,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",330612
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"1","2","2",,"A","D","D","D","A","1","2","D","D",46,2,"2","06",,"2",.,.,"2","2",.,,.,"2","2",.,.,,.,0,"D","D","D","A","D","D","D","A","D","D","A","A","A","A","A","A","A","A","D",330612
.,.,.,260,3400,.,.,.,.,47,"A","A","A","D","D","A","A","A","A","D",.,.,.,.,4,"A","A","A","A","D",38,12,"D","D","3","5","2",,"13","D","D","D","A","D","1","1","D","D",15,3,"3","10",,,.,.,"2","2",.,,.,"2","2",.,287,,0,0,"D","D","D","A","A","D","D","A","D","D","A","A","A","A","A","A","D","D","D",330612
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","2",,,"A","D","D","A","A","1","2","D","D",11,4,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",330612
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"1","1","1",,"A","D","D","D","A","1","2","D","D",74,1,"1","44","3",,.,.,"1","2",780,"1",12,"2","2",.,.,,.,9906,"D","D","D","D","A","D","D","D","D","D","A","A","A","D","D","A","A","A","D",330621
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"1","1","1",,"A","D","D","D","A","1","1","D","D",82,2,"2","45","3",,.,.,"1","2",850,"1",12,"2","2",.,.,,.,10746,"D","D","D","D","A","D","D","D","D","D","A","A","A","D","D","A","A","A","D",330621
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"1","1","1",,"A","D","D","D","A","1","2","D","D",74,1,"1","44","3",,.,.,"1","2",780,"1",12,"2","2",.,.,,.,9906,"D","D","D","D","A","D","D","D","D","D","A","A","A","D","D","A","A","A","D",330622
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"1","1","1",,"A","D","D","D","A","1","1","D","D",82,2,"2","45","3",,.,.,"1","2",850,"1",12,"2","2",.,.,,.,10746,"D","D","D","D","A","D","D","D","D","D","A","A","A","D","D","A","A","A","D",330622
