"AMOUNT","UCC","NEWID","PUB_FLAG","AMOUNT_"
19248,"900030",260671,"1",
98489,"900040",260671,"1","T"
480,"900080",260671,"1",
118217,"980000",260671,"1","T"
2,"980010",260671,"1",
75,"980020",260671,"1",
2,"980040",260671,"1",
2,"980060",260671,"1",
118217,"980070",260671,"1","T"
100,"980090",260671,"1",
100,"980220",260671,"1",
100,"980240",260671,"1",
100,"980280",260671,"1",
100,"980310",260671,"1",
100,"980330",260671,"1",
19248,"900030",260672,"1",
98489,"900040",260672,"1","T"
480,"900080",260672,"1",
118217,"980000",260672,"1","T"
2,"980010",260672,"1",
75,"980020",260672,"1",
2,"980040",260672,"1",
2,"980060",260672,"1",
118217,"980070",260672,"1","T"
100,"980090",260672,"1",
100,"980220",260672,"1",
100,"980240",260672,"1",
100,"980280",260672,"1",
100,"980310",260672,"1",
100,"980330",260672,"1",
6407,"800931",260681,"1",
3900,"800932",260681,"1",
4973,"800940",260681,"1",
65000,"900000",260681,"1",
400,"900080",260681,"1",
8304,"950000",260681,"1",
4074,"950010",260681,"1",
685,"950022",260681,"1",
65400,"980000",260681,"1",
1,"980010",260681,"1",
46,"980020",260681,"1",
1,"980030",260681,"1",
3,"980040",260681,"1",
52337,"980070",260681,"1",
100,"980090",260681,"1",
100,"980210",260681,"1",
100,"980230",260681,"1",
100,"980270",260681,"1",
100,"980310",260681,"1",
100,"980330",260681,"1",
6407,"800931",260682,"1",
3900,"800932",260682,"1",
4973,"800940",260682,"1",
65000,"900000",260682,"1",
400,"900080",260682,"1",
8304,"950000",260682,"1",
4074,"950010",260682,"1",
685,"950022",260682,"1",
65400,"980000",260682,"1",
1,"980010",260682,"1",
46,"980020",260682,"1",
1,"980030",260682,"1",
3,"980040",260682,"1",
52337,"980070",260682,"1",
100,"980090",260682,"1",
100,"980210",260682,"1",
100,"980230",260682,"1",
100,"980270",260682,"1",
100,"980310",260682,"1",
100,"980330",260682,"1",
10500,"800931",260691,"1",
5738,"800940",260691,"1",
75000,"900000",260691,"1",
8400,"900131",260691,"1",
35651,"950000",260691,"1","T"
-2600,"950001",260691,"1",
83400,"980000",260691,"1",
3,"980010",260691,"1",
48,"980020",260691,"1",
2,"980030",260691,"1",
3,"980040",260691,"1",
1,"980050",260691,"1",
50349,"980070",260691,"1","T"
100,"980090",260691,"1",
100,"980210",260691,"1",
100,"980230",260691,"1",
100,"980280",260691,"1",
100,"980300",260691,"1",
100,"980330",260691,"1",
10500,"800931",260692,"1",
5738,"800940",260692,"1",
75000,"900000",260692,"1",
8400,"900131",260692,"1",
35651,"950000",260692,"1","T"
-2600,"950001",260692,"1",
83400,"980000",260692,"1",
3,"980010",260692,"1",
48,"980020",260692,"1",
2,"980030",260692,"1",
3,"980040",260692,"1",
1,"980050",260692,"1",
50349,"980070",260692,"1","T"
100,"980090",260692,"1",
100,"980210",260692,"1",
100,"980230",260692,"1",
100,"980280",260692,"1",
100,"980300",260692,"1",
100,"980330",260692,"1",
5279,"800940",260701,"1",
69000,"900000",260701,"1",
600,"910010",260701,"1",
6070,"950000",260701,"1",
-1200,"950001",260701,"1",
2785,"950010",260701,"1",
-461,"950011",260701,"1",
324,"950022",260701,"1",
