"AMOUNT","UCC","NEWID","PUB_FLAG","AMOUNT_"
92,"800940",300161,"1",
1200,"900000",300161,"1",
3000,"900140",300161,"1",
4200,"980000",300161,"1",
2,"980010",300161,"1",
22,"980020",300161,"1",
2,"980030",300161,"1",
2,"980040",300161,"1",
4200,"980070",300161,"1",
100,"980220",300161,"1",
100,"980260",300161,"1",
100,"980280",300161,"1",
100,"980310",300161,"1",
100,"980330",300161,"1",
92,"800940",300162,"1",
1200,"900000",300162,"1",
3000,"900140",300162,"1",
4200,"980000",300162,"1",
2,"980010",300162,"1",
22,"980020",300162,"1",
2,"980030",300162,"1",
2,"980040",300162,"1",
4200,"980070",300162,"1",
100,"980220",300162,"1",
100,"980260",300162,"1",
100,"980280",300162,"1",
100,"980310",300162,"1",
100,"980330",300162,"1",
5,"980010",300172,"1",
33,"980020",300172,"1",
1,"980030",300172,"1",
2,"980040",300172,"1",
3,"980050",300172,"1",
100,"980220",300172,"1",
100,"980260",300172,"1",
100,"980280",300172,"1",
100,"980310",300172,"1",
100,"980330",300172,"1",
8332,"800940",300181,"1",
112000,"900000",300181,"1",
112000,"980000",300181,"1",
4,"980010",300181,"1",
40,"980020",300181,"1",
2,"980030",300181,"1",
2,"980040",300181,"1",
1,"980050",300181,"1",
112000,"980070",300181,"1",
100,"980090",300181,"1",
100,"980220",300181,"1",
100,"980230",300181,"1",
100,"980280",300181,"1",
100,"980310",300181,"1",
100,"980330",300181,"1",
8332,"800940",300182,"1",
112000,"900000",300182,"1",
112000,"980000",300182,"1",
4,"980010",300182,"1",
40,"980020",300182,"1",
2,"980030",300182,"1",
2,"980040",300182,"1",
1,"980050",300182,"1",
112000,"980070",300182,"1",
100,"980090",300182,"1",
100,"980220",300182,"1",
100,"980230",300182,"1",
100,"980280",300182,"1",
100,"980310",300182,"1",
100,"980330",300182,"1",
7,"980010",300191,"1",
25,"980020",300191,"1",
2,"980030",300191,"1",
2,"980040",300191,"1",
4,"980050",300191,"1",
100,"980090",300191,"1",
100,"980210",300191,"1",
100,"980230",300191,"1",
100,"980280",300191,"1",
100,"980300",300191,"1",
100,"980330",300191,"1",
7,"980010",300192,"1",
25,"980020",300192,"1",
2,"980030",300192,"1",
2,"980040",300192,"1",
4,"980050",300192,"1",
100,"980090",300192,"1",
100,"980210",300192,"1",
100,"980230",300192,"1",
100,"980280",300192,"1",
100,"980300",300192,"1",
100,"980330",300192,"1",
4,"980010",300201,"1",
32,"980020",300201,"1",
1,"980030",300201,"1",
2,"980040",300201,"1",
3,"980050",300201,"1",
100,"980090",300201,"1",
100,"980210",300201,"1",
100,"980230",300201,"1",
100,"980280",300201,"1",
100,"980310",300201,"1",
100,"980330",300201,"1",
4,"980010",300202,"1",
32,"980020",300202,"1",
1,"980030",300202,"1",
2,"980040",300202,"1",
3,"980050",300202,"1",
100,"980090",300202,"1",
100,"980210",300202,"1",
100,"980230",300202,"1",
100,"980280",300202,"1",
100,"980310",300202,"1",
100,"980330",300202,"1",
6906,"900030",300212,"1",
6906,"980000",300212,"1",
1,"980010",300212,"1",
36,"980020",300212,"1",
6906,"980070",300212,"1",
100,"980210",300212,"1",
100,"980260",300212,"1",
100,"980270",300212,"1",
100,"980300",300212,"1",
1,"980010",300221,"1",
53,"980020",300221,"1",
1,"980030",300221,"1",
1,"980040",300221,"1",
100,"980220",300221,"1",
100,"980260",300221,"1",
100,"980270",300221,"1",
100,"980300",300221,"1",
100,"980330",300221,"1",
1,"980010",300222,"1",
53,"980020",300222,"1",
1,"980030",300222,"1",
1,"980040",300222,"1",
100,"980220",300222,"1",
100,"980260",300222,"1",
100,"980270",300222,"1",
100,"980310",300222,"1",
100,"980330",300222,"1",
12546,"900030",300231,"1",
3600,"900040",300231,"1",
-206,"950023",300231,"1",
16146,"980000",300231,"1",
1,"980010",300231,"1",
78,"980020",300231,"1",
1,"980040",300231,"1",
1,"980060",300231,"1",
16352,"980070",300231,"1",
100,"980220",300231,"1",
100,"980260",300231,"1",
100,"980280",300231,"1",
100,"980310",300231,"1",
100,"980330",300231,"1",
12546,"900030",300232,"1",
3600,"900040",300232,"1",
-206,"950023",300232,"1",
16146,"980000",300232,"1",
1,"980010",300232,"1",
78,"980020",300232,"1",
1,"980040",300232,"1",
1,"980060",300232,"1",
16352,"980070",300232,"1",
100,"980220",300232,"1",
100,"980260",300232,"1",
100,"980280",300232,"1",
100,"980310",300232,"1",
100,"980330",300232,"1",
1,"980010",300241,"1",
21,"980020",300241,"1",
1,"980030",300241,"1",
100,"980220",300241,"1",
100,"980260",300241,"1",
100,"980280",300241,"1",
100,"980310",300241,"1",
1,"980010",300242,"1",
21,"980020",300242,"1",
1,"980030",300242,"1",
100,"980220",300242,"1",
100,"980260",300242,"1",
100,"980280",300242,"1",
100,"980310",300242,"1",
2640,"900150",300251,"1",
-600,"950001",300251,"1",
2640,"980000",300251,"1",
3,"980010",300251,"1",
30,"980020",300251,"1",
1,"980030",300251,"1",
2,"980040",300251,"1",
1,"980050",300251,"1",
3240,"980070",300251,"1",
100,"980210",300251,"1",
100,"980260",300251,"1",
100,"980280",300251,"1",
100,"980300",300251,"1",
100,"980330",300251,"1",
2640,"900150",300252,"1",
-600,"950001",300252,"1",
2640,"980000",300252,"1",
3,"980010",300252,"1",
30,"980020",300252,"1",
1,"980030",300252,"1",
2,"980040",300252,"1",
1,"980050",300252,"1",
3240,"980070",300252,"1",
100,"980210",300252,"1",
100,"980260",300252,"1",
100,"980280",300252,"1",
100,"980300",300252,"1",
100,"980330",300252,"1",
6426,"800940",300261,"1",
84000,"900000",300261,"1",
84000,"980000",300261,"1",
2,"980010",300261,"1",
35,"980020",300261,"1",
2,"980030",300261,"1",
2,"980040",300261,"1",
84000,"980070",300261,"1",
100,"980090",300261,"1",
100,"980210",300261,"1",
100,"980230",300261,"1",
100,"980280",300261,"1",
100,"980310",300261,"1",
100,"980330",300261,"1",
6426,"800940",300262,"1",
84000,"900000",300262,"1",
84000,"980000",300262,"1",
2,"980010",300262,"1",
35,"980020",300262,"1",
2,"980030",300262,"1",
2,"980040",300262,"1",
84000,"980070",300262,"1",
100,"980090",300262,"1",
100,"980210",300262,"1",
100,"980230",300262,"1",
100,"980280",300262,"1",
100,"980310",300262,"1",
100,"980330",300262,"1",
3499,"800940",300271,"1",
45734,"900000",300271,"1",
15,"910030",300271,"1",
-1000,"950001",300271,"1",
-380,"950011",300271,"1",
45734,"980000",300271,"1",
2,"980010",300271,"1",
24,"980020",300271,"1",
2,"980030",300271,"1",
2,"980040",300271,"1",
47114,"980070",300271,"1",
100,"980220",300271,"1",
100,"980260",300271,"1",
100,"980280",300271,"1",
100,"980310",300271,"1",
100,"980330",300271,"1",
3499,"800940",300272,"1",
45734,"900000",300272,"1",
15,"910030",300272,"1",
-1000,"950001",300272,"1",
-380,"950011",300272,"1",
45734,"980000",300272,"1",
2,"980010",300272,"1",
24,"980020",300272,"1",
2,"980030",300272,"1",
2,"980040",300272,"1",
47114,"980070",300272,"1",
100,"980220",300272,"1",
100,"980260",300272,"1",
100,"980280",300272,"1",
100,"980310",300272,"1",
100,"980330",300272,"1",
24336,"900030",300281,"1",
7728,"900040",300281,"1",
500,"900080",300281,"1",
32564,"980000",300281,"1",
2,"980010",300281,"1",
69,"980020",300281,"1",
2,"980040",300281,"1",
1,"980060",300281,"1",
32564,"980070",300281,"1",
100,"980090",300281,"1",
100,"980210",300281,"1",
100,"980240",300281,"1",
100,"980280",300281,"1",
100,"980300",300281,"1",
100,"980330",300281,"1",
24336,"900030",300282,"1",
7728,"900040",300282,"1",
500,"900080",300282,"1",
32564,"980000",300282,"1",
2,"980010",300282,"1",
69,"980020",300282,"1",
2,"980040",300282,"1",
1,"980060",300282,"1",
32564,"980070",300282,"1",
100,"980090",300282,"1",
100,"980210",300282,"1",
100,"980240",300282,"1",
100,"980280",300282,"1",
100,"980300",300282,"1",
100,"980330",300282,"1",
-2100,"950001",300291,"1",
310,"950010",300291,"1",
-300,"950011",300291,"1",
4,"980010",300291,"1",
45,"980020",300291,"1",
2,"980030",300291,"1",
2,"980040",300291,"1",
2,"980050",300291,"1",
2090,"980070",300291,"1",
100,"980090",300291,"1",
100,"980210",300291,"1",
100,"980230",300291,"1",
100,"980280",300291,"1",
100,"980310",300291,"1",
100,"980330",300291,"1",
-2100,"950001",300292,"1",
310,"950010",300292,"1",
-300,"950011",300292,"1",
4,"980010",300292,"1",
45,"980020",300292,"1",
2,"980030",300292,"1",
2,"980040",300292,"1",
2,"980050",300292,"1",
2090,"980070",300292,"1",
100,"980090",300292,"1",
100,"980210",300292,"1",
100,"980230",300292,"1",
100,"980280",300292,"1",
100,"980310",300292,"1",
100,"980330",300292,"1",
8863,"800940",300301,"1","T"
3000,"900000",300301,"1",
80000,"900010",300301,"1",
750,"950000",300301,"1",
83000,"980000",300301,"1",
4,"980010",300301,"1",
40,"980020",300301,"1",
2,"980030",300301,"1",
3,"980040",300301,"1",
2,"980050",300301,"1",
82250,"980070",300301,"1",
100,"980220",300301,"1",
100,"980260",300301,"1",
100,"980280",300301,"1",
100,"980310",300301,"1",
100,"980330",300301,"1",
8863,"800940",300302,"1","T"
3000,"900000",300302,"1",
80000,"900010",300302,"1",
750,"950000",300302,"1",
83000,"980000",300302,"1",
4,"980010",300302,"1",
40,"980020",300302,"1",
2,"980030",300302,"1",
3,"980040",300302,"1",
2,"980050",300302,"1",
82250,"980070",300302,"1",
100,"980220",300302,"1",
100,"980260",300302,"1",
100,"980280",300302,"1",
100,"980310",300302,"1",
100,"980330",300302,"1",
2,"980010",300311,"1",
40,"980020",300311,"1",
1,"980050",300311,"1",
100,"980210",300311,"1",
100,"980260",300311,"1",
100,"980280",300311,"1",
100,"980310",300311,"1",
2,"980010",300312,"1",
40,"980020",300312,"1",
1,"980050",300312,"1",
100,"980210",300312,"1",
100,"980260",300312,"1",
100,"980280",300312,"1",
100,"980310",300312,"1",
5814,"800940",300321,"1",
76000,"900000",300321,"1",
76000,"980000",300321,"1",
2,"980010",300321,"1",
34,"980020",300321,"1",
2,"980030",300321,"1",
2,"980040",300321,"1",
76000,"980070",300321,"1",
