"AMOUNT","UCC","NEWID","PUB_FLAG","AMOUNT_"
3,"980010",320041,"1",
45,"980020",320041,"1",
2,"980030",320041,"1",
2,"980040",320041,"1",
1,"980050",320041,"1",
100,"980090",320041,"1",
100,"980210",320041,"1",
100,"980230",320041,"1",
100,"980280",320041,"1",
100,"980300",320041,"1",
100,"980330",320041,"1",
3,"980010",320042,"1",
45,"980020",320042,"1",
2,"980030",320042,"1",
2,"980040",320042,"1",
1,"980050",320042,"1",
100,"980090",320042,"1",
100,"980210",320042,"1",
100,"980230",320042,"1",
100,"980280",320042,"1",
100,"980300",320042,"1",
100,"980330",320042,"1",
11370,"900030",320051,"1",
11370,"980000",320051,"1",
1,"980010",320051,"1",
82,"980020",320051,"1",
1,"980040",320051,"1",
1,"980060",320051,"1",
11370,"980070",320051,"1",
100,"980220",320051,"1",
100,"980260",320051,"1",
100,"980280",320051,"1",
100,"980310",320051,"1",
100,"980330",320051,"1",
11370,"900030",320052,"1",
11370,"980000",320052,"1",
1,"980010",320052,"1",
82,"980020",320052,"1",
1,"980040",320052,"1",
1,"980060",320052,"1",
11370,"980070",320052,"1",
100,"980220",320052,"1",
100,"980260",320052,"1",
100,"980280",320052,"1",
100,"980310",320052,"1",
100,"980330",320052,"1",
2000,"800932",320061,"1",
3672,"800940",320061,"1",
48000,"900000",320061,"1",
8280,"950000",320061,"1",
730,"950000",320061,"1",
48000,"980000",320061,"1",
1,"980010",320061,"1",
38,"980020",320061,"1",
1,"980030",320061,"1",
1,"980040",320061,"1",
38990,"980070",320061,"1",
100,"980090",320061,"1",
100,"980210",320061,"1",
100,"980230",320061,"1",
100,"980270",320061,"1",
100,"980310",320061,"1",
100,"980330",320061,"1",
2000,"800932",320062,"1",
3672,"800940",320062,"1",
48000,"900000",320062,"1",
8280,"950000",320062,"1",
730,"950000",320062,"1",
48000,"980000",320062,"1",
1,"980010",320062,"1",
38,"980020",320062,"1",
1,"980030",320062,"1",
1,"980040",320062,"1",
38990,"980070",320062,"1",
100,"980090",320062,"1",
100,"980210",320062,"1",
100,"980230",320062,"1",
100,"980270",320062,"1",
100,"980310",320062,"1",
100,"980330",320062,"1",
1,"980010",320071,"1",
44,"980020",320071,"1",
1,"980030",320071,"1",
1,"980040",320071,"1",
100,"980210",320071,"1",
100,"980260",320071,"1",
100,"980270",320071,"1",
100,"980300",320071,"1",
100,"980330",320071,"1",
1,"980010",320072,"1",
58,"980020",320072,"1",
1,"980030",320072,"1",
1,"980040",320072,"1",
100,"980210",320072,"1",
100,"980260",320072,"1",
100,"980270",320072,"1",
100,"980310",320072,"1",
100,"980330",320072,"1",
10307,"800940",320081,"1",
140276,"900000",320081,"1",
500,"900010",320081,"1",
700,"900080",320081,"1",
100,"910010",320081,"1",
80,"910030",320081,"1",
-1000,"950001",320081,"1",
3200,"950021",320081,"1",
330,"950022",320081,"1",
141476,"980000",320081,"1",
4,"980010",320081,"1",
46,"980020",320081,"1",
2,"980030",320081,"1",
2,"980040",320081,"1",
2,"980050",320081,"1",
138946,"980070",320081,"1",
100,"980090",320081,"1",
100,"980210",320081,"1",
100,"980230",320081,"1",
100,"980280",320081,"1",
100,"980310",320081,"1",
100,"980330",320081,"1",
10307,"800940",320082,"1",
140276,"900000",320082,"1",
500,"900010",320082,"1",
700,"900080",320082,"1",
100,"910010",320082,"1",
80,"910030",320082,"1",
-1000,"950001",320082,"1",
3200,"950021",320082,"1",
330,"950022",320082,"1",
141476,"980000",320082,"1",
4,"980010",320082,"1",
46,"980020",320082,"1",
2,"980030",320082,"1",
2,"980040",320082,"1",
2,"980050",320082,"1",
138946,"980070",320082,"1",
100,"980090",320082,"1",
100,"980210",320082,"1",
100,"980230",320082,"1",
100,"980280",320082,"1",
100,"980310",320082,"1",
100,"980330",320082,"1",
