"BSNSX","FARMX","IRAX","JSSDEDX","WAGEX","ANFEDTXX","ANGVX","ANPVTX","ANRRX","ANSTATXX","BSNSX_","FARMX_","IRAX_","JSSDEDX_","WAGEX_","ANFE_TXX","ANGVX_","ANPVTX_","ANRRX_","ANST_TXX","FEDTXX","GVX","PVTX","RRX","STATXX","FEDTXX_","GVX_","PVTX_","RRX_","STATXX_","HRSPERWK","WKS_WRKD","HRSP_RWK","WKS__RKD","EMPLTYPE","MARITAL","ORIGIN","WHYNOWRK","OCCULIST","EMPL_YPE","MARITAL_","ORIGIN_","WHYN_WRK","OCCU_IST","RACE","SEX","RACE_","SEX_","AGE","MEMBNO","CU_CODE1","EDUCA","IN_COLL","ARM_FORC","SCHLNCHX","SCHLNCHQ","ANYSSINC","ANYRAIL","SS_RRX","MEDICARE","SS_RRQ","US_SUPP","STA_SUPP","SUPPX","GROSPAYX","PAYPERD","SLFEMPSS","SOCRRX","AGE_","CU_C_DE1","EDUCA_","IN_COLL_","ARM__ORC","ANYS_INC","ANYRAIL_","MEDI_ARE","US_SUPP_","STA__UPP","PAYPERD_","SCHL_CHX","SCHL_CHQ","SS_RRX_","SS_RRQ_","SUPPX_","GROS_AYX","SLFE_PSS","SOCRRX_","NEWID"
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"2","1","1",,"A","D","D","D","A","1","2","D","D",75,1,"1","40","3",,.,.,"1","2",662,"1",12,"2","2",.,.,,.,8490,"D","D","D","D","A","D","D","D","D","D","A","A","A","D","D","A","A","A","D",260671
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"2","1","1",,"A","D","D","D","A","1","1","D","D",78,2,"9","40","3",,.,.,"1","2",851,"1",12,"2","2",.,.,,.,10758,"D","D","D","D","A","D","D","D","D","D","A","A","A","D","D","A","A","A","D",260671
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"2","1","1",,"A","D","D","D","A","1","2","D","D",75,1,"1","40","3",,.,.,"1","2",662,"1",12,"2","2",.,.,,.,8490,"D","D","D","D","A","D","D","D","D","D","A","A","A","D","D","A","A","A","D",260672
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"2","1","1",,"A","D","D","D","A","1","1","D","D",78,2,"9","40","3",,.,.,"1","2",851,"1",12,"2","2",.,.,,.,10758,"D","D","D","D","A","D","D","D","D","D","A","A","A","D","D","A","A","A","D",260672
.,.,3900,4973,65000,8304,.,6407,.,4074,"A","A","D","D","D","D","A","D","A","D",267,.,206,.,131,"D","A","D","A","D",46,52,"D","D","4","3","3",,"08","D","D","D","A","D","2","1","D","D",46,1,"1","40","3","2",.,.,"2","2",.,,.,"2","2",.,2090,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260681
.,.,3900,4973,65000,8304,.,6407,.,4074,"A","A","D","D","D","D","A","D","A","D",267,.,206,.,131,"D","A","D","A","D",46,52,"D","D","4","3","3",,"08","D","D","D","A","D","2","1","D","D",46,1,"1","40","3","2",.,.,"2","2",.,,.,"2","2",.,2090,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260682
.,.,.,5355,70000,35651,.,10500,.,.,"A","A","A","D","D","T","A","D","A","A",634,.,300,.,.,"D","A","D","A","A",65,52,"D","D","2","1","4",,"01","D","D","D","A","D","1","1","D","D",48,1,"1","39","3","2",.,.,"2","2",.,,.,"2","2",.,2000,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260691
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"1","1","2",,"A","D","D","D","A","1","2","D","D",39,2,"2","40","3","2",.,.,"2","2",.,,.,"2","2",.,.,,.,0,"D","D","D","D","D","D","D","A","D","D","A","A","A","A","A","A","A","A","D",260691
.,.,.,383,5000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","A",.,.,.,.,.,"C","A","A","A","A",20,52,"D","D","1","5","4",,"10","D","D","D","A","D","1","1","D","D",17,3,"3","39","3","2",.,.,"2","2",.,,.,"2","2",.,200,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260691
.,.,.,5355,70000,35651,.,10500,.,.,"A","A","A","D","D","T","A","D","A","A",634,.,300,.,.,"D","A","D","A","A",65,52,"D","D","2","1","4",,"01","D","D","D","A","D","1","1","D","D",48,1,"1","39","3","2",.,.,"2","2",.,,.,"2","2",.,2000,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260692
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"1","1","2",,"A","D","D","D","A","1","2","D","D",39,2,"2","40","3","2",.,.,"2","2",.,,.,"2","2",.,.,,.,0,"D","D","D","D","D","D","D","A","D","D","A","A","A","A","A","A","A","A","D",260692
.,.,.,383,5000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","A",.,.,.,.,.,"C","A","A","A","A",20,52,"D","D","1","5","4",,"10","D","D","D","A","D","1","1","D","D",17,3,"3","39","3","2",.,.,"2","2",.,,.,"2","2",.,200,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260692
.,.,.,2066,27000,855,.,.,.,518,"A","A","A","D","D","D","A","A","A","D",38,.,.,.,23,"D","A","A","A","D",60,52,"D","D","1","1","1",,"04","D","D","D","A","D","1","2","D","D",41,1,"1","39","3","2",.,.,"2","2",.,,.,"2","2",.,1200,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260701
.,.,.,3213,42000,5215,.,.,.,2267,"A","A","A","D","D","D","A","A","A","D",92,.,.,.,40,"D","A","A","A","D",70,52,"D","D","1","1","1",,"12","D","D","D","A","D","1","1","D","D",38,2,"2","39","3","2",.,.,"2","2",.,,.,"2","2",.,741,"1",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260701
.,.,.,2066,27000,855,.,.,.,518,"A","A","A","D","D","D","A","A","A","D",38,.,.,.,23,"D","A","A","A","D",60,52,"D","D","1","1","1",,"04","D","D","D","A","D","1","2","D","D",41,1,"1","39","3","2",.,.,"2","2",.,,.,"2","2",.,1200,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260702
.,.,.,3213,42000,5215,.,.,.,2267,"A","A","A","D","D","D","A","A","A","D",92,.,.,.,40,"D","A","A","A","D",70,52,"D","D","1","1","1",,"12","D","D","D","A","D","1","1","D","D",38,2,"2","39","3","2",.,.,"2","2",.,,.,"2","2",.,741,"1",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260702
.,.,.,1836,24000,.,.,.,.,.,"A","A","A","D","D","B","B","B","B","B",.,.,.,.,.,"C","C","C","C","C",40,24,"D","D","1","1","4",,"03","D","D","D","A","D","4","2","D","D",30,1,"1","43","1","2",.,.,"2","2",.,,.,"2","2",.,2000,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260711
.,.,.,1836,24000,.,.,.,.,.,"A","A","A","D","D","B","B","B","B","B",.,.,.,.,.,"C","C","C","C","C",40,24,"D","D","1","1","4",,"03","D","D","D","A","D","4","2","D","D",30,1,"1","43","1","2",.,.,"2","2",.,,.,"2","2",.,2000,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260712
.,.,.,3060,40000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",60,52,"D","D","1","4","1",,"01","D","D","D","A","D","1","1","D","D",40,1,"1","39","3","2",.,.,"2","2",.,,.,"2","2",.,1800,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260721
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","C","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",60,40,"D","D","1","3","1",,"03","D","D","D","A","D","1","1","D","D",36,2,"9","39","3","2",.,.,"2","2",.,,.,"2","2",.,1600,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260721
.,.,.,3060,40000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",60,52,"D","D","1","4","1",,"01","D","D","D","A","D","1","1","D","D",40,1,"1","39","3","2",.,.,"2","2",.,,.,"2","2",.,1800,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260722
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","C","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",60,40,"D","D","1","3","1",,"03","D","D","D","A","D","1","1","D","D",36,2,"9","39","3","2",.,.,"2","2",.,,.,"2","2",.,1600,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260722
.,.,.,1530,20000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",40,32,"D","D","1","5","1",,"15","D","D","D","A","D","1","1","D","D",37,1,"1","39","3","2",.,.,"2","2",.,,.,"2","2",.,500,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260731
.,.,.,1530,20000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",40,32,"D","D","1","5","1",,"15","D","D","D","A","D","1","1","D","D",37,1,"1","39","3","2",.,.,"2","2",.,,.,"2","2",.,500,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",260732
