"BSNSX","FARMX","IRAX","JSSDEDX","WAGEX","ANFEDTXX","ANGVX","ANPVTX","ANRRX","ANSTATXX","BSNSX_","FARMX_","IRAX_","JSSDEDX_","WAGEX_","ANFE_TXX","ANGVX_","ANPVTX_","ANRRX_","ANST_TXX","FEDTXX","GVX","PVTX","RRX","STATXX","FEDTXX_","GVX_","PVTX_","RRX_","STATXX_","HRSPERWK","WKS_WRKD","HRSP_RWK","WKS__RKD","EMPLTYPE","MARITAL","ORIGIN","WHYNOWRK","OCCULIST","EMPL_YPE","MARITAL_","ORIGIN_","WHYN_WRK","OCCU_IST","RACE","SEX","RACE_","SEX_","AGE","MEMBNO","CU_CODE1","EDUCA","IN_COLL","ARM_FORC","SCHLNCHX","SCHLNCHQ","ANYSSINC","ANYRAIL","SS_RRX","MEDICARE","SS_RRQ","US_SUPP","STA_SUPP","SUPPX","GROSPAYX","PAYPERD","SLFEMPSS","SOCRRX","AGE_","CU_C_DE1","EDUCA_","IN_COLL_","ARM__ORC","ANYS_INC","ANYRAIL_","MEDI_ARE","US_SUPP_","STA__UPP","PAYPERD_","SCHL_CHX","SCHL_CHQ","SS_RRX_","SS_RRQ_","SUPPX_","GROS_AYX","SLFE_PSS","SOCRRX_","NEWID"
.,.,.,92,1200,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"B","A","A","A","B",40,36,"D","D","1","5","4",,"10","D","D","D","A","D","1","2","D","D",22,1,"1","40","1","2",.,.,"2","2",.,,.,"2","2",.,450,"3",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",300161
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","C","A","A","A","A","B",.,.,.,.,.,"A","A","A","A","C",10,6,"D","D","1","5","4",,"04","D","D","D","A","D","1","2","D","D",21,2,"9","40","1","2",.,.,"2","2",.,,.,"2","2",.,100,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",300161
.,.,.,92,1200,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","B",.,.,.,.,.,"B","A","A","A","B",40,36,"D","D","1","5","4",,"10","D","D","D","A","D","1","2","D","D",22,1,"1","40","1","2",.,.,"2","2",.,,.,"2","2",.,450,"3",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",300162
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","C","A","A","A","A","B",.,.,.,.,.,"A","A","A","A","C",10,6,"D","D","1","5","4",,"04","D","D","D","A","D","1","2","D","D",21,2,"9","40","1","2",.,.,"2","2",.,,.,"2","2",.,100,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",300162
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"1","4","2",,"A","D","D","D","A","1","2","D","D",33,1,"1","43","3","2",.,.,"2","2",.,,.,"2","2",.,.,,.,0,"D","D","D","D","D","D","D","A","D","D","A","A","A","A","A","A","A","A","D",300172
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","C","B","A","B","A","B",.,.,.,.,.,"C","A","C","A","C",50,52,"D","D","1","1","1",,"03","D","D","D","A","D","1","1","D","D",32,2,"9","43","3","2",.,.,"2","2",.,,.,"2","2",.,.,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","C","D","D",300172
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","1","D","D",4,3,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",300172
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","1","D","D",5,4,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",300172
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","2","D","D",2,5,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",300172
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"1","1","2",,"A","D","D","D","A","1","2","D","D",40,1,"1","43","3","2",.,.,"2","2",.,,.,"2","2",.,.,,.,0,"D","D","D","D","D","D","D","A","D","D","A","A","A","A","A","A","A","A","D",300181
.,.,.,5884,80000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","A",.,.,.,.,.,"C","A","A","A","A",60,52,"D","D","1","1","1",,"01","D","D","D","A","D","1","1","D","D",40,2,"2","42","3","2",.,.,"2","2",.,,.,"2","2",.,60043,"3",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","T","D","D",300181
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","2","D","D",2,3,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",300181
.,.,.,2448,32000,.,.,.,.,.,"A","A","A","D","D","B","A","B","A","A",.,.,.,.,.,"C","A","C","A","A",40,52,"D","D","4","5","3",,"08","D","D","D","A","D","2","1","D","D",40,4,"9","39","3","2",.,.,"2","2",.,,.,"2","2",.,1200,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",300181
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"1","1","2",,"A","D","D","D","A","1","2","D","D",40,1,"1","43","3","2",.,.,"2","2",.,,.,"2","2",.,.,,.,0,"D","D","D","D","D","D","D","A","D","D","A","A","A","A","A","A","A","A","D",300182
.,.,.,5884,80000,.,.,.,.,.,"A","A","A","D","D","B","A","A","A","A",.,.,.,.,.,"C","A","A","A","A",60,52,"D","D","1","1","1",,"01","D","D","D","A","D","1","1","D","D",40,2,"2","42","3","2",.,.,"2","2",.,,.,"2","2",.,60043,"3",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","T","D","D",300182
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","2","D","D",2,3,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",300182
.,.,.,2448,32000,.,.,.,.,.,"A","A","A","D","D","B","A","B","A","A",.,.,.,.,.,"C","A","C","A","A",40,52,"D","D","4","5","3",,"08","D","D","D","A","D","2","1","D","D",40,4,"9","39","3","2",.,.,"2","2",.,,.,"2","2",.,1200,"2",0,0,"D","D","D","D","D","D","D","A","D","D","D","A","A","A","A","A","D","D","D",300182
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","B","B","B","B","B","B",.,.,.,.,.,"B","B","B","B","B",45,52,"D","D","1","1","4",,"10","D","D","D","A","D","1","1","D","D",25,1,"1","11",,"2",.,.,"2","2",.,,.,"2","2",.,.,,0,0,"D","D","D","A","D","D","D","A","D","D","B","A","A","A","A","A","B","D","D",300191
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","B","B","B","B","B","B",.,.,.,.,.,"B","B","B","B","B",40,52,"D","D","1","1","4",,"15","D","D","D","A","D","1","2","D","D",29,2,"2","39","3","2",.,.,"2","2",.,,.,"2","2",.,.,,0,0,"D","D","D","D","D","D","D","A","D","D","B","A","A","A","A","A","B","D","D",300191
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","1","D","D",6,3,"3",,,,8,1,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","D","D","A","A","A","A","A","D",300191
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","2","D","D",5,4,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",300191
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","2","D","D",4,5,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",300191
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","1","D","D",2,6,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",300191
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"5","4","3",,"A","D","D","D","A","1","1","D","D",19,7,"6","40","3","2",.,.,"2","2",.,,.,"2","2",.,.,,.,0,"D","D","D","D","D","D","D","A","D","D","A","A","A","A","A","A","A","A","D",300191
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","B","B","B","B","B","B",.,.,.,.,.,"B","B","B","B","B",45,52,"D","D","1","1","4",,"10","D","D","D","A","D","1","1","D","D",25,1,"1","39","3","2",.,.,"2","2",.,,.,"2","2",.,.,,0,0,"D","D","D","D","D","D","D","A","D","D","B","A","A","A","A","A","B","D","D",300192
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","B","B","B","B","B","B",.,.,.,.,.,"B","B","B","B","B",40,52,"D","D","1","1","4",,"15","D","D","D","A","D","1","2","D","D",29,2,"2","39","3","2",.,.,"2","2",.,,.,"2","2",.,.,,0,0,"D","D","D","D","D","D","D","A","D","D","B","A","A","A","A","A","B","D","D",300192
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","1","D","D",6,3,"3",,,,8,1,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","D","D","A","A","A","A","A","D",300192
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","2","D","D",5,4,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",300192
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","2","D","D",4,5,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",300192
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","4",,,"A","D","D","A","A","1","1","D","D",2,6,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",300192
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,0,"A","D",,"5","4","3",,"A","D","D","D","A","1","1","D","D",19,7,"6","39","3","2",.,.,"2","2",.,,.,"2","2",.,.,,.,0,"D","D","D","D","D","D","D","A","D","D","A","A","A","A","A","A","A","A","D",300192
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","C","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",65,50,"D","D","1","4","1",,"10","D","D","D","A","D","1","1","D","D",32,1,"1","42","3","2",.,.,"2","2",.,,.,"2","2",.,.,,0,0,"D","D","D","D","D","D","D","A","D","D","A","A","A","A","A","A","C","D","D",300201
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","2","D","D",7,2,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",300201
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","2","D","D",7,3,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",300201
.,.,.,.,.,.,.,.,.,.,"A","A","A","A","A","A","A","A","A","A",.,.,.,.,.,"A","A","A","A","A",.,.,"A","A",,"5","1",,,"A","D","D","A","A","1","1","D","D",8,4,"3",,,,.,.,,,.,,.,,,.,.,,.,0,"D","D","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","D",300201
.,.,.,0,.,.,.,.,.,.,"A","A","A","D","C","B","A","A","A","B",.,.,.,.,.,"C","A","A","A","C",65,50,"D","D","1","4","1",,"10","D","D","D","A","D","1","1","D","D",32,1,"1","42","3","2",.,.,"2","2",.,,.,"2","2",.,.,,0,0,"D","D","D","D","D","D","D","A","D","D","A","A","A","A","A","A","C","D","D",300202
