"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
918931,"800940","1",5585,"","1"
918931,"800940","1",5585,"","2"
918931,"800940","1",5585,"","3"
918931,"800940","1",5585,"","4"
918931,"800940","1",5585,"","5"
918931,"900000","1",73000,"","1"
918931,"900000","1",73000,"","2"
918931,"900000","1",73000,"","3"
918931,"900000","1",73000,"","4"
918931,"900000","1",73000,"","5"
918931,"900080","1",50,"","1"
918931,"900080","1",50,"","2"
918931,"900080","1",50,"","3"
918931,"900080","1",50,"","4"
918931,"900080","1",50,"","5"
918931,"950002","1",8478,"","1"
918931,"950002","1",8478,"","2"
918931,"950002","1",8478,"","3"
918931,"950002","1",8478,"","4"
918931,"950002","1",8478,"","5"
918931,"950012","1",5652,"","1"
918931,"950012","1",5652,"","2"
918931,"950012","1",5652,"","3"
918931,"950012","1",5652,"","4"
918931,"950012","1",5652,"","5"
918931,"980000","1",73050,"","1"
918931,"980000","1",73050,"","2"
918931,"980000","1",73050,"","3"
918931,"980000","1",73050,"","4"
918931,"980000","1",73050,"","5"
918931,"980070","1",61020,"","1"
918931,"980070","1",61020,"","2"
918931,"980070","1",61020,"","3"
918931,"980070","1",61020,"","4"
918931,"980070","1",61020,"","5"
918932,"800940","1",5585,"","1"
918932,"800940","1",5585,"","2"
918932,"800940","1",5585,"","3"
918932,"800940","1",5585,"","4"
918932,"800940","1",5585,"","5"
918932,"900000","1",73000,"","1"
918932,"900000","1",73000,"","2"
918932,"900000","1",73000,"","3"
918932,"900000","1",73000,"","4"
918932,"900000","1",73000,"","5"
918932,"900080","1",50,"","1"
918932,"900080","1",50,"","2"
918932,"900080","1",50,"","3"
918932,"900080","1",50,"","4"
918932,"900080","1",50,"","5"
918932,"950002","1",8478,"","1"
918932,"950002","1",8478,"","2"
918932,"950002","1",8478,"","3"
918932,"950002","1",8478,"","4"
918932,"950002","1",8478,"","5"
918932,"950012","1",5652,"","1"
918932,"950012","1",5652,"","2"
918932,"950012","1",5652,"","3"
918932,"950012","1",5652,"","4"
918932,"950012","1",5652,"","5"
918932,"980000","1",73050,"","1"
918932,"980000","1",73050,"","2"
918932,"980000","1",73050,"","3"
918932,"980000","1",73050,"","4"
918932,"980000","1",73050,"","5"
918932,"980070","1",61020,"","1"
918932,"980070","1",61020,"","2"
918932,"980070","1",61020,"","3"
918932,"980070","1",61020,"","4"
918932,"980070","1",61020,"","5"
912761,"800940","1",8048,"","1"
912761,"800940","1",8048,"","2"
912761,"800940","1",8048,"","3"
912761,"800940","1",8048,"","4"
912761,"800940","1",8048,"","5"
912761,"900000","1",105200,"","1"
912761,"900000","1",105200,"","2"
912761,"900000","1",105200,"","3"
912761,"900000","1",105200,"","4"
912761,"900000","1",105200,"","5"
912761,"900080","1",150,"","1"
912761,"900080","1",150,"","2"
912761,"900080","1",150,"","3"
912761,"900080","1",150,"","4"
912761,"900080","1",150,"","5"
912761,"950002","1",15481,"","1"
912761,"950002","1",15481,"","2"
912761,"950002","1",15481,"","3"
912761,"950002","1",15481,"","4"
912761,"950002","1",15481,"","5"
912761,"950012","1",4940,"","1"
912761,"950012","1",4940,"","2"
912761,"950012","1",4940,"","3"
912761,"950012","1",4940,"","4"
912761,"950012","1",4940,"","5"
912761,"980000","1",105350,"","1"
912761,"980000","1",105350,"","2"
912761,"980000","1",105350,"","3"
912761,"980000","1",105350,"","4"
912761,"980000","1",105350,"","5"
912761,"980070","1",88319,"","1"
912761,"980070","1",88319,"","2"
912761,"980070","1",88319,"","3"
912761,"980070","1",88319,"","4"
912761,"980070","1",88319,"","5"
912762,"800940","1",8048,"","1"
912762,"800940","1",8048,"","2"
912762,"800940","1",8048,"","3"
912762,"800940","1",8048,"","4"
912762,"800940","1",8048,"","5"
912762,"900000","1",105200,"","1"
912762,"900000","1",105200,"","2"
912762,"900000","1",105200,"","3"
912762,"900000","1",105200,"","4"
912762,"900000","1",105200,"","5"
912762,"900080","1",150,"","1"
912762,"900080","1",150,"","2"
912762,"900080","1",150,"","3"
912762,"900080","1",150,"","4"
912762,"900080","1",150,"","5"
912762,"950002","1",15481,"","1"
912762,"950002","1",15481,"","2"
912762,"950002","1",15481,"","3"
912762,"950002","1",15481,"","4"
912762,"950002","1",15481,"","5"
912762,"950012","1",4940,"","1"
912762,"950012","1",4940,"","2"
912762,"950012","1",4940,"","3"
912762,"950012","1",4940,"","4"
912762,"950012","1",4940,"","5"
912762,"980000","1",105350,"","1"
912762,"980000","1",105350,"","2"
912762,"980000","1",105350,"","3"
912762,"980000","1",105350,"","4"
912762,"980000","1",105350,"","5"
912762,"980070","1",88319,"","1"
912762,"980070","1",88319,"","2"
912762,"980070","1",88319,"","3"
912762,"980070","1",88319,"","4"
912762,"980070","1",88319,"","5"
914502,"800940","1",3502,"","1"
914502,"800940","1",3855,"","2"
914502,"800940","1",3640,"","3"
914502,"800940","1",4066,"","4"
914502,"800940","1",3832,"","5"
914502,"900000","1",45788,"","1"
914502,"900000","1",50397,"","2"
914502,"900000","1",47578,"","3"
914502,"900000","1",53141,"","4"
914502,"900000","1",50101,"","5"
914502,"980000","1",45788,"","1"
914502,"980000","1",50397,"","2"
914502,"980000","1",47578,"","3"
914502,"980000","1",53141,"","4"
914502,"980000","1",50101,"","5"
914502,"980070","1",45788,"","1"
914502,"980070","1",50397,"","2"
914502,"980070","1",47578,"","3"
914502,"980070","1",53141,"","4"
914502,"980070","1",50101,"","5"
913641,"800940","1",219,"","1"
913641,"800940","1",250,"","2"
913641,"800940","1",1789,"","3"
913641,"800940","1",1605,"","4"
913641,"800940","1",2955,"","5"
913641,"900000","1",2866,"","1"
913641,"900000","1",3273,"","2"
913641,"900000","1",23387,"","3"
913641,"900000","1",20975,"","4"
913641,"900000","1",38628,"","5"
913641,"980000","1",2866,"","1"
913641,"980000","1",3273,"","2"
913641,"980000","1",23387,"","3"
913641,"980000","1",20975,"","4"
913641,"980000","1",38628,"","5"
913641,"980070","1",2866,"","1"
913641,"980070","1",3273,"","2"
913641,"980070","1",23387,"","3"
913641,"980070","1",20975,"","4"
913641,"980070","1",38628,"","5"
921651,"800940","1",6886,"","1"
921651,"800940","1",6886,"","2"
921651,"800940","1",6886,"","3"
921651,"800940","1",6886,"","4"
921651,"800940","1",6886,"","5"
921651,"900000","1",90000,"","1"
921651,"900000","1",90000,"","2"
921651,"900000","1",90000,"","3"
921651,"900000","1",90000,"","4"
921651,"900000","1",90000,"","5"
921651,"980000","1",90000,"","1"
921651,"980000","1",90000,"","2"
921651,"980000","1",90000,"","3"
921651,"980000","1",90000,"","4"
921651,"980000","1",90000,"","5"
921651,"980070","1",90000,"","1"
921651,"980070","1",90000,"","2"
921651,"980070","1",90000,"","3"
921651,"980070","1",90000,"","4"
921651,"980070","1",90000,"","5"
921652,"800940","1",6886,"","1"
921652,"800940","1",6886,"","2"
921652,"800940","1",6886,"","3"
921652,"800940","1",6886,"","4"
921652,"800940","1",6886,"","5"
921652,"900000","1",90000,"","1"
921652,"900000","1",90000,"","2"
921652,"900000","1",90000,"","3"
921652,"900000","1",90000,"","4"
921652,"900000","1",90000,"","5"
921652,"980000","1",90000,"","1"
921652,"980000","1",90000,"","2"
921652,"980000","1",90000,"","3"
921652,"980000","1",90000,"","4"
921652,"980000","1",90000,"","5"
921652,"980070","1",90000,"","1"
921652,"980070","1",90000,"","2"
921652,"980070","1",90000,"","3"
921652,"980070","1",90000,"","4"
921652,"980070","1",90000,"","5"
909551,"800940","1",8917,"","1"
909551,"800940","1",8214,"","2"
909551,"800940","1",8113,"","3"
909551,"800940","1",8983,"","4"
909551,"800940","1",8271,"","5"
909551,"900000","1",280590,"T","1"
909551,"900000","1",280590,"T","2"
909551,"900000","1",280590,"T","3"
909551,"900000","1",280590,"T","4"
909551,"900000","1",280590,"T","5"
909551,"900050","1",432,"","1"
909551,"900050","1",1862,"","2"
909551,"900050","1",223,"","3"
909551,"900050","1",3225,"","4"
909551,"900050","1",262,"","5"
909551,"980000","1",281022,"T","1"
909551,"980000","1",282452,"T","2"
909551,"980000","1",280813,"T","3"
909551,"980000","1",283815,"T","4"
909551,"980000","1",280852,"T","5"
909551,"980070","1",281022,"T","1"
909551,"980070","1",282452,"T","2"
909551,"980070","1",280813,"T","3"
909551,"980070","1",283815,"T","4"
909551,"980070","1",280852,"T","5"
909552,"800940","1",8078,"","1"
909552,"800940","1",8726,"","2"
909552,"800940","1",8809,"","3"
909552,"800940","1",8902,"","4"
909552,"800940","1",9595,"","5"
909552,"900000","1",280590,"T","1"
909552,"900000","1",280590,"T","2"
909552,"900000","1",280590,"T","3"
909552,"900000","1",280590,"T","4"
909552,"900000","1",280590,"T","5"
909552,"900050","1",5300,"","1"
909552,"900050","1",1076,"","2"
909552,"900050","1",598,"","3"
909552,"900050","1",7398,"","4"
909552,"900050","1",12761,"","5"
909552,"980000","1",285890,"T","1"
909552,"980000","1",281666,"T","2"
909552,"980000","1",281188,"T","3"
909552,"980000","1",287988,"T","4"
909552,"980000","1",293351,"T","5"
909552,"980070","1",285890,"T","1"
909552,"980070","1",281666,"T","2"
909552,"980070","1",281188,"T","3"
909552,"980070","1",287988,"T","4"
909552,"980070","1",293351,"T","5"
924571,"800940","1",2678,"","1"
924571,"800940","1",2678,"","2"
924571,"800940","1",2678,"","3"
924571,"800940","1",2678,"","4"
924571,"800940","1",2678,"","5"
924571,"900000","1",35000,"","1"
924571,"900000","1",35000,"","2"
924571,"900000","1",35000,"","3"
924571,"900000","1",35000,"","4"
924571,"900000","1",35000,"","5"
924571,"900040","1",9000,"","1"
924571,"900040","1",9000,"","2"
924571,"900040","1",9000,"","3"
924571,"900040","1",9000,"","4"
924571,"900040","1",9000,"","5"
924571,"950002","1",6364,"","1"
924571,"950002","1",6364,"","2"
924571,"950002","1",6364,"","3"
924571,"950002","1",6364,"","4"
924571,"950002","1",6364,"","5"
924571,"950012","1",2784,"","1"
924571,"950012","1",2784,"","2"
924571,"950012","1",2784,"","3"
924571,"950012","1",2784,"","4"
924571,"950012","1",2784,"","5"
924571,"980000","1",44000,"","1"
924571,"980000","1",44000,"","2"
924571,"980000","1",44000,"","3"
924571,"980000","1",44000,"","4"
924571,"980000","1",44000,"","5"
924571,"980070","1",35332,"","1"
924571,"980070","1",35332,"","2"
