"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
907721,"800940",931,"","1"
907721,"900000",7163,"","1"
907721,"900010",2500,"","1"
907721,"900080",60,"","1"
907721,"910000",3000,"","1"
907721,"950002",695,"","1"
907721,"950021",1600,"","1"
907721,"980000",9723,"","1"
907721,"980010",1,"","1"
907721,"980020",57,"","1"
907721,"980030",1,"","1"
907721,"980040",1,"","1"
907721,"980070",7428,"","1"
907721,"980090",100,"","1"
907721,"980210",100,"","1"
907721,"980230",100,"","1"
907721,"980281",100,"","1"
907721,"980286",100,"","1"
907721,"980310",100,"","1"
907721,"980330",100,"","1"
907722,"800940",882,"","1"
907722,"900000",6538,"","1"
907722,"900010",2500,"","1"
907722,"900080",60,"","1"
907722,"910000",3000,"","1"
907722,"950002",634,"","1"
907722,"950021",1600,"","1"
907722,"980000",9098,"","1"
907722,"980010",1,"","1"
907722,"980020",57,"","1"
907722,"980030",1,"","1"
907722,"980040",1,"","1"
907722,"980070",6863,"","1"
907722,"980090",100,"","1"
907722,"980210",100,"","1"
907722,"980230",100,"","1"
907722,"980281",100,"","1"
907722,"980286",100,"","1"
907722,"980310",100,"","1"
907722,"980330",100,"","1"
907731,"800940",3351,"","1"
907731,"900000",43810,"","1"
907731,"980000",43810,"","1"
907731,"980010",1,"","1"
907731,"980020",55,"","1"
907731,"980030",1,"","1"
907731,"980040",1,"","1"
907731,"980070",43810,"","1"
907731,"980220",100,"","1"
907731,"980260",100,"","1"
907731,"980281",100,"","1"
907731,"980286",100,"","1"
907731,"980310",100,"","1"
907731,"980330",100,"","1"
907732,"800940",3436,"","1"
907732,"900000",44912,"","1"
907732,"980000",44912,"","1"
907732,"980010",1,"","1"
907732,"980020",55,"","1"
907732,"980030",1,"","1"
907732,"980040",1,"","1"
907732,"980070",44912,"","1"
907732,"980220",100,"","1"
907732,"980260",100,"","1"
907732,"980281",100,"","1"
907732,"980286",100,"","1"
907732,"980310",100,"","1"
907732,"980330",100,"","1"
907741,"800940",964,"","1"
907741,"900000",12600,"","1"
907741,"950002",900,"","1"
907741,"950012",90,"","1"
907741,"950022",200,"","1"
907741,"980000",12600,"","1"
907741,"980010",1,"","1"
907741,"980020",57,"","1"
907741,"980030",1,"","1"
907741,"980040",1,"","1"
907741,"980070",11410,"","1"
907741,"980220",100,"","1"
907741,"980260",100,"","1"
907741,"980270",100,"","1"
907741,"980286",100,"","1"
907741,"980300",100,"","1"
907741,"980330",100,"","1"
907742,"800940",964,"","1"
907742,"900000",12600,"","1"
907742,"950002",900,"","1"
907742,"950012",90,"","1"
907742,"950022",200,"","1"
907742,"980000",12600,"","1"
907742,"980010",1,"","1"
907742,"980020",57,"","1"
907742,"980030",1,"","1"
907742,"980040",1,"","1"
907742,"980070",11410,"","1"
907742,"980220",100,"","1"
907742,"980260",100,"","1"
907742,"980270",100,"","1"
907742,"980286",100,"","1"
907742,"980300",100,"","1"
907742,"980330",100,"","1"
907751,"800940",5203,"","1"
907751,"900000",68000,"","1"
907751,"950001",-13149,"T","1"
907751,"950002",8531,"","1"
907751,"980000",68000,"","1"
907751,"980010",3,"","1"
907751,"980020",27,"","1"
907751,"980030",2,"","1"
907751,"980040",1,"","1"
907751,"980050",1,"","1"
907751,"980070",72618,"T","1"
907751,"980210",100,"","1"
907751,"980260",100,"","1"
907751,"980283",100,"","1"
907751,"980286",100,"","1"
907751,"980310",100,"","1"
907751,"980330",100,"","1"
907752,"800940",5203,"","1"
907752,"900000",68000,"","1"
907752,"950001",-13149,"T","1"
907752,"950002",8531,"","1"
907752,"980000",68000,"","1"
907752,"980010",3,"","1"
907752,"980020",27,"","1"
907752,"980030",2,"","1"
907752,"980040",1,"","1"
907752,"980050",1,"","1"
907752,"980070",72618,"T","1"
907752,"980210",100,"","1"
907752,"980260",100,"","1"
907752,"980283",100,"","1"
907752,"980286",100,"","1"
907752,"980310",100,"","1"
907752,"980330",100,"","1"
907761,"800931",282,"","1"
907761,"800940",689,"","1"
907761,"900000",9000,"","1"
907761,"900050",400,"","1"
907761,"950002",2815,"","1"
907761,"950012",469,"","1"
907761,"980000",9400,"","1"
907761,"980010",1,"","1"
907761,"980020",23,"","1"
907761,"980030",1,"","1"
907761,"980040",1,"","1"
907761,"980070",6116,"","1"
907761,"980090",100,"","1"
907761,"980220",100,"","1"
907761,"980250",100,"","1"
907761,"980281",100,"","1"
907761,"980286",100,"","1"
907761,"980310",100,"","1"
907761,"980330",100,"","1"
907762,"800931",282,"","1"
907762,"800940",689,"","1"
907762,"900000",9000,"","1"
907762,"900050",400,"","1"
907762,"950002",2815,"","1"
907762,"950012",469,"","1"
907762,"980000",9400,"","1"
907762,"980010",1,"","1"
907762,"980020",23,"","1"
907762,"980030",1,"","1"
907762,"980040",1,"","1"
907762,"980070",6116,"","1"
907762,"980090",100,"","1"
907762,"980220",100,"","1"
907762,"980250",100,"","1"
907762,"980281",100,"","1"
907762,"980286",100,"","1"
907762,"980310",100,"","1"
907762,"980330",100,"","1"
907771,"800940",9057,"","1"
907771,"900000",118394,"","1"
907771,"980000",118394,"","1"
907771,"980010",4,"","1"
907771,"980020",42,"","1"
907771,"980030",2,"","1"
907771,"980040",2,"","1"
907771,"980050",2,"","1"
907771,"980070",118394,"","1"
907771,"980090",100,"","1"
907771,"980220",100,"","1"
907771,"980230",100,"","1"
907771,"980281",100,"","1"
907771,"980286",100,"","1"
907771,"980310",100,"","1"
907771,"980330",100,"","1"
907772,"800940",9342,"","1"
907772,"900000",122120,"","1"
907772,"980000",122120,"","1"
907772,"980010",4,"","1"
907772,"980020",42,"","1"
907772,"980030",2,"","1"
907772,"980040",2,"","1"
907772,"980050",2,"","1"
907772,"980070",122120,"","1"
907772,"980090",100,"","1"
907772,"980220",100,"","1"
