"HH_CU_Q","hhid","hhid_","newid"
1,.,"A",480981
1,.,"A",480982
1,.,"A",480991
1,.,"A",480992
1,.,"A",481001
1,.,"A",481002
1,.,"A",481011
1,.,"A",481012
1,.,"A",481021
1,.,"A",481022
1,.,"A",481031
1,.,"A",481032
1,.,"A",481041
1,.,"A",481042
1,.,"A",481051
1,.,"A",481052
1,.,"A",481061
1,.,"A",481062
1,.,"A",481071
1,.,"A",481072
1,.,"A",481081
1,.,"A",481082
1,.,"A",481091
1,.,"A",481092
1,.,"A",481101
1,.,"A",481102
1,.,"A",481111
1,.,"A",481112
1,.,"A",481121
1,.,"A",481122
1,.,"A",481131
1,.,"A",481132
2,26,"D",481141
2,61,"D",481142
1,.,"A",481151
1,.,"A",481152
1,.,"A",481161
1,.,"A",481162
1,.,"A",481171
1,.,"A",481172
1,.,"A",481181
1,.,"A",481182
1,.,"A",481191
1,.,"A",481192
1,.,"A",481202
1,.,"A",481211
1,.,"A",481212
1,.,"A",481221
1,.,"A",481222
1,.,"A",481231
1,.,"A",481232
1,.,"A",481241
1,.,"A",481242
1,.,"A",481251
1,.,"A",481252
1,.,"A",481261
1,.,"A",481262
1,.,"A",481271
1,.,"A",481272
1,.,"A",481281
1,.,"A",481282
1,.,"A",481291
1,.,"A",481292
1,.,"A",481301
1,.,"A",481302
1,.,"A",481311
1,.,"A",481312
1,.,"A",481321
1,.,"A",481322
1,.,"A",481331
1,.,"A",481332
1,.,"A",481341
1,.,"A",481342
1,.,"A",481351
1,.,"A",481352
1,.,"A",481361
1,.,"A",481362
1,.,"A",481371
1,.,"A",481372
1,.,"A",481381
1,.,"A",481382
1,.,"A",481392
1,.,"A",481401
1,.,"A",481402
1,.,"A",481411
1,.,"A",481412
1,.,"A",481421
1,.,"A",481431
1,.,"A",481432
1,.,"A",481441
1,.,"A",481442
1,.,"A",481451
1,.,"A",481452
1,.,"A",481461
1,.,"A",481462
1,.,"A",481471
1,.,"A",481472
1,.,"A",481481
1,.,"A",481482
1,.,"A",481491
1,.,"A",481492
1,.,"A",481501
1,.,"A",481502
1,.,"A",481511
1,.,"A",481512
1,.,"A",481521
1,.,"A",481522
1,.,"A",481531
1,.,"A",481532
1,.,"A",481541
1,.,"A",481542
1,.,"A",481551
1,.,"A",481552
1,.,"A",481561
1,.,"A",481562
1,.,"A",481571
1,.,"A",481572
1,.,"A",481581
1,.,"A",481582
1,.,"A",481591
1,.,"A",481592
1,.,"A",481601
1,.,"A",481602
1,.,"A",481611
1,.,"A",481612
1,.,"A",481621
1,.,"A",481622
1,.,"A",481631
1,.,"A",481632
1,.,"A",481642
1,.,"A",481651
1,.,"A",481652
2,29,"D",481661
2,64,"D",481662
1,.,"A",481671
1,.,"A",481672
1,.,"A",481682
1,.,"A",481691
1,.,"A",481692
1,.,"A",481701
1,.,"A",481702
1,.,"A",481711
1,.,"A",481712
1,.,"A",481721
1,.,"A",481722
1,.,"A",481731
1,.,"A",481732
1,.,"A",481741
1,.,"A",481742
1,.,"A",481751
1,.,"A",481752
1,.,"A",481761
1,.,"A",481762
1,.,"A",481771
1,.,"A",481772
1,.,"A",481781
1,.,"A",481782
1,.,"A",481791
1,.,"A",481792
1,.,"A",481801
1,.,"A",481802
1,.,"A",481811
1,.,"A",481812
1,.,"A",481821
1,.,"A",481822
1,.,"A",481831
1,.,"A",481832
1,.,"A",481841
1,.,"A",481842
1,.,"A",481851
1,.,"A",481852
1,.,"A",481861
1,.,"A",481862
1,.,"A",481871
1,.,"A",481872
1,.,"A",481882
1,.,"A",481891
1,.,"A",481892
1,.,"A",481901
1,.,"A",481902
1,.,"A",481911
1,.,"A",481912
1,.,"A",481921
1,.,"A",481922
1,.,"A",481931
1,.,"A",481932
1,.,"A",481941
1,.,"A",481942
1,.,"A",481951
1,.,"A",481952
1,.,"A",481961
1,.,"A",481962
1,.,"A",481971
1,.,"A",481972
1,.,"A",481981
1,.,"A",481982
1,.,"A",481991
1,.,"A",481992
1,.,"A",482001
1,.,"A",482002
1,.,"A",482011
1,.,"A",482012
1,.,"A",482021
1,.,"A",482022
1,.,"A",482031
1,.,"A",482041
1,.,"A",482042
1,.,"A",482051
1,.,"A",482052
1,.,"A",482061
1,.,"A",482062
1,.,"A",482071
1,.,"A",482072
1,.,"A",482081
1,.,"A",482082
1,.,"A",482091
1,.,"A",482092
1,.,"A",482101
1,.,"A",482102
1,.,"A",482111
1,.,"A",482112
1,.,"A",482121
1,.,"A",482122
1,.,"A",482131
1,.,"A",482132
1,.,"A",482141
1,.,"A",482142
1,.,"A",482151
1,.,"A",482152
1,.,"A",482161
1,.,"A",482162
1,.,"A",482171
1,.,"A",482172
1,.,"A",482181
1,.,"A",482182
1,.,"A",482191
1,.,"A",482192
1,.,"A",482201
1,.,"A",482202
1,.,"A",482211
1,.,"A",482212
1,.,"A",482221
1,.,"A",482222
1,.,"A",482231
1,.,"A",482232
1,.,"A",482241
1,.,"A",482242
1,.,"A",482251
1,.,"A",482252
2,33,"D",482261
2,68,"D",482262
1,.,"A",482271
1,.,"A",482272
1,.,"A",482282
