"HH_CU_Q","hhid","hhid_","newid"
1,.,"A",502831
1,.,"A",502832
1,.,"A",502841
1,.,"A",502842
1,.,"A",502851
1,.,"A",502852
1,.,"A",502861
1,.,"A",502862
2,12,"D",502871
2,52,"D",502872
1,.,"A",502881
1,.,"A",502882
1,.,"A",502891
1,.,"A",502892
1,.,"A",502901
1,.,"A",502902
1,.,"A",502911
1,.,"A",502912
1,.,"A",502921
1,.,"A",502922
1,.,"A",502931
1,.,"A",502932
1,.,"A",502941
1,.,"A",502942
1,.,"A",502951
1,.,"A",502952
1,.,"A",502961
1,.,"A",502962
2,17,"D",502971
2,57,"D",502972
2,38,"D",502981
2,78,"D",502982
1,.,"A",502991
1,.,"A",502992
1,.,"A",503001
1,.,"A",503002
1,.,"A",503011
1,.,"A",503012
1,.,"A",503021
1,.,"A",503022
1,.,"A",503031
1,.,"A",503032
1,.,"A",503041
1,.,"A",503042
1,.,"A",503052
1,.,"A",503062
1,.,"A",503071
1,.,"A",503072
1,.,"A",503081
1,.,"A",503082
1,.,"A",503091
1,.,"A",503092
1,.,"A",503101
1,.,"A",503102
1,.,"A",503111
1,.,"A",503112
1,.,"A",503121
1,.,"A",503122
2,15,"D",503131
2,55,"D",503132
1,.,"A",503141
1,.,"A",503142
1,.,"A",503151
1,.,"A",503152
1,.,"A",503161
1,.,"A",503162
1,.,"A",503171
1,.,"A",503172
1,.,"A",503181
1,.,"A",503182
1,.,"A",503191
1,.,"A",503192
1,.,"A",503201
1,.,"A",503202
4,33,"D",503211
4,73,"D",503212
1,.,"A",503221
1,.,"A",503222
1,.,"A",503231
1,.,"A",503232
1,.,"A",503241
1,.,"A",503242
1,.,"A",503251
1,.,"A",503252
1,.,"A",503261
1,.,"A",503262
1,.,"A",503271
1,.,"A",503272
1,.,"A",503281
1,.,"A",503282
2,4,"D",503291
2,43,"D",503292
1,.,"A",503301
1,.,"A",503302
1,.,"A",503311
1,.,"A",503312
1,.,"A",503321
1,.,"A",503322
1,.,"A",503331
1,.,"A",503332
1,.,"A",503341
1,.,"A",503342
1,.,"A",503351
1,.,"A",503352
1,.,"A",503361
1,.,"A",503362
1,.,"A",503371
1,.,"A",503372
1,.,"A",503381
1,.,"A",503382
1,.,"A",503391
1,.,"A",503392
1,.,"A",503401
1,.,"A",503402
1,.,"A",503411
1,.,"A",503412
1,.,"A",503421
1,.,"A",503422
1,.,"A",503431
1,.,"A",503432
1,.,"A",503441
1,.,"A",503442
1,.,"A",503451
1,.,"A",503452
1,.,"A",503461
1,.,"A",503462
1,.,"A",503471
1,.,"A",503472
3,19,"D",503481
3,59,"D",503482
1,.,"A",503491
1,.,"A",503492
1,.,"A",503501
1,.,"A",503502
1,.,"A",503511
1,.,"A",503512
1,.,"A",503521
1,.,"A",503522
1,.,"A",503531
1,.,"A",503532
1,.,"A",503541
1,.,"A",503542
1,.,"A",503551
1,.,"A",503552
1,.,"A",503561
1,.,"A",503562
1,.,"A",503571
1,.,"A",503572
1,.,"A",503581
1,.,"A",503582
1,.,"A",503591
1,.,"A",503592
1,.,"A",503601
1,.,"A",503602
1,.,"A",503611
1,.,"A",503612
1,.,"A",503621
1,.,"A",503622
1,.,"A",503631
1,.,"A",503632
1,.,"A",503641
1,.,"A",503642
1,.,"A",503651
1,.,"A",503652
1,.,"A",503661
1,.,"A",503662
1,.,"A",503671
1,.,"A",503672
1,.,"A",503681
1,.,"A",503682
1,.,"A",503691
1,.,"A",503692
1,.,"A",503701
1,.,"A",503702
1,.,"A",503711
1,.,"A",503712
2,18,"D",503721
2,58,"D",503722
1,.,"A",503731
1,.,"A",503732
1,.,"A",503741
1,.,"A",503742
1,.,"A",503751
1,.,"A",503752
2,27,"D",503761
2,67,"D",503762
1,.,"A",503771
1,.,"A",503772
1,.,"A",503781
1,.,"A",503782
1,.,"A",503791
1,.,"A",503792
1,.,"A",503801
1,.,"A",503802
1,.,"A",503811
1,.,"A",503812
1,.,"A",503821
1,.,"A",503822
1,.,"A",503831
1,.,"A",503832
1,.,"A",503841
1,.,"A",503842
1,.,"A",503851
1,.,"A",503852
1,.,"A",503861
1,.,"A",503862
1,.,"A",503871
1,.,"A",503872
1,.,"A",503881
1,.,"A",503882
1,.,"A",503891
1,.,"A",503892
1,.,"A",503902
1,.,"A",503911
1,.,"A",503912
1,.,"A",503921
1,.,"A",503922
1,.,"A",503931
1,.,"A",503932
1,.,"A",503941
1,.,"A",503942
1,.,"A",503951
1,.,"A",503952
1,.,"A",503961
1,.,"A",503962
1,.,"A",503971
1,.,"A",503972
1,.,"A",503981
1,.,"A",503982
1,.,"A",503991
1,.,"A",503992
1,.,"A",504001
1,.,"A",504002
1,.,"A",504011
1,.,"A",504012
1,.,"A",504021
1,.,"A",504022
1,.,"A",504031
1,.,"A",504032
1,.,"A",504041
1,.,"A",504042
1,.,"A",504051
1,.,"A",504052
1,.,"A",504061
1,.,"A",504062
1,.,"A",504071
1,.,"A",504072
1,.,"A",504081
1,.,"A",504082
1,.,"A",504091
1,.,"A",504092
1,.,"A",504101
1,.,"A",504102
1,.,"A",504111
1,.,"A",504112
1,.,"A",504121
1,.,"A",504122
1,.,"A",504131
1,.,"A",504132
1,.,"A",504141
1,.,"A",504142
1,.,"A",504151
1,.,"A",504152
1,.,"A",504161
1,.,"A",504162
1,.,"A",504171
1,.,"A",504172
3,35,"D",504181
3,75,"D",504182
1,.,"A",504191
1,.,"A",504192
1,.,"A",504201
1,.,"A",504202
1,.,"A",504211
1,.,"A",504212
1,.,"A",504222
1,.,"A",504231
1,.,"A",504232
1,.,"A",504241
1,.,"A",504251
1,.,"A",504252
1,.,"A",504261
1,.,"A",504262
1,.,"A",504271
1,.,"A",504272
1,.,"A",504281
1,.,"A",504282
1,.,"A",504291
1,.,"A",504292
1,.,"A",504302
1,.,"A",504311
1,.,"A",504312
1,.,"A",504321
1,.,"A",504322
1,.,"A",504331
1,.,"A",504332
1,.,"A",504341
1,.,"A",504342
1,.,"A",504351
1,.,"A",504352
1,.,"A",504361
1,.,"A",504362
1,.,"A",504371
1,.,"A",504372
1,.,"A",504381
1,.,"A",504382
1,.,"A",504391
1,.,"A",504392
1,.,"A",504401
1,.,"A",504402
1,.,"A",504411
1,.,"A",504412
1,.,"A",504421
1,.,"A",504422
1,.,"A",504431
1,.,"A",504432
1,.,"A",504441
1,.,"A",504442
2,25,"D",504451
2,65,"D",504452
1,.,"A",504462
1,.,"A",504471
1,.,"A",504472
