"HRSPERWK","WKS_WRKD","EMPLTYPE","MARITAL","ORIGIN","WHYNOWRK","OCCULIST","RACE","SEX","HRSP_RWK","WKS__RKD","EMPL_YPE","MARITAL_","ORIGIN_","WHYN_WRK","OCCU_IST","RACE_","SEX_","NEWID","AGE","AGE_","ANFEDTXX","ANFE_TXX","ANGVX","ANGVX_","ANPVTX","ANPVTX_","ANRRX","ANRRX_","ANSTATXX","ANST_TXX","ANYRAIL","ANYRAIL_","ANYSSINC","ANYS_INC","BSNSX","BSNSX_","CU_CODE1","CU_C_DE1","EDUCA","EDUCA_","FARMX","FARMX_","FEDTXX","FEDTXX_","GROSPAYX","GROS_AYX","GVX","GVX_","IRAX","IRAX_","JSSDEDX","JSSDEDX_","MEMBNO","PVTX","PVTX_","RRX","RRX_","SCHLNCHQ","SCHL_CHQ","SCHLNCHX","SCHL_CHX","SLFEMPSS","SLFE_PSS","SS_RRX","SS_RRX_","STA_SUPP","STA__UPP","STATXX","STATXX_","SUPPX","SUPPX_","US_SUPP","US_SUPP_","WAGEX","WAGEX_","SS_RRQ","SS_RRQ_","SOCRRX","SOCRRX_","ARM_FORC","ARM__ORC","IN_COLL","IN_COLL_","MEDICARE","MEDI_ARE","PAYPERD","PAYPERD_"
55,52,"1","1","1",,"04","1","1","D","D","D","D","D","A","D","D","D",440101,45,"D",.,"B",.,"A",10500,"D",.,"A",.,"A","2","D","2","D",.,"A","1","D","43","D",.,"B",.,"C",2000,"D",.,"A",.,"A",5355,"D",1,300,"D",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",70000,"D",.,"A",0,"D","2","D","2","D",,"A","2","D"
25,52,"5","1","1",,"05","1","2","D","D","D","D","D","A","D","D","D",440101,45,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"C","2","D","43","D",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
55,52,"1","1","1",,"04","1","1","D","D","D","D","D","A","D","D","D",440102,45,"D",.,"B",.,"A",10500,"D",.,"A",.,"A","2","D","2","D",.,"A","1","D","43","D",.,"B",.,"C",2000,"D",.,"A",.,"A",5355,"D",1,300,"D",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",70000,"D",.,"A",0,"D","2","D","2","D",,"A","2","D"
25,52,"5","1","1",,"05","1","2","D","D","D","D","D","A","D","D","D",440102,45,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"C","2","D","43","D",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
40,52,"1","1","4",,"01","1","1","D","D","D","D","D","A","D","D","D",440111,31,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","1","D","44","D",.,"A",.,"C",.,"A",.,"C",.,"A",0,"D",1,.,"C",.,"C",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",.,"C",.,"A",0,"D","2","D","3","D",,"A",,"A"
40,52,"1","1","4",,"01","1","2","D","D","D","D","D","A","D","D","D",440111,30,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","2","D","44","D",.,"A",.,"C",.,"A",.,"C",.,"A",0,"D",2,.,"C",.,"C",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",.,"C",.,"A",0,"D","2","D","3","D",,"A",,"A"
40,52,"1","1","4",,"01","1","1","D","D","D","D","D","A","D","D","D",440112,31,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","1","D","44","D",.,"A",.,"C",.,"A",.,"C",.,"A",0,"D",1,.,"C",.,"C",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",.,"C",.,"A",0,"D","2","D","3","D",,"A",,"A"
40,52,"1","1","4",,"01","1","2","D","D","D","D","D","A","D","D","D",440112,30,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","2","D","44","D",.,"A",.,"C",.,"A",.,"C",.,"A",0,"D",2,.,"C",.,"C",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",.,"C",.,"A",0,"D","2","D","3","D",,"A",,"A"
.,0,,"2","4","1",,"1","2","A","D","A","D","D","D","A","D","D",440121,85,"T",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","1","D",.,"A","1","D","08","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",.,"C","2","D",.,"A",.,"A","2","D",.,"A",12,"D",0,"D",,"A",,"A","2","D",,"A"
.,0,,"2","4","1",,"1","2","A","D","A","D","D","D","A","D","D",440122,85,"T",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","1","D",.,"A","1","D","08","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",.,"C","2","D",.,"A",.,"A","2","D",.,"A",12,"D",0,"D",,"A",,"A","2","D",,"A"
