"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
420701,"980010",3,,"1"
420701,"980020",39,,"1"
420701,"980030",2,,"1"
420701,"980040",3,,"1"
420701,"980050",1,,"1"
420701,"980090",100,,"1"
420701,"980210",100,,"1"
420701,"980230",100,,"1"
420701,"980280",100,,"1"
420701,"980310",100,,"1"
420701,"980330",100,,"1"
420702,"980010",3,,"1"
420702,"980020",39,,"1"
420702,"980030",2,,"1"
420702,"980040",3,,"1"
420702,"980050",1,,"1"
420702,"980090",100,,"1"
420702,"980210",100,,"1"
420702,"980230",100,,"1"
420702,"980280",100,,"1"
420702,"980310",100,,"1"
420702,"980330",100,,"1"
421041,"800940",6714,,"1"
421041,"900000",100000,,"1"
421041,"980000",100000,,"1"
421041,"980010",1,,"1"
421041,"980020",41,,"1"
421041,"980030",1,,"1"
421041,"980040",1,,"1"
421041,"980070",100000,,"1"
421041,"980090",100,,"1"
421041,"980210",100,,"1"
421041,"980230",100,,"1"
421041,"980280",100,,"1"
421041,"980310",100,,"1"
421041,"980330",100,,"1"
421042,"800940",6714,,"1"
421042,"900000",100000,,"1"
421042,"980000",100000,,"1"
421042,"980010",1,,"1"
421042,"980020",41,,"1"
421042,"980030",1,,"1"
421042,"980040",1,,"1"
421042,"980070",100000,,"1"
421042,"980090",100,,"1"
421042,"980210",100,,"1"
421042,"980230",100,,"1"
421042,"980280",100,,"1"
421042,"980310",100,,"1"
421042,"980330",100,,"1"
437531,"980010",3,,"1"
437531,"980020",48,,"1"
437531,"980030",3,,"1"
437531,"980040",2,,"1"
437531,"980050",1,,"1"
437531,"980090",100,,"1"
437531,"980220",100,,"1"
437531,"980230",100,,"1"
437531,"980280",100,,"1"
437531,"980310",100,,"1"
437531,"980330",100,,"1"
437532,"980010",3,,"1"
437532,"980020",48,,"1"
437532,"980030",3,,"1"
437532,"980040",2,,"1"
437532,"980050",1,,"1"
437532,"980090",100,,"1"
437532,"980220",100,,"1"
437532,"980230",100,,"1"
437532,"980280",100,,"1"
437532,"980310",100,,"1"
437532,"980330",100,,"1"
440081,"980010",3,,"1"
440081,"980020",58,,"1"
440081,"980030",2,,"1"
440081,"980040",5,,"1"
440081,"980090",100,,"1"
440081,"980210",100,,"1"
440081,"980230",100,,"1"
440081,"980280",100,,"1"
440081,"980300",100,,"1"
440081,"980330",100,,"1"
440082,"980010",3,,"1"
440082,"980020",58,,"1"
440082,"980030",2,,"1"
440082,"980040",5,,"1"
440082,"980090",100,,"1"
440082,"980210",100,,"1"
440082,"980230",100,,"1"
440082,"980280",100,,"1"
440082,"980300",100,,"1"
440082,"980330",100,,"1"
433521,"980010",3,,"1"
433521,"980020",60,,"1"
433521,"980030",1,,"1"
433521,"980040",1,,"1"
433521,"980090",100,,"1"
433521,"980210",100,,"1"
433521,"980230",100,,"1"
433521,"980280",100,,"1"
433521,"980300",100,,"1"
433521,"980330",100,,"1"
433522,"980010",3,,"1"
433522,"980020",45,,"1"
433522,"980030",1,,"1"
433522,"980040",1,,"1"
433522,"980090",100,,"1"
433522,"980210",100,,"1"
433522,"980230",100,,"1"
433522,"980280",100,,"1"
433522,"980300",100,,"1"
433522,"980330",100,,"1"
436221,"800910",2143,,"1"
436221,"800940",8186,,"1"
436221,"900000",107000,,"1"
436221,"900050",30,,"1"
436221,"900080",1200,,"1"
436221,"950000",12561,,"1"
436221,"950001",-500,,"1"
436221,"950010",2791,,"1"
436221,"950011",-400,,"1"
436221,"980000",108230,,"1"
436221,"980010",2,,"1"
436221,"980020",53,,"1"
436221,"980030",2,,"1"
436221,"980070",93778,,"1"
436221,"980090",100,,"1"
436221,"980210",100,,"1"
436221,"980230",100,,"1"
436221,"980280",100,,"1"
436221,"980310",100,,"1"
436222,"800910",2143,,"1"
436222,"800940",8186,,"1"
436222,"900000",107000,,"1"
436222,"900050",30,,"1"
436222,"900080",1200,,"1"
436222,"950000",12561,,"1"
436222,"950001",-500,,"1"
436222,"950010",2791,,"1"
436222,"950011",-400,,"1"
436222,"980000",108230,,"1"
436222,"980010",2,,"1"
436222,"980020",53,,"1"
436222,"980030",2,,"1"
436222,"980070",93778,,"1"
436222,"980090",100,,"1"
436222,"980210",100,,"1"
436222,"980230",100,,"1"
436222,"980280",100,,"1"
436222,"980310",100,,"1"
433281,"900030",648,,"1"
433281,"980000",648,,"1"
433281,"980010",1,,"1"
433281,"980020",63,,"1"
433281,"980040",1,,"1"
433281,"980070",648,,"1"
433281,"980090",100,,"1"
433281,"980220",100,,"1"
433281,"980240",100,,"1"
433281,"980280",100,,"1"
433281,"980300",100,,"1"
433281,"980330",100,,"1"
433282,"900030",648,,"1"
433282,"980000",648,,"1"
433282,"980010",1,,"1"
433282,"980020",18,,"1"
433282,"980040",1,,"1"
433282,"980070",648,,"1"
433282,"980090",100,,"1"
433282,"980220",100,,"1"
433282,"980240",100,,"1"
433282,"980280",100,,"1"
433282,"980300",100,,"1"
433282,"980330",100,,"1"
432181,"980010",1,,"1"
432181,"980020",65,,"1"
432181,"980030",1,,"1"
432181,"980040",1,,"1"
432181,"980060",1,,"1"
432181,"980220",100,,"1"
432181,"980260",100,,"1"
432181,"980270",100,,"1"
432181,"980300",100,,"1"
432181,"980330",100,,"1"
432182,"980010",1,,"1"
432182,"980020",65,,"1"
432182,"980030",1,,"1"
432182,"980040",1,,"1"
432182,"980060",1,,"1"
432182,"980220",100,,"1"
432182,"980260",100,,"1"
432182,"980270",100,,"1"
432182,"980300",100,,"1"
432182,"980330",100,,"1"
438721,"800940",2066,,"1"
438721,"900000",27000,,"1"
438721,"950001",-990,,"1"
438721,"950011",-180,,"1"
438721,"980000",27000,,"1"
438721,"980010",2,,"1"
438721,"980020",36,,"1"
438721,"980030",1,,"1"
438721,"980040",2,,"1"
438721,"980070",28170,,"1"
438721,"980210",100,,"1"
438721,"980260",100,,"1"
438721,"980280",100,,"1"
438721,"980300",100,,"1"
438721,"980330",100,,"1"
438722,"800940",2066,,"1"
438722,"900000",27000,,"1"
438722,"950001",-990,,"1"
438722,"950011",-180,,"1"
438722,"980000",27000,,"1"
438722,"980010",2,,"1"
438722,"980020",36,,"1"
438722,"980030",1,,"1"
438722,"980040",2,,"1"
438722,"980070",28170,,"1"
438722,"980210",100,,"1"
438722,"980260",100,,"1"
438722,"980280",100,,"1"
438722,"980300",100,,"1"
438722,"980330",100,,"1"
438081,"800940",8415,,"1"
438081,"900000",110000,,"1"
438081,"980000",110000,,"1"
438081,"980010",3,,"1"
438081,"980020",56,,"1"
438081,"980030",3,,"1"
438081,"980040",4,,"1"
438081,"980070",110000,,"1"
438081,"980090",100,,"1"
438081,"980220",100,,"1"
438081,"980230",100,,"1"
438081,"980280",100,,"1"
438081,"980300",100,,"1"
438081,"980330",100,,"1"
438082,"800940",8415,,"1"
438082,"900000",110000,,"1"
438082,"980000",110000,,"1"
438082,"980010",3,,"1"
438082,"980020",56,,"1"
438082,"980030",3,,"1"
438082,"980040",4,,"1"
438082,"980070",110000,,"1"
438082,"980090",100,,"1"
438082,"980220",100,,"1"
438082,"980230",100,,"1"
438082,"980280",100,,"1"
438082,"980300",100,,"1"
438082,"980330",100,,"1"
429831,"800932",1500,,"1"
429831,"800940",8186,,"1"
429831,"900000",75000,,"1"
429831,"900010",16000,,"1"
429831,"910040",100,,"1"
429831,"950001",-10775,"T","1"
429831,"950011",-400,,"1"
429831,"980000",91000,,"1"
429831,"980010",3,,"1"
429831,"980020",56,,"1"
429831,"980030",3,,"1"
429831,"980040",2,,"1"
429831,"980070",102175,"T","1"
429831,"980090",100,,"1"
429831,"980210",100,,"1"
429831,"980240",100,,"1"
429831,"980280",100,,"1"
429831,"980310",100,,"1"
429831,"980330",100,,"1"
429832,"800932",1500,,"1"
429832,"800940",8186,,"1"
429832,"900000",75000,,"1"
429832,"900010",16000,,"1"
429832,"910040",100,,"1"
429832,"950001",-10775,"T","1"
429832,"950011",-400,,"1"
429832,"980000",91000,,"1"
429832,"980010",3,,"1"
429832,"980020",56,,"1"
429832,"980030",3,,"1"
429832,"980040",2,,"1"
429832,"980070",102175,"T","1"
429832,"980090",100,,"1"
429832,"980210",100,,"1"
429832,"980240",100,,"1"
429832,"980280",100,,"1"
429832,"980310",100,,"1"
429832,"980330",100,,"1"
430431,"800931",4499,,"1"
430431,"800940",7115,,"1"
430431,"900000",93000,,"1"
430431,"900050",200,,"1"
430431,"900080",100,,"1"
430431,"950000",4331,,"1"
430431,"950001",-4500,,"1"
430431,"950010",2208,,"1"
430431,"950010",900,,"1"
430431,"950023",-600,,"1"
430431,"980000",93300,,"1"
430431,"980010",5,,"1"
430431,"980020",42,,"1"
430431,"980030",3,,"1"
430431,"980040",4,,"1"
430431,"980050",3,,"1"
430431,"980070",90961,,"1"
430431,"980090",100,,"1"
430431,"980210",100,,"1"
430431,"980230",100,,"1"
430431,"980280",100,,"1"
430431,"980310",100,,"1"
430431,"980330",100,,"1"
430432,"800931",4499,,"1"
430432,"800940",7115,,"1"
430432,"900000",93000,,"1"
430432,"900050",200,,"1"
430432,"900080",100,,"1"
430432,"950000",4331,,"1"
430432,"950001",-4500,,"1"
430432,"950010",2208,,"1"
430432,"950010",900,,"1"
430432,"950023",-600,,"1"
430432,"980000",93300,,"1"
430432,"980010",5,,"1"
430432,"980020",42,,"1"
430432,"980030",3,,"1"
430432,"980040",4,,"1"
