"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
454441,"800940",7038,,"1"
454441,"900000",92000,,"1"
454441,"980000",92000,,"1"
454441,"980010",2,,"1"
454441,"980020",28,,"1"
454441,"980030",2,,"1"
454441,"980040",2,,"1"
454441,"980070",92000,,"1"
454441,"980090",100,,"1"
454441,"980210",100,,"1"
454441,"980240",100,,"1"
454441,"980280",100,,"1"
454441,"980310",100,,"1"
454441,"980330",100,,"1"
454442,"800940",7038,,"1"
454442,"900000",92000,,"1"
454442,"980000",92000,,"1"
454442,"980010",2,,"1"
454442,"980020",28,,"1"
454442,"980030",2,,"1"
454442,"980040",2,,"1"
454442,"980070",92000,,"1"
454442,"980090",100,,"1"
454442,"980210",100,,"1"
454442,"980240",100,,"1"
454442,"980280",100,,"1"
454442,"980310",100,,"1"
454442,"980330",100,,"1"
441661,"900030",20280,,"1"
441661,"900040",371,,"1"
441661,"900080",15,,"1"
441661,"950001",-461,,"1"
441661,"950011",-120,,"1"
441661,"980000",20666,,"1"
441661,"980010",2,,"1"
441661,"980020",72,,"1"
441661,"980040",1,,"1"
441661,"980060",2,,"1"
441661,"980070",21247,,"1"
441661,"980090",100,,"1"
441661,"980210",100,,"1"
441661,"980240",100,,"1"
441661,"980280",100,,"1"
441661,"980300",100,,"1"
441661,"980330",100,,"1"
441662,"900030",20280,,"1"
441662,"900040",371,,"1"
441662,"900080",15,,"1"
441662,"950001",-461,,"1"
441662,"950011",-120,,"1"
441662,"980000",20666,,"1"
441662,"980010",2,,"1"
441662,"980020",72,,"1"
441662,"980040",1,,"1"
441662,"980060",2,,"1"
441662,"980070",21247,,"1"
441662,"980090",100,,"1"
441662,"980210",100,,"1"
441662,"980240",100,,"1"
441662,"980280",100,,"1"
441662,"980300",100,,"1"
441662,"980330",100,,"1"
452201,"980010",4,,"1"
452201,"980020",52,,"1"
452201,"980030",3,,"1"
452201,"980050",2,,"1"
452201,"980090",100,,"1"
452201,"980220",100,,"1"
452201,"980240",100,,"1"
452201,"980280",100,,"1"
452201,"980310",100,,"1"
452202,"980010",4,,"1"
452202,"980020",52,,"1"
452202,"980030",3,,"1"
452202,"980050",2,,"1"
452202,"980090",100,,"1"
452202,"980220",100,,"1"
452202,"980240",100,,"1"
452202,"980280",100,,"1"
452202,"980310",100,,"1"
459901,"900120",5088,,"1"
459901,"900150",4200,,"1"
459901,"980000",9288,,"1"
459901,"980010",1,,"1"
459901,"980020",31,,"1"
459901,"980040",1,,"1"
459901,"980070",9288,,"1"
459901,"980220",100,,"1"
459901,"980260",100,,"1"
459901,"980280",100,,"1"
459901,"980290",100,,"1"
459901,"980330",100,,"1"
459902,"900120",5088,,"1"
459902,"900150",4200,,"1"
459902,"980000",9288,,"1"
459902,"980010",1,,"1"
459902,"980020",31,,"1"
459902,"980040",1,,"1"
459902,"980070",9288,,"1"
459902,"980220",100,,"1"
459902,"980260",100,,"1"
459902,"980280",100,,"1"
459902,"980290",100,,"1"
459902,"980330",100,,"1"
456261,"980010",3,,"1"
456261,"980020",51,,"1"
456261,"980030",2,,"1"
456261,"980040",3,,"1"
456261,"980050",1,,"1"
456261,"980090",100,,"1"
456261,"980210",100,,"1"
456261,"980230",100,,"1"
456261,"980280",100,,"1"
456261,"980310",100,,"1"
456261,"980330",100,,"1"
