"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
464431,"800940",4743,,"1"
464431,"900000",62000,,"1"
464431,"980000",62000,,"1"
464431,"980010",2,,"1"
464431,"980020",26,,"1"
464431,"980030",2,,"1"
464431,"980040",3,,"1"
464431,"980070",62000,,"1"
464431,"980090",100,,"1"
464431,"980220",100,,"1"
464431,"980230",100,,"1"
464431,"980280",100,,"1"
464431,"980310",100,,"1"
464431,"980330",100,,"1"
464432,"800940",4743,,"1"
464432,"900000",62000,,"1"
464432,"980000",62000,,"1"
464432,"980010",2,,"1"
464432,"980020",26,,"1"
464432,"980030",2,,"1"
464432,"980040",3,,"1"
464432,"980070",62000,,"1"
464432,"980090",100,,"1"
464432,"980220",100,,"1"
464432,"980230",100,,"1"
464432,"980280",100,,"1"
464432,"980310",100,,"1"
464432,"980330",100,,"1"
461141,"980010",2,,"1"
461141,"980020",69,,"1"
461141,"980060",2,,"1"
461141,"980090",100,,"1"
461141,"980210",100,,"1"
461141,"980250",100,,"1"
461141,"980280",100,,"1"
461141,"980290",100,,"1"
461142,"980010",2,,"1"
461142,"980020",69,,"1"
461142,"980060",2,,"1"
461142,"980090",100,,"1"
461142,"980210",100,,"1"
461142,"980250",100,,"1"
461142,"980280",100,,"1"
461142,"980290",100,,"1"
472611,"800940",1836,,"1"
472611,"900000",24000,,"1"
472611,"900030",648,,"1"
472611,"900040",22000,,"1"
472611,"910040",150,,"1"
472611,"950001",-3000,,"1"
472611,"950011",-150,,"1"
472611,"980000",46648,,"1"
472611,"980010",2,,"1"
472611,"980020",57,,"1"
472611,"980030",2,,"1"
472611,"980040",2,,"1"
472611,"980070",49798,,"1"
472611,"980090",100,,"1"
472611,"980220",100,,"1"
472611,"980240",100,,"1"
472611,"980280",100,,"1"
472611,"980310",100,,"1"
472611,"980330",100,,"1"
472612,"800940",1836,,"1"
472612,"900000",24000,,"1"
472612,"900030",648,,"1"
472612,"900040",22000,,"1"
472612,"910040",150,,"1"
472612,"950001",-3000,,"1"
472612,"950011",-150,,"1"
472612,"980000",46648,,"1"
472612,"980010",2,,"1"
472612,"980020",57,,"1"
472612,"980030",2,,"1"
472612,"980040",2,,"1"
472612,"980070",49798,,"1"
472612,"980090",100,,"1"
472612,"980220",100,,"1"
472612,"980240",100,,"1"
472612,"980280",100,,"1"
472612,"980300",100,,"1"
472612,"980330",100,,"1"
476361,"800940",9945,,"1"
476361,"900000",130000,,"1"
476361,"900070",5400,,"1"
476361,"950001",-3900,,"1"
476361,"950011",-203,,"1"
476361,"980000",135400,,"1"
476361,"980010",3,,"1"
476361,"980020",32,,"1"
476361,"980030",2,,"1"
476361,"980040",2,,"1"
476361,"980050",1,,"1"
476361,"980070",139503,,"1"
476361,"980090",100,,"1"
476361,"980220",100,,"1"
476361,"980230",100,,"1"
476361,"980280",100,,"1"
476361,"980310",100,,"1"
476361,"980330",100,,"1"
476362,"800940",9945,,"1"
476362,"900000",130000,,"1"
476362,"900070",5400,,"1"
476362,"950001",-3900,,"1"
476362,"950011",-203,,"1"
476362,"980000",135400,,"1"
476362,"980010",3,,"1"
476362,"980020",32,,"1"
476362,"980030",2,,"1"
476362,"980040",2,,"1"
476362,"980050",1,,"1"
476362,"980070",139503,,"1"
476362,"980090",100,,"1"
476362,"980220",100,,"1"
476362,"980230",100,,"1"
476362,"980280",100,,"1"
476362,"980310",100,,"1"
476362,"980330",100,,"1"
466381,"900030",15048,,"1"
466381,"980000",15048,,"1"
466381,"980010",3,,"1"
466381,"980020",67,,"1"
466381,"980030",1,,"1"
466381,"980040",2,,"1"
