"HRSPERWK","WKS_WRKD","EMPLTYPE","MARITAL","ORIGIN","WHYNOWRK","OCCULIST","RACE","SEX","HRSP_RWK","WKS__RKD","EMPL_YPE","MARITAL_","ORIGIN_","WHYN_WRK","OCCU_IST","RACE_","SEX_","NEWID","AGE","AGE_","ANFEDTXX","ANFE_TXX","ANGVX","ANGVX_","ANPVTX","ANPVTX_","ANRRX","ANRRX_","ANSTATXX","ANST_TXX","ANYRAIL","ANYRAIL_","ANYSSINC","ANYS_INC","BSNSX","BSNSX_","CU_CODE1","CU_C_DE1","EDUCA","EDUCA_","FARMX","FARMX_","FEDTXX","FEDTXX_","GROSPAYX","GROS_AYX","GVX","GVX_","IRAX","IRAX_","JSSDEDX","JSSDEDX_","MEMBNO","PVTX","PVTX_","RRX","RRX_","SCHLNCHQ","SCHL_CHQ","SCHLNCHX","SCHL_CHX","SLFEMPSS","SLFE_PSS","SS_RRX","SS_RRX_","STA_SUPP","STA__UPP","STATXX","STATXX_","SUPPX","SUPPX_","US_SUPP","US_SUPP_","WAGEX","WAGEX_","SS_RRQ","SS_RRQ_","SOCRRX","SOCRRX_","ARM_FORC","ARM__ORC","IN_COLL","IN_COLL_","MEDICARE","MEDI_ARE","PAYPERD","PAYPERD_"
.,0,,"2","4","1",,"1","2","A","D","A","D","D","D","A","D","D",460672,80,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","1","D",.,"A","1","D","40","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",.,"C","2","D",.,"A",.,"A","2","D",.,"A",12,"D",648,"D",,"A","3","D","1","D",,"A"
50,52,"1","1","1",,"14","1","1","D","D","D","D","D","A","D","D","D",460681,47,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","1","D","42","D",.,"A",.,"C",1000,"D",.,"A",2000,"D",2295,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",30000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D"
50,52,"1","1","1",,"05","1","2","D","D","D","D","D","A","D","D","D",460681,48,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","2","D","42","D",.,"A",.,"C",1530,"D",.,"A",.,"A",3060,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",40000,"D",.,"A",0,"D","2","D","3","D",,"A","7","D"
50,52,"1","1","1",,"14","1","1","D","D","D","D","D","A","D","D","D",460682,47,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","1","D","42","D",.,"A",.,"C",1000,"D",.,"A",2000,"D",2295,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",30000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D"
50,52,"1","1","1",,"05","1","2","D","D","D","D","D","A","D","D","D",460682,48,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","2","D","42","D",.,"A",.,"C",1530,"D",.,"A",.,"A",3060,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",40000,"D",.,"A",0,"D","2","D","3","D",,"A","7","D"
20,52,"1","1","1",,"04","1","2","D","D","D","D","D","A","D","D","D",460691,51,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","1","D","40","D",.,"A",.,"C",180,"D",.,"A",.,"A",1148,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",15000,"D",.,"A",0,"D","2","D","3","D",,"A","1","D"
40,52,"1","1","1",,"11","1","1","D","D","D","D","D","A","D","D","D",460691,54,"D",.,"B",.,"A",.,"B",.,"A",.,"B","2","D","2","D",.,"A","2","D","40","D",.,"A",.,"C",450,"D",.,"A",.,"A",2678,"D",2,.,"C",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",35000,"D",.,"A",0,"D","2","D","3","D",,"A","1","D"
18,44,"1","5","1",,"11","1","2","D","D","D","D","D","A","D","D","D",460691,19,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","3","D","40","D",.,"A",.,"B",.,"B",.,"B",.,"A",0,"D",3,.,"B",.,"B",.,"A",.,"A",0,"D",.,"A","2","D",.,"B",.,"A","2","D",.,"B",.,"A",0,"D","2","D","1","D",,"A",,"B"
20,52,"1","1","1",,"04","1","2","D","D","D","D","D","A","D","D","D",460692,51,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","1","D","40","D",.,"A",.,"C",180,"D",.,"A",.,"A",1148,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",15000,"D",.,"A",0,"D","2","D","3","D",,"A","1","D"
40,52,"1","1","1",,"11","1","1","D","D","D","D","D","A","D","D","D",460692,54,"D",.,"B",.,"A",.,"B",.,"A",.,"B","2","D","2","D",.,"A","2","D","40","D",.,"A",.,"C",450,"D",.,"A",.,"A",2678,"D",2,.,"C",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",35000,"D",.,"A",0,"D","2","D","3","D",,"A","1","D"
18,44,"1","5","1",,"11","1","2","D","D","D","D","D","A","D","D","D",460692,19,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","3","D","40","D",.,"A",.,"B",.,"B",.,"B",.,"A",0,"D",3,.,"B",.,"B",.,"A",.,"A",0,"D",.,"A","2","D",.,"B",.,"A","2","D",.,"B",.,"A",0,"D","2","D","1","D",,"A",,"B"
40,4,"1","5","1",,"10","1","1","D","D","D","D","D","A","D","D","D",460702,24,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","1","D","43","D",.,"A",.,"C",.,"C",.,"A",.,"A",77,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",1000,"D",.,"A",0,"D","2","D","3","D",,"A",,"A"
.,0,,"5","4","1",,"1","2","A","D","A","D","D","D","A","D","D",460711,58,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","1","D","44","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
.,0,,"5","4","1",,"1","2","A","D","A","D","D","D","A","D","D",460711,58,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","9","D","44","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
.,0,,"5","4","1",,"1","2","A","D","A","D","D","D","A","D","D",460712,58,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","1","D","44","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
.,0,,"5","4","1",,"1","2","A","D","A","D","D","D","A","D","D",460712,58,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","9","D","44","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
25,51,"1","1","4",,"10","1","2","D","D","D","D","D","A","D","D","D",460721,30,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","1","D","43","D",.,"A",.,"B",.,"B",.,"B",.,"A",0,"D",1,.,"B",.,"B",.,"A",.,"A",0,"D",.,"A","2","D",.,"B",.,"A","2","D",.,"B",.,"A",0,"D","2","D","3","D",,"A",,"B"
60,47,"1","1","4",,"05","1","1","D","D","D","D","D","A","D","D","D",460721,30,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","2","D","40","D",.,"A",.,"B",.,"B",.,"B",.,"A",0,"D",2,.,"B",.,"B",.,"A",.,"A",0,"D",.,"A","2","D",.,"B",.,"A","2","D",.,"B",.,"A",0,"D","2","D","3","D",,"A",,"B"
25,51,"1","1","4",,"10","1","2","D","D","D","D","D","A","D","D","D",460722,25,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","1","D","43","D",.,"A",.,"B",.,"B",.,"B",.,"A",0,"D",1,.,"B",.,"B",.,"A",.,"A",0,"D",.,"A","2","D",.,"B",.,"A","2","D",.,"B",.,"A",0,"D","2","D","3","D",,"A",,"B"
60,47,"1","1","4",,"05","1","1","D","D","D","D","D","A","D","D","D",460722,25,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","2","D","10","D",.,"A",.,"B",.,"B",.,"B",.,"A",0,"D",2,.,"B",.,"B",.,"A",.,"A",0,"D",.,"A","2","D",.,"B",.,"A","2","D",.,"B",.,"A",0,"D","2","D",,"A",,"A",,"B"
.,0,,"5","3","4",,"2","1","A","D","A","D","D","D","A","D","D",460732,36,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","1","D",.,"A","1","D","11","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",545,"D","2","D",.,"A",.,"A","2","D",.,"A",12,"D",7188,"D","2","D",,"A","1","D",,"A"
16,1,"3","1","4",,"02","1","2","D","D","D","D","D","A","D","D","D",460741,60,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","1","D","43","D",.,"A",.,"A",500,"D",.,"A",.,"A",38,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",500,"D",.,"A",0,"D","2","D","3","D",,"A","3","D"
.,0,,"1","1","1",,"1","1","A","D","A","D","D","D","A","D","D",460741,66,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","1","D",.,"A","2","D","46","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",246,"D","2","D",.,"A",.,"A","2","D",.,"A",12,"D",3600,"D",,"A","3","D","1","D",,"A"
16,1,"3","1","4",,"02","1","2","D","D","D","D","D","A","D","D","D",460742,60,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","1","D","43","D",.,"A",.,"A",500,"D",.,"A",.,"A",38,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",500,"D",.,"A",0,"D","2","D","3","D",,"A","3","D"
.,0,,"1","1","1",,"1","1","A","D","A","D","D","D","A","D","D",460742,66,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","1","D",.,"A","2","D","46","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",246,"D","2","D",.,"A",.,"A","2","D",.,"A",12,"D",3600,"D",,"A","3","D","1","D",,"A"
40,24,"5","1","2",,"09","2","2","D","D","D","D","D","A","D","D","D",460751,39,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",-3000,"D","1","D","39","D",.,"A",.,"A",.,"A",.,"A",1040,"D",0,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
60,52,"1","1","2",,"14","2","1","D","D","D","D","D","A","D","D","D",460751,37,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","2","D","39","D",.,"A",.,"B",.,"A",.,"A",.,"B",4743,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"B",.,"A","2","D",62000,"D",.,"A",0,"D","2","D","3","D",,"A",,"A"
.,0,,"5","2","3",,"2","2","A","D","A","D","D","D","A","D","D",460751,14,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","3","D","09","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D",,"A",,"A",,"A",,"A"
.,.,,"5","2",,,"2","1","A","A","A","D","D","A","A","D","D",460751,13,"D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A","3","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",4,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A"
