"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
489321,"800940",459,,"1"
489321,"900000",6000,,"1"
489321,"910010",80,,"1"
489321,"950000",600,,"1"
489321,"950010",240,,"1"
489321,"980000",6000,,"1"
489321,"980010",4,,"1"
489321,"980020",49,,"1"
489321,"980030",2,,"1"
489321,"980040",2,,"1"
489321,"980050",2,,"1"
489321,"980070",5160,,"1"
489321,"980090",100,,"1"
489321,"980210",100,,"1"
489321,"980230",100,,"1"
489321,"980280",100,,"1"
489321,"980300",100,,"1"
489321,"980330",100,,"1"
489322,"800940",459,,"1"
489322,"900000",6000,,"1"
489322,"910010",80,,"1"
489322,"950000",600,,"1"
489322,"950010",240,,"1"
489322,"980000",6000,,"1"
489322,"980010",4,,"1"
489322,"980020",49,,"1"
489322,"980030",2,,"1"
489322,"980040",2,,"1"
489322,"980050",2,,"1"
489322,"980070",5160,,"1"
489322,"980090",100,,"1"
489322,"980210",100,,"1"
489322,"980230",100,,"1"
489322,"980280",100,,"1"
489322,"980310",100,,"1"
489322,"980330",100,,"1"
491851,"900070",1200,,"1"
491851,"950010",900,,"1"
491851,"950023",-500,,"1"
491851,"980000",1200,,"1"
491851,"980010",2,,"1"
491851,"980020",54,,"1"
491851,"980030",1,,"1"
491851,"980040",3,,"1"
491851,"980070",800,,"1"
491851,"980090",100,,"1"
491851,"980210",100,,"1"
491851,"980230",100,,"1"
491851,"980280",100,,"1"
491851,"980300",100,,"1"
491851,"980330",100,,"1"
491852,"900070",1200,,"1"
491852,"950010",900,,"1"
491852,"950023",-500,,"1"
491852,"980000",1200,,"1"
491852,"980010",2,,"1"
491852,"980020",54,,"1"
491852,"980030",1,,"1"
491852,"980040",3,,"1"
491852,"980070",800,,"1"
491852,"980090",100,,"1"
491852,"980210",100,,"1"
491852,"980230",100,,"1"
491852,"980280",100,,"1"
491852,"980300",100,,"1"
491852,"980330",100,,"1"
491261,"980010",3,,"1"
491261,"980020",36,,"1"
491261,"980050",1,,"1"
491261,"980220",100,,"1"
491261,"980260",100,,"1"
491261,"980280",100,,"1"
491261,"980310",100,,"1"
491262,"980010",3,,"1"
491262,"980020",36,,"1"
491262,"980050",1,,"1"
491262,"980220",100,,"1"
491262,"980260",100,,"1"
491262,"980280",100,,"1"
491262,"980310",100,,"1"
484601,"900030",1296,,"1"
484601,"980000",1296,,"1"
484601,"980010",2,,"1"
484601,"980020",71,,"1"
484601,"980030",1,,"1"
484601,"980040",2,,"1"
484601,"980060",2,,"1"
484601,"980070",1296,,"1"
484601,"980090",100,,"1"
484601,"980210",100,,"1"
484601,"980240",100,,"1"
484601,"980280",100,,"1"
484601,"980300",100,,"1"
484601,"980330",100,,"1"
484602,"900030",1296,,"1"
484602,"980000",1296,,"1"
484602,"980010",2,,"1"
484602,"980020",71,,"1"
484602,"980030",1,,"1"
484602,"980040",2,,"1"
484602,"980060",2,,"1"
484602,"980070",1296,,"1"
484602,"980090",100,,"1"
484602,"980210",100,,"1"
484602,"980240",100,,"1"
484602,"980280",100,,"1"
484602,"980300",100,,"1"
484602,"980330",100,,"1"
492551,"800940",6885,,"1"
492551,"900000",90000,,"1"
492551,"910040",389,,"1"
492551,"950001",-500,,"1"
492551,"950011",-50,,"1"
492551,"980000",90000,,"1"
492551,"980010",3,,"1"
492551,"980020",52,,"1"
492551,"980030",3,,"1"
492551,"980040",3,,"1"
492551,"980070",90550,,"1"
492551,"980090",100,,"1"
492551,"980220",100,,"1"
492551,"980230",100,,"1"
492551,"980280",100,,"1"
492551,"980300",100,,"1"
492551,"980330",100,,"1"
492552,"800940",6885,,"1"
492552,"900000",90000,,"1"
492552,"910040",389,,"1"
492552,"950001",-500,,"1"
492552,"950011",-50,,"1"
492552,"980000",90000,,"1"
492552,"980010",3,,"1"
492552,"980020",52,,"1"
492552,"980030",3,,"1"
492552,"980040",3,,"1"
492552,"980070",90550,,"1"
492552,"980090",100,,"1"
492552,"980220",100,,"1"
492552,"980230",100,,"1"
492552,"980280",100,,"1"
492552,"980300",100,,"1"
492552,"980330",100,,"1"
487891,"980010",4,,"1"
487891,"980020",53,,"1"
487891,"980030",3,,"1"
487891,"980040",3,,"1"
487891,"980050",1,,"1"
487891,"980090",100,,"1"
487891,"980210",100,,"1"
487891,"980230",100,,"1"
487891,"980280",100,,"1"
487891,"980310",100,,"1"
487891,"980330",100,,"1"
487892,"980010",4,,"1"
487892,"980020",53,,"1"
487892,"980030",3,,"1"
487892,"980040",3,,"1"
487892,"980050",1,,"1"
487892,"980090",100,,"1"
487892,"980210",100,,"1"
487892,"980230",100,,"1"
487892,"980280",100,,"1"
487892,"980310",100,,"1"
487892,"980330",100,,"1"
489521,"900030",10920,,"1"
489521,"900040",83885,"T","1"
489521,"900050",27000,,"1"
