"HRSPERWK","WKS_WRKD","EMPLTYPE","MARITAL","ORIGIN","WHYNOWRK","OCCULIST","RACE","SEX","HRSP_RWK","WKS__RKD","EMPL_YPE","MARITAL_","ORIGIN_","WHYN_WRK","OCCU_IST","RACE_","SEX_","NEWID","AGE","AGE_","ANFEDTXX","ANFE_TXX","ANGVX","ANGVX_","ANPVTX","ANPVTX_","ANRRX","ANRRX_","ANSTATXX","ANST_TXX","ANYRAIL","ANYRAIL_","ANYSSINC","ANYS_INC","BSNSX","BSNSX_","CU_CODE1","CU_C_DE1","EDUCA","EDUCA_","FARMX","FARMX_","FEDTXX","FEDTXX_","GROSPAYX","GROS_AYX","GVX","GVX_","IRAX","IRAX_","JSSDEDX","JSSDEDX_","MEMBNO","PVTX","PVTX_","RRX","RRX_","SCHLNCHQ","SCHL_CHQ","SCHLNCHX","SCHL_CHX","SLFEMPSS","SLFE_PSS","SS_RRX","SS_RRX_","STA_SUPP","STA__UPP","STATXX","STATXX_","SUPPX","SUPPX_","US_SUPP","US_SUPP_","WAGEX","WAGEX_","SS_RRQ","SS_RRQ_","SOCRRX","SOCRRX_","ARM_FORC","ARM__ORC","IN_COLL","IN_COLL_","MEDICARE","MEDI_ARE","PAYPERD","PAYPERD_"
.,0,,"3","2","1",,"2","2","A","D","A","D","D","D","A","D","D",480981,85,"T",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","1","D",.,"A","1","D","09","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",500,"D","2","D",.,"A",.,"A","2","D",.,"A",12,"D",6000,"D",,"A",,"A","2","D",,"A"
.,0,,"3","2","1",,"1","2","A","D","A","D","D","D","A","D","D",480982,85,"T",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","1","D",.,"A","1","D","09","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",500,"D","2","D",.,"A",.,"A","2","D",.,"A",12,"D",6000,"D",,"A",,"A","2","D",,"A"
60,52,"5","5","1",,"01","1","2","D","D","D","D","D","A","D","D","D",480991,44,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","1","D","43","D",.,"A",.,"C",1000,"D",.,"B",.,"A",5738,"D",1,.,"B",.,"B",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",75000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D"
60,52,"5","5","1",,"01","1","2","D","D","D","D","D","A","D","D","D",480992,44,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","1","D","43","D",.,"A",.,"C",1000,"D",.,"B",.,"A",5738,"D",1,.,"B",.,"B",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",75000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D"
.,0,,"5","4","6",,"3","2","A","D","A","D","D","D","A","D","D",481001,18,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","1","D","09","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D",,"A",,"A",,"A"
.,0,,"5","4","3",,"3","1","A","D","A","D","D","D","A","D","D",481001,21,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","6","D","38","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D",,"A",,"A",,"A"
.,0,,"5","4","6",,"3","2","A","D","A","D","D","D","A","D","D",481002,18,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","1","D","09","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D",,"A",,"A",,"A"
.,0,,"5","4","3",,"3","1","A","D","A","D","D","D","A","D","D",481002,21,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","6","D","38","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D",,"A",,"A",,"A"
40,52,"1","1","4",,"04","4","2","D","D","D","D","D","A","D","D","D",481011,51,"D",1408,"D",.,"A",2200,"D",.,"A",1166,"D","2","D","2","D",.,"A","1","D","42","D",.,"A",64,"D",1000,"D",.,"A",.,"A",1683,"D",1,100,"D",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",53,"D",.,"A","2","D",22000,"D",.,"A",0,"D","2","D","3","D",,"A","7","D"
.,0,,"1","4","4",,"4","1","A","D","A","D","D","D","A","D","D",481011,51,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","1","D",.,"A","2","D","42","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2,.,"A",.,"A",.,"A",.,"A",.,"A",1000,"D","2","D",.,"A",.,"A","2","D",.,"A",12,"D",12648,"D","2","D","3","D","1","D",,"A"
40,52,"1","1","4",,"04","4","2","D","D","D","D","D","A","D","D","D",481012,51,"D",1408,"D",.,"A",2200,"D",.,"A",1166,"D","2","D","2","D",.,"A","1","D","42","D",.,"A",64,"D",1000,"D",.,"A",.,"A",1683,"D",1,100,"D",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",53,"D",.,"A","2","D",22000,"D",.,"A",0,"D","2","D","3","D",,"A","7","D"
.,0,,"1","4","4",,"4","1","A","D","A","D","D","D","A","D","D",481012,51,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","1","D",.,"A","2","D","42","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2,.,"A",.,"A",.,"A",.,"A",.,"A",1000,"D","2","D",.,"A",.,"A","2","D",.,"A",12,"D",12648,"D","2","D","3","D","1","D",,"A"
60,52,"2","1","4",,"10","1","1","D","D","D","D","D","A","D","D","D",481021,40,"D",5103,"D",.,"A",428,"D",.,"A",1436,"D","2","D","2","D",.,"A","1","D","43","D",.,"A",167,"D",1800,"D",.,"A",.,"A",4208,"D",1,14,"D",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",47,"D",.,"A","2","D",55000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D"
30,52,"2","1","4",,"10","1","2","D","D","D","D","D","A","D","D","D",481021,37,"D",2848,"D",.,"A",253,"D",.,"A",443,"D","2","D","2","D",.,"A","2","D","40","D",.,"A",45,"D",474,"D",.,"A",.,"A",2295,"D",2,4,"D",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",7,"D",.,"A","2","D",30000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D"
.,.,,"5","4",,,"1","1","A","A","A","D","D","A","A","D","D",481021,8,"D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A","3","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3,.,"A",.,"A",13,"D",20,"D",.,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A"
.,.,,"5","4",,,"1","1","A","A","A","D","D","A","A","D","D",481021,1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A","3","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",4,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A"
.,.,,"5","4",,,"1","1","A","A","A","D","D","A","A","D","D",481021,0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A","3","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",5,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A"
60,52,"2","1","4",,"10","1","1","D","D","D","D","D","A","D","D","D",481022,40,"D",5103,"D",.,"A",428,"D",.,"A",1436,"D","2","D","2","D",.,"A","1","D","43","D",.,"A",167,"D",1800,"D",.,"A",.,"A",4208,"D",1,14,"D",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",47,"D",.,"A","2","D",55000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D"
30,52,"2","1","4",,"10","1","2","D","D","D","D","D","A","D","D","D",481022,37,"D",2848,"D",.,"A",253,"D",.,"A",443,"D","2","D","2","D",.,"A","2","D","40","D",.,"A",45,"D",474,"D",.,"A",.,"A",2295,"D",2,4,"D",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",7,"D",.,"A","2","D",30000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D"
.,.,,"5","4",,,"1","1","A","A","A","D","D","A","A","D","D",481022,8,"D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A","3","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3,.,"A",.,"A",13,"D",20,"D",.,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A"
