"HRSPERWK","WKS_WRKD","EMPLTYPE","MARITAL","ORIGIN","WHYNOWRK","OCCULIST","RACE","SEX","HRSP_RWK","WKS__RKD","EMPL_YPE","MARITAL_","ORIGIN_","WHYN_WRK","OCCU_IST","RACE_","SEX_","NEWID","AGE","AGE_","ANFEDTXX","ANFE_TXX","ANGVX","ANGVX_","ANPVTX","ANPVTX_","ANRRX","ANRRX_","ANSTATXX","ANST_TXX","ANYRAIL","ANYRAIL_","ANYSSINC","ANYS_INC","BSNSX","BSNSX_","CU_CODE1","CU_C_DE1","EDUCA","EDUCA_","FARMX","FARMX_","FEDTXX","FEDTXX_","GROSPAYX","GROS_AYX","GVX","GVX_","IRAX","IRAX_","JSSDEDX","JSSDEDX_","MEMBNO","PVTX","PVTX_","RRX","RRX_","SCHLNCHQ","SCHL_CHQ","SCHLNCHX","SCHL_CHX","SLFEMPSS","SLFE_PSS","SS_RRX","SS_RRX_","STA_SUPP","STA__UPP","STATXX","STATXX_","SUPPX","SUPPX_","US_SUPP","US_SUPP_","WAGEX","WAGEX_","SS_RRQ","SS_RRQ_","SOCRRX","SOCRRX_","ARM_FORC","ARM__ORC","IN_COLL","IN_COLL_","MEDICARE","MEDI_ARE","PAYPERD","PAYPERD_"
33,52,"5","1","1",,"01","1","2","D","D","D","D","D","A","D","D","D",440671,59,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","1","D","44","D",.,"A",.,"B",.,"B",.,"B",2000,"D",0,"D",1,.,"B",.,"B",.,"A",.,"A",0,"D",.,"A","2","D",.,"B",.,"A","2","D",.,"C",.,"A",0,"D","2","D","3","D",,"A",,"B"
40,52,"5","1","1",,"01","1","1","D","D","D","D","D","A","D","D","D",440671,61,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","2","D","43","D",.,"A",.,"B",.,"B",.,"B",2000,"D",0,"D",2,.,"B",.,"B",.,"A",.,"A",0,"D",.,"A","2","D",.,"B",.,"A","2","D",.,"C",.,"A",0,"D","2","D","3","D",,"A",,"B"
33,52,"5","1","1",,"01","1","2","D","D","D","D","D","A","D","D","D",440672,59,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","1","D","44","D",.,"A",.,"B",.,"B",.,"B",2000,"D",0,"D",1,.,"B",.,"B",.,"A",.,"A",0,"D",.,"A","2","D",.,"B",.,"A","2","D",.,"C",.,"A",0,"D","2","D","3","D",,"A",,"B"
40,52,"5","1","1",,"01","1","1","D","D","D","D","D","A","D","D","D",440672,61,"D",.,"B",.,"B",.,"B",.,"B",.,"B","2","D","2","D",.,"A","2","D","43","D",.,"A",.,"B",.,"B",.,"B",2000,"D",0,"D",2,.,"B",.,"B",.,"A",.,"A",0,"D",.,"A","2","D",.,"B",.,"A","2","D",.,"C",.,"A",0,"D","2","D","3","D",,"A",,"B"
.,0,,"3","1","6",,"1","2","A","D","A","D","D","D","A","D","D",440681,51,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","1","D","43","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
.,0,,"3","1","6",,"1","2","A","D","A","D","D","D","A","D","D",440682,51,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","1","D","43","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
1,52,"5","1","4",,"03","1","2","D","D","D","D","D","A","D","D","D",440691,35,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",200,"D","1","D","44","D",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
50,52,"5","1","4",,"01","1","1","D","D","D","D","D","A","D","D","D",440691,36,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",40000,"D","2","D","44","D",.,"A",.,"A",.,"A",.,"A",.,"A",6120,"D",2,.,"A",.,"A",.,"A",.,"A",6120,"D",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
.,.,,"5","4",,,"1","2","A","A","A","D","D","A","A","D","D",440691,2,"D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A","3","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A"
1,52,"5","1","4",,"03","1","2","D","D","D","D","D","A","D","D","D",440692,35,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",200,"D","1","D","44","D",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
50,52,"5","1","4",,"01","1","1","D","D","D","D","D","A","D","D","D",440692,36,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",40000,"D","2","D","44","D",.,"A",.,"A",.,"A",.,"A",.,"A",6120,"D",2,.,"A",.,"A",.,"A",.,"A",6120,"D",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
.,.,,"5","4",,,"1","2","A","A","A","D","D","A","A","D","D",440692,2,"D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A","3","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A"
35,48,"1","2","2",,"15","1","1","D","D","D","D","D","A","D","D","D",440701,24,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","1","D","42","D",.,"A",.,"C",350,"D",.,"A",.,"A",1262,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",16500,"D",.,"A",0,"D","2","D","3","D",,"A","1","D"
40,52,"1","5","2",,"15","1","1","D","D","D","D","D","A","D","D","D",440701,24,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","8","D","39","D",.,"A",.,"C",400,"D",.,"A",.,"A",1530,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",20000,"D",.,"A",0,"D","2","D","3","D",,"A","1","D"
35,48,"1","5","2",,"17","1","1","D","D","D","D","D","A","D","D","D",440701,30,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","8","D","43","D",.,"A",.,"C",350,"D",.,"A",.,"A",1224,"D",3,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",16000,"D",.,"A",0,"D","2","D","3","D",,"A","1","D"
35,48,"1","2","2",,"15","1","1","D","D","D","D","D","A","D","D","D",440702,24,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","1","D","39","D",.,"A",.,"C",350,"D",.,"A",.,"A",1262,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",16500,"D",.,"A",0,"D","2","D","3","D",,"A","1","D"
40,52,"1","5","2",,"15","1","1","D","D","D","D","D","A","D","D","D",440702,24,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","8","D","40","D",.,"A",.,"C",400,"D",.,"A",.,"A",1530,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",20000,"D",.,"A",0,"D","2","D","3","D",,"A","1","D"
35,48,"1","5","2",,"17","1","1","D","D","D","D","D","A","D","D","D",440702,30,"D",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","D",.,"A","8","D","06","D",.,"A",.,"C",350,"D",.,"A",.,"A",1224,"D",3,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"C",.,"A","2","D",16000,"D",.,"A",0,"D","2","D",,"A",,"A","1","D"
.,0,,"2","1","4",,"1","2","A","D","A","D","D","D","A","D","D",440711,71,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","1","D",.,"A","1","D","38","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",620,"D","2","D",.,"A",.,"A","2","D",.,"A",12,"D",8088,"D",,"A",,"A","1","D",,"A"
.,0,,"2","1","4",,"1","2","A","D","A","D","D","D","A","D","D",440712,71,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","1","D",.,"A","1","D","38","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",620,"D","2","D",.,"A",.,"A","2","D",.,"A",12,"D",8088,"D",,"A",,"A","1","D",,"A"
.,0,,"1","4","2",,"1","2","A","D","A","D","D","D","A","D","D",440721,47,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","1","D","42","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
40,52,"1","1","4",,"10","1","1","D","D","D","D","D","A","D","D","D",440721,51,"D",.,"B",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","2","D","41","D",.,"A",.,"C",.,"C",.,"A",.,"A",0,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","2","D",.,"A",.,"A","2","D",.,"C",.,"A",0,"D","2","D","3","D",,"A","1","D"
.,0,,"1","4","2",,"1","2","A","D","A","D","D","D","A","D","D",440722,47,"D",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","D",.,"A","1","D","42","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","3","D",,"A",,"A"
