"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
590781,"800940","1",816,,"1"
590781,"800940","1",7585,,"2"
590781,"800940","1",3340,,"3"
590781,"800940","1",1932,,"4"
590781,"800940","1",2370,,"5"
590781,"900000","1",10671,,"1"
590781,"900000","1",123339,,"2"
590781,"900000","1",43662,,"3"
590781,"900000","1",25254,,"4"
590781,"900000","1",30983,,"5"
590781,"900030","1",17191,,"1"
590781,"900030","1",17191,,"2"
590781,"900030","1",17191,,"3"
590781,"900030","1",17191,,"4"
590781,"900030","1",17191,,"5"
590781,"900040","1",43000,,"1"
590781,"900040","1",43000,,"2"
590781,"900040","1",43000,,"3"
590781,"900040","1",43000,,"4"
590781,"900040","1",43000,,"5"
590781,"900080","1",806,,"1"
590781,"900080","1",127,,"2"
590781,"900080","1",221,,"3"
590781,"900080","1",834,,"4"
590781,"900080","1",2103,,"5"
590781,"980000","1",71668,,"1"
590781,"980000","1",183657,,"2"
590781,"980000","1",104074,,"3"
590781,"980000","1",86279,,"4"
590781,"980000","1",93277,,"5"
590781,"980070","1",74768,,"1"
590781,"980070","1",186757,,"2"
590781,"980070","1",107174,,"3"
590781,"980070","1",89379,,"4"
590781,"980070","1",96377,,"5"
590782,"800940","1",1895,,"1"
590782,"800940","1",864,,"2"
590782,"800940","1",4211,,"3"
590782,"800940","1",2220,,"4"
590782,"800940","1",2184,,"5"
590782,"900000","1",24783,,"1"
590782,"900000","1",11305,,"2"
590782,"900000","1",55051,,"3"
590782,"900000","1",29023,,"4"
590782,"900000","1",28555,,"5"
590782,"900030","1",17191,,"1"
590782,"900030","1",17191,,"2"
590782,"900030","1",17191,,"3"
590782,"900030","1",17191,,"4"
590782,"900030","1",17191,,"5"
590782,"900040","1",43000,,"1"
590782,"900040","1",43000,,"2"
590782,"900040","1",43000,,"3"
590782,"900040","1",43000,,"4"
590782,"900040","1",43000,,"5"
590782,"900080","1",2026,,"1"
590782,"900080","1",212,,"2"
590782,"900080","1",152,,"3"
590782,"900080","1",3606,,"4"
590782,"900080","1",550,,"5"
590782,"980000","1",87000,,"1"
590782,"980000","1",71708,,"2"
590782,"980000","1",115394,,"3"
590782,"980000","1",92820,,"4"
590782,"980000","1",89296,,"5"
590782,"980070","1",90100,,"1"
590782,"980070","1",74808,,"2"
590782,"980070","1",118494,,"3"
590782,"980070","1",95920,,"4"
590782,"980070","1",92396,,"5"
590701,"800940","1",3596,,"1"
590701,"800940","1",3596,,"2"
590701,"800940","1",3596,,"3"
590701,"800940","1",3596,,"4"
590701,"800940","1",3596,,"5"
590701,"900000","1",47000,,"1"
590701,"900000","1",47000,,"2"
590701,"900000","1",47000,,"3"
590701,"900000","1",47000,,"4"
590701,"900000","1",47000,,"5"
590701,"900131","1",3600,,"1"
590701,"900131","1",3600,,"2"
590701,"900131","1",3600,,"3"
590701,"900131","1",3600,,"4"
590701,"900131","1",3600,,"5"
590701,"950000","1",10444,,"1"
590701,"950000","1",10444,,"2"
590701,"950000","1",10444,,"3"
590701,"950000","1",10444,,"4"
590701,"950000","1",10444,,"5"
590701,"950010","1",5222,,"1"
590701,"950010","1",5222,,"2"
590701,"950010","1",5222,,"3"
590701,"950010","1",5222,,"4"
590701,"950010","1",5222,,"5"
590701,"980000","1",50600,,"1"
590701,"980000","1",50600,,"2"
590701,"980000","1",50600,,"3"
590701,"980000","1",50600,,"4"
590701,"980000","1",50600,,"5"
