"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
633601,"800940","1",6503,,"1"
633601,"800940","1",6503,,"2"
633601,"800940","1",6503,,"3"
633601,"800940","1",6503,,"4"
633601,"800940","1",6503,,"5"
633601,"900000","1",85000,,"1"
633601,"900000","1",85000,,"2"
633601,"900000","1",85000,,"3"
633601,"900000","1",85000,,"4"
633601,"900000","1",85000,,"5"
633601,"950000","1",10884,,"1"
633601,"950000","1",10884,,"2"
633601,"950000","1",10884,,"3"
633601,"950000","1",10884,,"4"
633601,"950000","1",10884,,"5"
633601,"950010","1",3992,,"1"
633601,"950010","1",3992,,"2"
633601,"950010","1",3992,,"3"
633601,"950010","1",3992,,"4"
633601,"950010","1",3992,,"5"
633601,"980000","1",85000,,"1"
633601,"980000","1",85000,,"2"
633601,"980000","1",85000,,"3"
633601,"980000","1",85000,,"4"
633601,"980000","1",85000,,"5"
633601,"980070","1",70124,,"1"
633601,"980070","1",70124,,"2"
633601,"980070","1",70124,,"3"
633601,"980070","1",70124,,"4"
633601,"980070","1",70124,,"5"
633602,"800940","1",6503,,"1"
633602,"800940","1",6503,,"2"
633602,"800940","1",6503,,"3"
633602,"800940","1",6503,,"4"
633602,"800940","1",6503,,"5"
633602,"900000","1",85000,,"1"
633602,"900000","1",85000,,"2"
633602,"900000","1",85000,,"3"
633602,"900000","1",85000,,"4"
633602,"900000","1",85000,,"5"
633602,"950000","1",10884,,"1"
633602,"950000","1",10884,,"2"
633602,"950000","1",10884,,"3"
633602,"950000","1",10884,,"4"
633602,"950000","1",10884,,"5"
633602,"950010","1",3992,,"1"
633602,"950010","1",3992,,"2"
633602,"950010","1",3992,,"3"
633602,"950010","1",3992,,"4"
633602,"950010","1",3992,,"5"
633602,"980000","1",85000,,"1"
633602,"980000","1",85000,,"2"
633602,"980000","1",85000,,"3"
633602,"980000","1",85000,,"4"
633602,"980000","1",85000,,"5"
633602,"980070","1",70124,,"1"
633602,"980070","1",70124,,"2"
633602,"980070","1",70124,,"3"
633602,"980070","1",70124,,"4"
633602,"980070","1",70124,,"5"
634501,"800940","1",3380,,"1"
634501,"800940","1",3124,,"2"
634501,"800940","1",3149,,"3"
634501,"800940","1",3679,,"4"
634501,"800940","1",3369,,"5"
634501,"900000","1",44177,,"1"
634501,"900000","1",40833,,"2"
634501,"900000","1",41167,,"3"
634501,"900000","1",48093,,"4"
634501,"900000","1",44037,,"5"
634501,"900040","1",19006,,"1"
634501,"900040","1",2002,,"2"
634501,"900040","1",17494,,"3"
634501,"900040","1",8909,,"4"
634501,"900040","1",13182,,"5"
634501,"900080","1",181,,"1"
634501,"900080","1",66,,"2"
634501,"900080","1",568,,"3"
634501,"900080","1",644,,"4"
634501,"900080","1",48,,"5"
634501,"980000","1",63364,,"1"
634501,"980000","1",42901,,"2"
634501,"980000","1",59229,,"3"
634501,"980000","1",57646,,"4"
